# ./benchmark.sh 01 5 2**8 5 2**8 2 5
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[5,2**8], nbound=[5,2**8], prime=2, loops=5, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/01.dat')"
5 163 (4, 54) 0.720600032806 0 0.221084547043 0.395636510849 0.22003660202 0.22620100975 0.163118219376 0.171526432037 0.611178779602
5 167 (7, 166) 2.35053739548 0 0.329087972641 1.50261416435 0.652400922775 0.711160182953 0.450366973877 0.450820827484 0.891936397552
5 169 (4, 52) 0.804997205734 0 0.196213197708 0.993794584274 0.182981395721 0.213281440735 0.156131744385 0.165236663818 0.573564577103
5 173 (2, 172) 0.263118219376 0.157398986816 0.230415391922 1.62982807159 0.733146429062 0.799040031433 0.511455249786 0.51109457016 1.01045136452
5 179 (1, 89) 0.0200682640076 0 0.243761253357 0.823269367218 0.420357179642 0.450531625748 0.303334856033 0.312222003937 0.833308029175
5 181 (2, 15) 0.2684674263 0.177325534821 0.300675439835 0.134951210022 0.08500623703 0.0862847805023 0.0600581645966 0.0739229679108 0.727504396439
5 191 (2, 19) 0.284412813187 0.17383441925 0.340186166763 0.197835350037 0.127401256561 0.136090993881 0.0949375629425 0.11078209877 0.882303237915
5 193 (4, 192) 0.980686664581 0 0.267801761627 2.1263710022 0.93316116333 0.88471288681 0.619890832901 0.622737836838 1.26422724724
5 197 (18, 196) 25.1092679501 0 0 2.29905443192 1.05016388893 1.04911818504 0.715978002548 0.717126560211 1.52761254311
5 199 (4, 33) 1.01164360046 0 0.23004899025 0.33423781395 0.187915611267 0.193635225296 0.134110546112 0.144616556168 0.729647779465
5 211 (22, 35) 78.9874396324 0 0.490024423599 0.417529296875 0.260063028336 0.250611209869 0.182487010956 0.20098361969 1.20109033585
5 223 (12, 222) 13.3237180233 0 0.48959441185 3.67300710678 1.61064658165 1.85362343788 1.12346200943 1.1258951664 2.28989758492
5 227 (3, 226) 0.840010213852 0 0 3.59420413971 1.52911462784 1.57204556465 1.01038837433 1.01089215279 2.2251601696
5 229 (1, 114) 0.0387279987335 0 0.449651384354 1.63979816437 0.808984375 0.839227056503 0.575633573532 0.592120790482 1.66637654305
5 233 (2, 232) 0.387216997147 0.258303642273 0.465075016022 3.87519011497 1.64640426636 1.69014825821 1.09244213104 1.09496965408 2.38987717628
5 239 (1, 119) 0.0428505420685 0 0.525451421738 1.99130220413 0.982296800613 1.09301819801 0.715368795395 0.736659002304 2.13940615654
5 241 (2, 40) 0.41852555275 0.257935285568 0 0.608156633377 0.349330806732 0.326011991501 0.235618829727 0.257283782959 1.48936014175
5 243 (2, 162) 0.635043144226 0.40186882019 0.404095220566 8.65879764557 1.14222998619 1.42419118881 1.02851624489 1.04167141914 2.27392139435
5 251 (2, 25) 0.443018245697 0.330210399628 0.428312444687 0.434112262726 0.250770187378 0.24321680069 0.164486074448 0.185985183716 1.53347001076
7 5 (2, 4) 0.0251914024353 0.00846786499023 0.0104487419128 0.000475025177002 0.000259590148926 0.00028862953186 0.000237798690796 0.000215530395508 0.000244998931885
7 9 (1, 3) 0.00214581489563 0 0.0162019252777 0.00105581283569 0.000419807434082 0.000504350662231 0.000399017333984 0.000382423400879 0.000553750991821
7 11 (2, 10) 0.0295348167419 0.00980658531189 0.00954117774963 0.00122518539429 0.00116858482361 0.0014919757843 0.00108942985535 0.0010552406311 0.00129880905151
7 13 (2, 12) 0.0358417034149 0.0112024307251 0.0110963344574 0.00154795646667 0.00168023109436 0.00203132629395 0.00153937339783 0.00150346755981 0.00190763473511
7 17 (3, 16) 0.047828912735 0 0.0140625476837 0.00234379768372 0.00255222320557 0.00316324234009 0.00236477851868 0.00231466293335 0.00314030647278
7 19 (12, 3) 0.151244163513 0 0.0130901813507 0.00166864395142 0.000812005996704 0.00110025405884 0.000808382034302 0.000830221176147 0.00197062492371
7 23 (1, 22) 0.00205717086792 0 0.0132541656494 0.00494422912598 0.00570216178894 0.00725159645081 0.00514039993286 0.00509562492371 0.0070032119751
7 25 (4, 4) 0.0691251754761 0 0.0150490283966 0.00239725112915 0.00171942710876 0.00207939147949 0.0016496181488 0.00183534622192 0.00489301681519
7 27 (1, 9) 0.00306491851807 0 0.0305991649628 0.0035297870636 0.00283536911011 0.00364575386047 0.00261878967285 0.00279417037964 0.00639781951904
7 29 (1, 7) 0.00237646102905 0 0 0.00338878631592 0.00275197029114 0.0034435749054 0.00261964797974 0.00274367332458 0.00637578964233
7 31 (1, 15) 0.00290117263794 0 0 0.00617060661316 0.00643000602722 0.00810556411743 0.00574903488159 0.0058301448822 0.0102387905121
7 37 (2, 9) 0.058213186264 0.0211165428162 0.0209030151367 0.00532183647156 0.00502014160156 0.00614042282104 0.00464034080505 0.00498018264771 0.0114554405212
7 41 (1, 40) 0.00328526496887 0 0 0.0247184276581 0.0204035758972 0.0231864452362 0.0175792217255 0.017333984375 0.0290825843811
7 43 (4, 6) 0.107577228546 0 0.030917930603 0.00527596473694 0.00398502349854 0.00515961647034 0.00372276306152 0.00436034202576 0.0164735794067
7 47 (3, 23) 0.0886516094208 0 0.0336164474487 0.0189612865448 0.0159255504608 0.0202591896057 0.0140911579132 0.0145261764526 0.0292214393616
7 53 (2, 26) 0.0685441493988 0.027215385437 0.0327360153198 0.0244685173035 0.0176156520844 0.0218642234802 0.0153413772583 0.0157714366913 0.0337540149689
7 59 (3, 29) 0.126337242126 0 0.0571037769318 0.0358366966248 0.0277978420258 0.033022403717 0.023665189743 0.0246721744537 0.058910036087
7 61 (1, 60) 0.00517301559448 0 0.0525494098663 0.0841294765472 0.0506656169891 0.060218667984 0.0410831928253 0.0410373687744 0.0732680797577
7 67 (4, 66) 0.188828802109 0 0.0567656517029 0.10269742012 0.0648231983185 0.070441198349 0.0516232013702 0.0516701698303 0.092787361145
7 71 (4, 70) 0.205031108856 0 0.0705465316772 0.127683973312 0.0785416126251 0.0889876842499 0.0633790016174 0.0633351802826 0.112146234512
7 73 (4, 24) 0.211765384674 0 0.069104385376 0.0401211738586 0.0326549530029 0.0347068309784 0.0268307685852 0.0289844036102 0.0928035259247
7 79 (2, 78) 0.101250934601 0.0497790336609 0.0781427383423 0.178378009796 0.10750207901 0.125395154953 0.0863038539886 0.0862189769745 0.167061138153
7 81 (2, 27) 0.105611181259 0.065767621994 0.0642436027527 0.053019952774 0.0331398010254 0.0387479305267 0.030415058136 0.0314918041229 0.0792939662933
7 83 (1, 41) 0.00796279907227 0 0.0935687541962 0.0906975746155 0.0616372108459 0.0688151836395 0.0496798038483 0.052002954483 0.139785575867
7 89 (2, 88) 0.109407758713 0.0497230052948 0.069610452652 0.227407169342 0.124114608765 0.136792564392 0.0948078155518 0.0949812412262 0.167249774933
7 97 (1, 96) 0.0105453968048 0 0 0.284923219681 0.161472797394 0.163422822952 0.122331428528 0.122419595718 0.258425807953
7 101 (1, 100) 0.0118161678314 0 0.192608785629 0.33586063385 0.187714719772 0.199505186081 0.142761087418 0.143003940582 0.282117557526
7 103 (3, 51) 0.228264713287 0 0.125473213196 0.172562408447 0.113157653809 0.12507276535 0.0899385452271 0.0934604644775 0.239615774155
7 107 (3, 106) 0.235639858246 0 0.108100938797 0.407669782639 0.2171189785 0.244620656967 0.164646196365 0.16448559761 0.297981643677
7 109 (5, 27) 0.588653564453 0 0.15467300415 0.0973102092743 0.0647880554199 0.0712000846863 0.0511938095093 0.05578956604 0.203592443466
7 113 (1, 14) 0.0108602046967 0 0 0.0511877536774 0.0387537002563 0.0389232158661 0.0292990207672 0.0348036766052 0.195064020157
7 121 (3, 110) 0.308431386948 0 0.13476858139 1.02884464264 0.216054153442 0.28838634491 0.194481182098 0.195227575302 0.370238399506
7 125 (1, 20) 0.0120043754578 0 0 0.126813220978 0.0586378574371 0.0674163818359 0.0489069461823 0.0527480125427 0.155961608887
7 127 (4, 126) 0.508596801758 0 0.1312271595 0.706975364685 0.329161977768 0.394444990158 0.239781188965 0.239521455765 0.42454624176
7 131 (2, 65) 0.176754045486 0.0922511577606 0.128537368774 0.308771371841 0.177113771439 0.186549282074 0.132673025131 0.136713838577 0.338288593292
7 137 (6, 68) 1.23678913116 0 0.211165571213 0.370616769791 0.228435134888 0.230199193954 0.171746921539 0.178871583939 0.525802946091
7 139 (2, 69) 0.193694591522 0.115713596344 0.220026397705 0.39167881012 0.241411590576 0.253401422501 0.182837677002 0.189645862579 0.537812852859
7 149 (8, 74) 2.67193384171 0 0 0.482617616653 0.275583839417 0.290862321854 0.206570196152 0.213162612915 0.543914175034
7 151 (6, 150) 1.47529015541 0 0.220387029648 1.10012435913 0.544465827942 0.604777193069 0.389975357056 0.390239667892 0.755719184875
7 157 (5, 52) 1.17388057709 0 0 0.366922187805 0.224101066589 0.23066368103 0.161625528336 0.171610212326 0.581948041916
7 163 (1, 162) 0.0213221073151 0 0 1.30434141159 0.62390460968 0.631124591827 0.427745342255 0.428317975998 0.863406991959
7 167 (3, 83) 0.535934400558 0 0.85769109726 0.651888227463 0.377608251572 0.410508012772 0.290254974365 0.30152554512 0.843326187134
7 169 (4, 156) 0.880987024307 0 0.253220415115 3.30632553101 0.511201620102 0.664839982986 0.449139022827 0.452038240433 0.899176836014
7 173 (2, 172) 0.262966632843 0.162525606155 0.307007980347 1.63383455276 0.804994010925 0.852767038345 0.566121578217 0.566533374786 1.15839238167
7 179 (2, 178) 0.27578086853 0.17178940773 0.37750415802 1.79277582169 0.8899933815 0.937892389297 0.626369762421 0.62761759758 1.27080039978
7 181 (2, 12) 0.284470558167 0.165816545486 0.288567352295 0.11160068512 0.0780047416687 0.0737859249115 0.0536583900452 0.0695138931274 0.62717256546
7 191 (1, 10) 0.0279871940613 0 0.359457015991 0.11042637825 0.0746027946472 0.0769687652588 0.0549016475677 0.0723534107208 0.746288967133
7 193 (4, 24) 1.09522852898 0 0.401413726807 0.235007238388 0.155680465698 0.139295768738 0.107519006729 0.129362535477 0.946375417709
7 197 (1, 98) 0.0368690013885 0 0.582118988037 1.04881196022 0.559518766403 0.558857584 0.395168781281 0.408302545547 1.11139817238
7 199 (4, 99) 1.13520474434 0 0.352841043472 1.08962254524 0.60743060112 0.621270990372 0.432936382294 0.447637224197 1.1529861927
7 211 (10, 210) 15.0257673264 0 0.452346658707 8.30277838707 1.36256232262 1.41717476845 0.90302696228 0.905248403549 1.71218481064
