# ./benchmark.sh 04 5 2**8 2**8 2**10 2 3
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[5,2**8], nbound=[2**8,2**10], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/04.dat')"
5 499 (4, 249) 7.14861702919 0 2.1946896712 98.5450925032 7.85315330823 7.90511099497 4.72966798147 4.88333360354 14.0123406251
5 503 (3, 502) 4.04046646754 0 2.14756266276 210.183207273 14.5694285234 13.3305579821 7.84097822507 7.85009829203 17.3123100599
5 509 (1, 254) 0.179233312607 0 2.1956846714 54.4808303515 8.38666566213 8.43697635333 5.2502866586 5.36150240898 11.7594583829
5 521 (32, 10) 1334.89275599 0 5.31440695127 3.78044025103 0.601631323497 0.302298943202 0.198625644048 0.346566994985 11.5944976807
5 523 (12, 522) 155.599925359 0 2.41333436966 241.772561073 17.3032970428 12.7584296862 8.61378574371 8.63547563553 19.9210949739
5 529 (22, 506) 586.50316608 0 390.97330296 237.583338102 10.5517307123 11.8102471034 7.63796965281 7.6702682972 19.3513743877
5 541 (9, 135) 88.2603131135 0 3.05339161555 66.003793637 5.42124072711 4.23515526454 2.82974743843 3.05039731661 15.8106606801
5 547 (1, 546) 0.239111423492 0 0 286.289036274 18.8810483615 13.7367406686 9.03595797221 9.0615884463 21.7966953119
5 557 (6, 556) 22.2685407003 0 0 308.365264535 19.8387503624 15.9733257294 10.219288667 10.2249780496 23.5414795876
5 563 (14, 562) 244.129878044 0 0 319.012987018 21.4067803224 16.3130029837 10.5392076174 10.5562859376 24.217208306
5 569 (3, 71) 5.27260398865 0 0 39.3292015394 3.4501657486 2.285536925 1.52231367429 1.74596063296 16.1698749065
5 571 (1, 285) 0.261389017105 0 0 164.706304312 12.5379780134 11.2348162333 6.75423161189 6.97293972969 21.3944536845
5 577 (1, 576) 0.257800658544 0 3.06178601583 350.445473909 20.8704900742 14.7074013551 10.052649339 10.0896436373 24.8521004518
5 587 (7, 586) 60.199621439 0 0 375.858789563 23.9978486697 18.0018100739 11.6120773156 11.6042185624 26.7961039543
5 593 (2, 592) 2.49645908674 1.5859336853 3.22786863645 203.423601309 22.1127886772 16.6600343386 11.5530397097 11.577008009 23.267417113
5 599 (8, 299) 84.5967996915 0 0 198.168067694 14.3636172613 12.940196991 7.8808230559 8.12808394432 24.1442789237
5 601 (6, 12) 25.9553109805 0 3.40610869726 6.93776035309 0.995659033457 0.460688670476 0.281651973724 0.488548676173 16.738095363
5 607 (6, 606) 26.7094209989 0 0 429.254524589 26.8571616014 21.5233186881 13.448842605 13.4290545781 30.0518272718
5 613 (22, 612) 825.137736797 0 5.82195361455 443.744446516 25.383500735 19.1412603855 12.5964653492 12.6329929829 29.821688652
5 617 (8, 616) 90.342484951 0 3.72139906883 454.759728074 25.584035635 19.2302406629 12.5524450143 12.5577212969 30.1396739483
5 619 (4, 309) 11.432194074 0 3.92150410016 224.308265289 15.4799230099 12.6260916392 7.93064173063 8.14771000544 25.8671170076
5 631 (12, 35) 233.893999418 0 4.11205887794 25.3887333075 2.64577436447 1.50126560529 0.920382658641 1.17987966537 19.8374813398
5 641 (2, 64) 2.87446864446 2.17845161756 0 26.7877497673 3.73972694079 2.1263059775 1.48825701078 1.69299729665 16.5605196158
5 643 (4, 214) 12.6141362985 0 0 170.647903999 11.6238063971 8.30983734131 5.62153895696 5.96264362335 25.6902705828
5 647 (7, 646) 74.0255207221 0 0 543.529143453 30.2908906142 21.023390611 14.0666036606 14.0873594284 33.7169310252
5 653 (2, 652) 3.01929608981 2.28572662671 3.87973960241 288.170881669 28.5752367973 20.9682850043 14.1194826762 14.1454326312 28.9887123108
5 659 (1, 329) 0.336760282516 0 0 144.028536399 16.9923780759 13.0972680251 8.8001956145 8.96932268143 25.4410897096
5 661 (2, 330) 3.16046269735 2.44942935308 0 289.497220039 16.7116963863 13.5498209 8.87367232641 9.11293665568 30.0641446114
5 673 (4, 672) 13.7064803441 0 4.45232605934 632.090718985 31.6245457331 21.7752660116 14.7268360456 14.7482007345 37.0944396655
5 677 (8, 676) 109.774864674 0 5.02427506447 649.917484999 32.9701514244 23.7071246306 15.4215899309 15.460155646 38.1092046102
5 683 (2, 682) 3.31839267413 2.91670664152 4.60607099533 343.304073453 34.123591582 25.2017083963 16.2865869999 16.2895506223 30.8201083342
5 691 (4, 115) 14.6793133418 0 4.85912998517 111.746266047 8.07317837079 5.39420406024 3.40556104978 3.79386091232 27.8026702404
5 701 (9, 350) 158.04022638 0 14.2767391205 362.702210069 20.8627269268 18.3044356505 11.1373159885 11.4365973473 36.4059419632
5 709 (4, 354) 15.4490408103 0 4.98398431142 377.768375397 20.428875049 16.0752813021 10.2849479516 10.6064933936 36.5600980918
5 719 (1, 359) 0.410396337509 0 0 192.683034023 21.9035466512 18.5423180262 11.5319312414 11.7432646751 25.2501495679
5 727 (1, 726) 0.441894372304 0 5.55170067151 854.906940937 43.3823105494 32.0852813721 19.8594392935 19.878481706 47.0694549878
5 729 (2, 486) 5.16463899612 3.58053541183 5.36243406932 554.122512579 24.4397653739 25.7934332689 18.1076249282 18.3745869001 45.675904274
5 733 (22, 244) 1123.0241971 0 35.2208313147 284.770406564 17.4517096678 14.3273590406 8.80512173971 9.28479464849 37.3631790479
5 739 (4, 123) 16.9481842518 0 5.33608078957 144.743987322 9.71247935295 6.38631558418 3.9904923439 4.46558904648 33.2889417013
