# ./benchmagma.sh m01 5 2**8 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[5,2**8], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m01.dat')"
11 179 (1, 178) 0.0809103647868
11 181 (2, 90) 0.352348327637
11 191 (2, 38) 0.376082579295
11 193 (2, 64) 0.39045214653
11 197 (18, 196) 156.478110949
11 199 (1, 22) 0.119766394297
11 211 (5, 35) 3.77387897174
11 223 (3, 222) 1.37395230929
11 227 (3, 113) 1.73789294561
11 229 (4, 38) 3.28505595525
11 233 (2, 232) 0.642432689667
11 239 (1, 119) 0.155279954274
11 241 (3, 48) 1.83646392822
11 243 (2, 162) 0.720234076182
11 251 (1, 250) 0.174931367238
13 5 (2, 4) 0.00886837641398
13 7 (2, 2) 0.00999697049459
13 9 (2, 3) 0.0103106498718
13 11 (1, 10) 0.00849533081055
13 17 (1, 4) 0.00908263524373
13 19 (5, 18) 0.136899630229
13 23 (2, 11) 0.0240399837494
13 25 (2, 20) 0.0268063545227
13 27 (1, 9) 0.12286901474
13 29 (2, 14) 0.0345724423726
13 31 (1, 30) 0.0108937422434
13 37 (4, 36) 0.31945403417
13 41 (2, 40) 0.0635029474894
13 43 (2, 21) 0.070611000061
13 47 (3, 46) 0.284859577815
13 49 (4, 14) 0.142751296361
13 53 (1, 13) 0.0151573022207
13 59 (4, 58) 0
13 61 (3, 3) 0.60825363795
13 67 (2, 66) 0.179408629735
13 71 (4, 70) 0.241979678472
13 73 (4, 72) 0.26111070315
13 79 (4, 39) 0.31787832578
13 81 (1, 27) 2.53825362523
13 83 (2, 82) 0.284783681234
13 89 (1, 88) 0.0295073191325
13 97 (1, 96) 0.0344783465068
13 101 (3, 50) 0.261485656102
13 103 (2, 17) 0.118247667948
13 107 (6, 53) 1.43209950129
13 109 (1, 108) 0.0472496350606
13 113 (2, 56) 0.138951142629
13 121 (3, 110) 0.446764310201
13 125 (1, 100) 0.0650943915049
13 127 (4, 63) 0.800134579341
13 131 (1, 65) 0.0466976165771
13 137 (3, 136) 0.481988747915
13 139 (4, 69) 0.964387019475
13 149 (4, 148) 1.17014606794
13 151 (3, 150) 0.589945634206
13 157 (2, 6) 0.274597247442
13 163 (2, 54) 0.287403662999
13 167 (7, 166) 5.8309563001
13 173 (1, 86) 0.0794173876444
13 179 (2, 89) 0.349911371867
13 181 (6, 45) 5.141685009
13 191 (2, 95) 0.393304665883
13 193 (4, 64) 2.28741606077
13 197 (18, 196) 168.710668405
13 199 (1, 99) 0.120844443639
13 211 (10, 35) 30.5724906127
13 223 (6, 74) 8.38700501124
13 227 (24, 226) 263.959362348
13 229 (12, 76) 61.7801016172
13 233 (1, 116) 0.159133354823
13 239 (2, 238) 0.740961710612
13 241 (1, 240) 0.184252738953
13 243 (2, 81) 0.769953012466
13 251 (1, 125) 0.17733391126
17 5 (2, 4) 0.0093027750651
17 7 (3, 6) 0.0120187600454
17 9 (1, 2) 0.00860468546549
17 11 (2, 10) 0.0133003393809
17 13 (2, 6) 0.0152283509572
17 19 (5, 9) 0.0911383628845
17 23 (1, 22) 0.00957226753235
17 25 (4, 20) 0.0737497806549
17 27 (5, 6) 0.268601973852
17 29 (1, 4) 0.0104336738586
17 31 (10, 30) 0.590690374374
17 37 (1, 36) 0.0116976896922
17 41 (1, 40) 0.0129148960114
17 43 (4, 21) 0.484223047892
17 47 (6, 23) 0.313679933548
17 49 (4, 42) 0.171135266622
17 53 (2, 26) 0.287516355515
17 59 (12, 29) 3.62701098124
17 61 (6, 60) 0.507311662038
17 67 (4, 33) 0.244405110677
17 71 (4, 10) 0.278935352961
17 73 (1, 24) 0.024516582489
17 79 (4, 26) 0.345057010651
17 81 (2, 18) 0.397513707479
17 83 (2, 41) 0.666928927104
17 89 (1, 44) 0.0313953558604
17 97 (1, 96) 0.0364353656769
17 101 (6, 10) 1.47533464432
17 103 (2, 51) 0.129441022873
17 107 (6, 106) 1.71258298556
17 109 (10, 36) 8.76126297315
17 113 (2, 112) 0.154820362727
17 121 (3, 110) 0.498732328415
17 125 (1, 100) 0.0560576121012
17 127 (1, 63) 0.049635887146
17 131 (1, 130) 0.0539413293203
17 137 (6, 68) 3.31505433718
17 139 (2, 138) 0.280212322871
17 149 (8, 37) 9.72598203023
17 151 (6, 75) 4.06946094831
17 157 (2, 39) 0.311449686686
17 163 (4, 54) 1.68146840731
17 167 (14, 166) 51.1271425883
17 169 (4, 78) 2.08107463519
17 173 (2, 172) 0.438813606898
17 179 (1, 89) 0.0926333268483
17 181 (1, 36) 0.114362398783
17 191 (1, 95) 0.105032126109
17 193 (1, 192) 0.129512707392
17 197 (6, 196) 7.78858264287
17 199 (2, 66) 0.606489260991
17 211 (10, 210) 37.5195970535
17 223 (3, 37) 1.94454701742
17 227 (1, 226) 0.203330596288
17 229 (12, 19) 71.7333807151
17 233 (1, 232) 0.171706676483
17 239 (2, 119) 0.848437627157
17 241 (3, 80) 2.28886604309
17 243 (2, 54) 0.880374670029
17 251 (2, 125) 0.964213689168
19 5 (2, 2) 0.00927495956421
19 7 (4, 6) 0.020111322403
19 9 (4, 1) 0.0252043406169
19 11 (2, 10) 0.0134547551473
19 13 (4, 12) 0.043506304423
19 17 (3, 8) 0.0338960488637
19 23 (2, 22) 0.0315687656403
19 25 (1, 10) 0.0102237065633
19 27 (7, 3) 0.0789129734039
19 29 (1, 28) 0.0101717313131
19 31 (10, 15) 0.611813942591
19 37 (1, 36) 0.0121866067251
19 41 (2, 40) 0.112969001134
19 43 (4, 42) 0.1082072258
19 47 (2, 46) 0.157655715942
19 49 (10, 6) 1.60422937075
19 53 (1, 52) 0.0155204137166
19 59 (3, 29) 0.111361265182
19 61 (6, 30) 0.5295753479
19 67 (4, 33) 0.258555650711
19 71 (8, 35) 1.93968741099
19 73 (4, 36) 0.302168687185
19 79 (4, 39) 0.360996643702
19 81 (2, 9) 0.397497653961
19 83 (1, 82) 0.0287183920542
19 89 (1, 88) 0.0314744313558
19 97 (2, 32) 0.121848185857
19 101 (3, 25) 0.310769637426
19 103 (6, 51) 1.63201665878
19 107 (6, 53) 1.7792459329
19 109 (5, 36) 1.1249756813
19 113 (1, 112) 0.0499812761943
19 121 (6, 110) 2.58685000738
19 125 (2, 50) 0.233737071355
19 127 (4, 3) 0.963312546412
19 131 (2, 26) 0.215909639994
19 137 (2, 68) 0.24161974589
19 139 (1, 138) 0.0617002646128
19 149 (8, 37) 9.4872136116
19 151 (1, 5) 0.0708113511403
19 157 (5, 39) 2.51740598679
19 163 (1, 162) 0.0935962994893
19 167 (7, 83) 6.29678376516
19 169 (4, 12) 2.1704750061
19 173 (2, 172) 0.45580124855
