# ./benchmark.sh 05 2**8 2**10 2**8 2**10 2 3
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**8,2**10], nbound=[2**8,2**10], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/05.dat')"
257 499 (2, 249) 7.41514364878 4.70240998268 12.3501440684 107.86164999 12.3516805967 11.7139674028 7.40317066511 7.84893234571 23.9363563061
257 503 (6, 251) 95.3631203175 0 14.2164855798 111.763863643 13.1009950638 12.8610302607 7.9716389974 8.41301027934 24.9056700865
257 509 (1, 508) 1.00726572673 0 13.1007064184 138.897029003 21.855720679 20.3449990749 12.7676066558 12.7315132618 23.4081300894
257 521 (8, 520) 203.658413331 0 14.8232117494 259.083963235 22.6499300003 17.3907682896 12.7056267262 12.7244550387 31.6837000052
257 523 (10, 261) 333.895045638 0 14.3401370049 129.07740736 14.6800277233 12.0549716949 8.30301793416 8.79496669769 28.2392677466
257 529 (11, 253) 433.039146423 0 16.7104243437 126.944949706 10.5200241407 10.22828269 7.38658372561 7.90036400159 27.9047606786
257 541 (6, 540) 112.087953011 0 17.10018905 299.894354026 26.5420106252 22.8409397602 15.3059760729 15.2894199689 36.5053252379
257 547 (10, 182) 369.929874063 0 15.664422671 100.33789897 11.3524642785 8.46659429868 5.87422339122 6.5766667525 28.2707774639
257 557 (3, 556) 24.2825743357 0 18.0910710494 333.887891531 28.413996617 24.2106049061 16.1106433868 16.1454853217 38.6402593454
257 563 (7, 281) 174.848860423 0 17.1017716726 168.304649353 18.0638317267 15.4041716258 10.1786512534 10.7744190693 34.5152569612
257 569 (12, 568) 611.514407158 0 18.1313757102 359.335048079 30.0065304438 25.4824863275 16.9391640027 16.9683023294 41.0148596764
