# ./benchmark.sh 12 2**20 2**20+2**8 2**8 2**8+2**5 2 5
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**20,2**20+2**8], nbound=[2**8,2**8+2**5], prime=2, loops=5, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/12.dat')"
1048627 283 (6, 141) 133.821947622 0 17.616430378 15.3056899071 5.42153759003 5.07614941597 4.32354717255 4.8327188015 10.9006971836
1048633 257 (3, 64) 20.8157220364 0 14.3069697857 5.36645555496 1.88802323341 1.48415632248 1.39458599091 1.98508143425 6.36275672913
1048633 263 (3, 131) 21.9173370361 0 14.396304369 11.6956544399 4.37461109161 3.99727058411 3.50025601387 3.89941525459 8.7058078289
1048633 269 (8, 268) 234.967731953 0 15.0549786568 25.5118826866 7.75718803406 7.16691184044 6.19851078987 6.20206360817 11.3070725441
1048633 271 (2, 135) 9.2249270916 6.32122039795 16.4717899799 13.1681789875 4.67762312889 4.39007577896 3.7235853672 4.18748459816 9.5503777504
1048633 277 (1, 69) 1.2807926178 0 16.0522666931 7.13769140244 2.39381380081 2.01420278549 1.78711004257 2.46862487793 8.1060344696
1048633 281 (2, 14) 9.89911026955 5.71308441162 16.4019787788 1.24051742554 0.5894135952 0.421281051636 0.377014398575 1.180884552 4.15487689972
1048633 283 (6, 282) 133.571260738 0 15.7768270016 30.6521121979 9.05793938637 8.64184622765 7.20894460678 7.2038207531 13.1865852356
1048661 257 (1, 256) 1.08224282265 0 13.7006766319 21.0564872742 6.71296520233 5.68887910843 5.33131556511 5.35951700211 9.63766803741
1048661 263 (3, 262) 21.8881086826 0 13.9618313789 23.4470853806 7.61295742989 7.04174442291 6.11972484589 6.12052950859 10.85132761
1048661 269 (8, 67) 234.309294939 0 14.2704120159 6.42738728523 2.25621213913 1.91192741394 1.70396046638 2.34331741333 7.53089680672
1048661 271 (1, 135) 1.1978764534 0 15.2322452545 13.1472788334 4.73660874367 4.41020936966 3.7551440239 4.20222644806 9.5517393589
1048661 277 (2, 92) 9.6657392025 6.77131562233 16.4167208195 9.42801399231 3.26829843521 2.82930459976 2.49487419128 3.1149600029 8.73121862411
1048661 281 (2, 140) 9.90131187439 6.23799219131 16.150680542 8.91731100082 5.06245250702 4.57504839897 4.03820881844 4.42176389694 7.9256155014
1048661 283 (3, 282) 26.1271875858 0 16.5745255947 30.7296355724 9.23589978218 8.8354663372 7.40514416695 7.39497976303 13.3863751888
1048681 257 (3, 32) 20.7792525768 0 13.7537151814 2.83639578819 0.994895601273 0.75508980751 0.704037618637 1.38575549126 5.72854065895
1048681 263 (1, 131) 1.13670296669 0 14.1668476105 11.6879406452 4.31595816612 3.94867534637 3.44185466766 3.84149060249 8.64868760109
1048681 269 (2, 67) 9.12125864029 5.24619979858 15.0452929497 6.42987599373 2.24814019203 1.90367341042 1.69339942932 2.3349378109 7.51617255211
1048681 271 (1, 270) 1.2226231575 0 15.3373439312 26.4624862194 8.11485481262 7.76430082321 6.72151608467 6.5302230835 11.7701632977
1048681 277 (2, 23) 9.70664258003 8.07153134346 15.2965666771 2.62642560005 0.912663602829 0.700428819656 0.615504980087 1.4599132061 7.03710660934
1048681 281 (2, 280) 9.88364038467 6.24964237213 17.3506603718 18.5090062618 8.73741378784 7.87877240181 6.90121736526 6.90073218346 10.4646538734
1048681 283 (3, 282) 26.4178925991 0 18.1363207817 30.6911139965 9.13446259499 8.74645962715 7.32290654182 7.28839664459 13.2698815346
1048703 257 (3, 128) 20.8228028297 0 15.0155067921 10.5439919472 3.91058363914 3.29618253708 3.11552538872 3.5552177906 7.79587235451
1048703 263 (6, 131) 112.661733389 0 13.2609977722 11.7019934177 4.56995835304 4.11921901703 3.68124666214 4.14339375496 8.81907243729
