# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**20, 2**20+2**10], nbound=[3,2**8], prime=2, loops=10, verbose=True, write=True, fname=os.getcwd()+'/04.dat')
1048583 251 (2, 125) 7.7528 4.8188 13.3476 6.6276 3.7936 3.558 3.0376 5.7396
1048589 3 (2, 2) 0.0240000000002 0.00960000000014 0.0164000000001 0.000799999999799 0.000400000000081 0.000400000000081 0.0 0.000400000000081
1048589 5 (1, 2) 0.00159999999996 0 0.016 0.000799999999799 0.000400000000081 0.000400000000081 0.000400000000081 0.000399999999718
1048589 7 (1, 6) 0.00159999999996 0 0.0112000000001 0.000799999999799 0.00159999999996 0.00120000000024 0.00119999999988 0.00119999999952
1048589 9 (1, 2) 0.00240000000013 0 0.0251999999997 0.000800000000163 0.00119999999988 0.000800000000163 0.00119999999988 0.000800000000163
1048589 11 (2, 5) 0.0471999999998 0.0252 0.0220000000001 0.00119999999988 0.00200000000004 0.00240000000013 0.00239999999976 0.00200000000004
1048589 13 (2, 3) 0.0655999999999 0.0428 0.0300000000003 0.00159999999996 0.00200000000004 0.00119999999988 0.00200000000004 0.00239999999976
1048589 17 (3, 16) 0.1004 0 0.0400000000001 0.00319999999992 0.00879999999997 0.00839999999989 0.00839999999989 0.00880000000034
1048589 19 (4, 9) 0.16 0 0.0472000000002 0.00319999999992 0.00639999999985 0.00680000000029 0.00639999999985 0.00799999999981
1048589 23 (2, 22) 0.0872000000003 0.0663999999997 0.0660000000003 0.00720000000001 0.0172000000002 0.0164000000001 0.0167999999998 0.0155999999999
1048589 25 (4, 10) 0.2408 0 0.108 0.00479999999989 0.00879999999997 0.00800000000017 0.00879999999997 0.0119999999999
1048589 27 (1, 6) 0.00839999999989 0 0.1184 0.00440000000017 0.00599999999977 0.00600000000013 0.00639999999985 0.0112000000001
1048589 29 (1, 7) 0.00920000000006 0 0.1116 0.00479999999989 0.00800000000017 0.00760000000009 0.00839999999989 0.00960000000014
1048589 31 (5, 15) 0.584 0 0.1452 0.0115999999998 0.018 0.018 0.0175999999999 0.0240000000002
1048589 37 (2, 9) 0.1532 0.108 0.16 0.0103999999999 0.0144 0.0139999999999 0.0144 0.0268000000004
1048589 41 (2, 8) 0.174 0.1232 0.192 0.00960000000014 0.0135999999999 0.0135999999999 0.0132000000001 0.0263999999999
1048589 43 (1, 42) 0.0184000000001 0 0.2684 0.0579999999998 0.0691999999999 0.0648000000001 0.0644 0.0784
1048589 47 (3, 46) 0.4716 0 0.2908 0.0831999999999 0.0887999999999 0.0844000000001 0.082 0.1016
1048589 49 (2, 42) 0.2364 0.1588 0.2832 0.0684000000001 0.0787999999997 0.0788 0.0764000000003 0.108
1048589 53 (2, 26) 0.2632 0.1896 0.35 0.0416000000005 0.0687999999998 0.0620000000003 0.0595999999998 0.0664000000001
1048589 59 (12, 29) 17.4176 0 0.4412 0.0804 0.0835999999999 0.0824000000001 0.0787999999997 0.1284
1048589 61 (6, 2) 4.8148 0 0.4604 0.0139999999999 0.0108 0.0108 0.0112000000005 0.0867999999999
1048589 67 (4, 33) 2.1372 0 0.5732 0.1148 0.1132 0.1084 0.1036 0.1828
1048589 71 (8, 70) 10.216 0 0.9896 0.2784 0.2436 0.2284 0.2208 0.302
1048589 73 (1, 24) 0.0564000000002 0 0.7504 0.1012 0.0948 0.0892 0.0867999999999 0.1968
