# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[4,2**10], nbound=[2**8,2**9], prime=2, loops=3, tmax=600, verbose=True, write=True, fname=os.getcwd()+'/02.dat')
7 307 (2, 153) 0.766666666667 0.462666666667 0 15.076 1.97466666667 1.84533333333 1.23866666667 3.63066666667
7 311 (3, 31) 1.59866666667 0 2.516 3.216 0.536 0.406666666666 0.288 2.93733333333
7 313 (3, 104) 1.71066666667 0 3.12 10.8533333333 1.48933333333 1.24666666667 0.872 3.46933333333
7 317 (26, 158) 343.816 0 5.19333333333 17.9106666667 2.412 2.20133333333 1.44266666667 4.12666666667
7 331 (3, 110) 1.84533333333 0 4.392 13.5146666667 1.72133333333 1.43066666667 1.00133333333 3.98
7 337 (10, 56) 41.148 0 2.884 7.05066666667 0.96 0.728 0.526666666667 3.62
7 347 (6, 346) 13.972 0 3.08133333333 49.8093333333 5.32666666667 4.70933333333 3.18133333333 6.336
7 349 (5, 348) 5.82 0 3.248 51.5186666667 5.48 4.86533333333 3.21066666667 6.47866666667
7 353 (45, 32) 1234.828 0 0 4.43333333333 0.649333333333 0.449333333333 0.325333333334 3.91733333333
7 359 (1, 358) 0.0946666666666 0 0 31.148 5.71733333333 5.176 3.436 5.43066666667
7 361 (3, 57) 2.30533333333 0 0 8.32666666667 0.864 0.774666666667 0.544 4.31733333333
7 367 (3, 61) 2.368 0 8.54266666667 9.808 1.264 0.997333333334 0.698666666667 4.60266666667
7 373 (2, 62) 1.05866666667 0.675999999999 4.32 10.3493333333 1.30533333333 1.004 0.710666666667 4.764
7 379 (12, 378) 83.7586666667 0 0 69.4986666667 6.644 5.95866666667 3.768 7.89066666667
7 383 (12, 191) 86.3506666667 0 0 35.3706666667 4.13333333333 4.052 2.672 7.10133333333
7 389 (24, 97) 435.55 0 4.68533333333 17.9106666667 1.99066666667 1.47733333333 1.07333333333 5.64933333333
7 397 (1, 396) 0.122666666666 0 3.716 81.3706666667 7.50533333333 6.28533333333 4.14533333333 8.82133333333
7 401 (8, 200) 37.6413333333 0 6.50533333333 40.812 4.11466666667 3.55466666667 2.36933333333 7.244
7 409 (4, 24) 5.07733333333 0 3.91466666667 4.97866666667 0.730666666666 0.454666666667 0.321333333333 5.38266666667
7 419 (1, 19) 0.131999999999 0 4.272 2.25066666667 0.641333333333 0.401333333334 0.286666666667 3.14
7 421 (10, 70) 69.9893333333 0 0 16.0493333333 1.82 1.35466666667 0.974666666666 6.60266666667
7 431 (2, 430) 1.39866666667 1.01733333333 0 60.3733333333 9.3 8.47733333333 5.43333333333 9.70933333333
7 433 (1, 432) 0.144 0 0 112.636 9.144 7.472 4.81733333333 10.656
7 439 (2, 73) 1.47466666667 0.986666666666 0 18.9453333333 2.07066666667 1.572 1.1 7.40666666667
7 443 (1, 442) 0.137333333333 0 11.6293333333 66.552 9.78133333333 8.75466666667 5.56 8.83466666667
7 449 (2, 112) 1.52933333333 1.08266666667 0 30.808 3.032 2.184 1.59466666667 8.432
7 457 (15, 114) 210.694666667 0 12.1253333333 33.1653333333 3.22533333333 2.316 1.644 8.872
7 461 (2, 460) 1.59866666667 1.07733333333 0 144.662666667 11.2266666667 9.31066666667 5.736 12.6946666667
7 463 (12, 154) 130.722666667 0 11.64 47.228 4.51066666667 3.816 2.61066666667 9.96666666667
7 467 (3, 233) 3.69733333333 0 5.63733333333 73.2106666667 6.51066666667 5.79466666667 3.70133333333 11.144
7 479 (4, 239) 11.7093333333 0 6.69066666667 81.5266666667 7.292 6.76533333333 4.28666666667 12.2866666667
7 487 (4, 162) 11.9346666667 0 5.756 57.1106666667 5.17733333333 4.20933333333 2.82266666667 11.284
7 491 (1, 490) 0.189333333332 0 0 97.0573333333 12.8586666667 11.3133333333 7.04266666667 12.316
7 499 (1, 498) 0.196 0 8.864 194.794666667 13.7773333333 11.6026666667 7.11333333333 15.932
7 503 (2, 251) 1.90133333333 1.29066666667 0 98.2053333333 8.284 7.88933333334 4.856 14.0333333333
7 509 (2, 508) 1.95333333333 1.21066666667 6.39333333333 112.010666667 14.5346666667 13.1253333333 7.952 12.128
