# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**30,2**30+2**8], nbound=[2**5,2**6], prime=2, loops=3, tmax=600, verbose=True, write=True, fname=os.getcwd()+'/05.dat')
1073741891 37 (4, 18) 1.49733333333 0 0.388 0.0293333333333 0.048 0.0426666666667 0.048 0.06
1073741891 41 (2, 10) 0.417333333333 0.254666666667 0.448 0.0186666666667 0.028 0.0266666666667 0.0306666666667 0.044
1073741891 43 (4, 42) 2.05333333333 0 0.485333333333 0.096 0.118666666667 0.104 0.113333333333 0.124
1073741891 47 (3, 23) 1.33733333333 0 0.653333333333 0.0693333333334 0.0853333333334 0.0826666666666 0.0853333333334 0.118666666667
1073741891 49 (4, 42) 2.816 0 0.713333333333 0.108 0.14 0.157333333333 0.137333333333 0.165333333333
1073741891 53 (1, 52) 0.064 0 0.930666666667 0.137333333333 0.197333333333 0.174666666667 0.189333333333 0.190666666667
1073741891 59 (12, 58) 57.6026666667 0 1.04666666667 0.253333333333 0.290666666667 0.26 0.274666666667 0.317333333333
1073741891 61 (3, 30) 2.40933333333 0 1.14133333333 0.142666666667 0.165333333333 0.154666666667 0.158666666667 0.236
1073741909 37 (1, 36) 0.0306666666666 0 0.390666666667 0.0573333333333 0.0853333333334 0.0733333333333 0.0826666666666 0.0866666666667
1073741909 41 (2, 20) 0.42 0.217333333333 0.461333333333 0.0306666666667 0.0613333333333 0.0546666666667 0.0613333333333 0.0626666666667
1073741909 43 (1, 42) 0.0413333333333 0 0.618666666667 0.0933333333332 0.122666666667 0.105333333333 0.117333333333 0.128
1073741909 47 (3, 23) 1.32933333333 0 0.696 0.0693333333334 0.0866666666667 0.0813333333333 0.0853333333334 0.118666666667
1073741909 49 (2, 21) 0.598666666667 0.384 0.72 0.056 0.0693333333333 0.0626666666667 0.0693333333333 0.109333333333
1073741909 53 (1, 13) 0.0666666666667 0 0.874666666667 0.0386666666667 0.052 0.048 0.0546666666667 0.0826666666667
1073741909 59 (12, 58) 57.3253333333 0 1.044 0.253333333333 0.292 0.262666666667 0.302666666667 0.318666666667
1073741909 61 (3, 20) 2.41066666667 0 1.144 0.0986666666666 0.110666666667 0.101333333333 0.112 0.190666666667
1073741939 37 (2, 36) 0.342666666667 0.193333333333 0.372 0.0573333333333 0.0866666666667 0.0746666666666 0.0826666666667 0.0866666666667
1073741939 41 (2, 4) 0.421333333333 0.229333333333 0.453333333333 0.00933333333334 0.0133333333333 0.0133333333333 0.0173333333334 0.0306666666666
1073741939 43 (1, 42) 0.0413333333333 0 0.526666666667 0.0946666666666 0.124 0.109333333333 0.118666666667 0.129333333333
1073741939 47 (3, 23) 1.33866666667 0 0.642666666667 0.0706666666667 0.088 0.0813333333334 0.0866666666667 0.118666666667
1073741939 49 (2, 21) 0.604 0.285333333333 0.708 0.0573333333333 0.0680000000001 0.0626666666666 0.0693333333334 0.109333333333
1073741939 53 (1, 13) 0.0666666666667 0 0.793333333333 0.0373333333333 0.0546666666667 0.0493333333333 0.056 0.0666666666667
1073741939 59 (1, 58) 0.0853333333334 0 1.03866666667 0.250666666667 0.3 0.268 0.286666666667 0.324
1073741939 61 (6, 20) 11.8333333333 0 1.12933333333 0.101333333333 0.116 0.106666666667 0.114666666667 0.197333333333
1073741953 37 (2, 12) 0.344 0.189333333333 0.388 0.0213333333333 0.0293333333333 0.0266666666667 0.0306666666666 0.0453333333333
1073741953 41 (1, 20) 0.0426666666666 0 0.516 0.0306666666667 0.0586666666666 0.0533333333334 0.0586666666666 0.0533333333334
1073741953 43 (4, 7) 2.056 0 0.525333333333 0.02 0.0226666666667 0.0226666666667 0.024 0.056
1073741953 47 (6, 46) 6.332 0 0.652 0.132 0.150666666667 0.137333333333 0.144 0.165333333333
1073741953 49 (4, 21) 2.76666666667 0 0.664 0.0573333333333 0.0653333333333 0.0613333333333 0.0653333333334 0.106666666667
1073741953 53 (1, 26) 0.0653333333333 0 0.938666666667 0.0706666666667 0.108 0.101333333333 0.106666666667 0.116
1073741953 59 (6, 29) 11.02 0 1.00533333333 0.132 0.148 0.141333333333 0.144 0.212
1073741953 61 (3, 60) 2.40933333333 0 1.072 0.281333333333 0.298666666667 0.276 0.282666666667 0.334666666667
1073741969 37 (1, 12) 0.0293333333334 0 0.397333333333 0.02 0.0293333333333 0.028 0.0306666666666 0.0453333333333
1073741969 41 (2, 20) 0.414666666667 0.210666666667 0.602666666667 0.0333333333333 0.0573333333333 0.0546666666667 0.0586666666667 0.0666666666666
