# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**10,2**10+2**9], nbound=[3,2**9], prime=2, loops=3, tmax=600, verbose=True, write=True, fname=os.getcwd()+'/04.dat')
1283 113 (2, 16) 0.386666666667 0.246666666667 1.41733333333 0.118666666667 0.0746666666667 0.072 0.06 0.193333333333
1283 121 (3, 110) 1.01066666667 0 3.16133333333 1.20533333333 0.444 0.518666666667 0.409333333333 0.68
1283 125 (1, 100) 0.0586666666667 0 1.71466666667 0.793333333333 0.438666666667 0.525333333333 0.414666666667 0.644
1283 127 (4, 63) 2.056 0 1.62266666667 0.828 0.356 0.365333333333 0.292 0.654666666667
1283 131 (2, 130) 0.533333333333 0.388 1.81733333333 1.13733333333 0.633333333333 0.616 0.518666666667 0.74
1283 137 (3, 17) 1.30133333333 0 3.88133333333 0.256 0.112 0.105333333333 0.0866666666667 0.581333333333
1283 139 (2, 138) 0.605333333333 0.396 1.76133333333 2.16533333333 0.798666666667 0.785333333333 0.628 1.076
1283 149 (8, 148) 13.6466666667 0 2.02533333333 2.712 0.941333333333 0.92 0.752 1.268
1283 151 (1, 30) 0.0866666666667 0 1.96266666667 0.578666666667 0.228 0.218666666667 0.178666666667 0.814666666667
1283 157 (5, 26) 5.592 0 2.20666666667 0.537333333333 0.212 0.201333333333 0.161333333333 0.896
1283 163 (1, 54) 0.112 0 2.38666666667 1.212 0.42 0.392 0.324 1.10133333333
1283 167 (7, 83) 13.5493333333 0 2.42266666667 1.98533333333 0.682666666667 0.673333333333 0.54 1.32666666667
1283 169 (2, 39) 0.869333333333 0.669333333333 2.47866666667 0.893333333333 0.257333333333 0.274666666667 0.217333333333 1.02933333333
1283 173 (2, 172) 0.932 0.546666666667 2.648 3.01066666667 1.288 1.284 1.044 1.44933333333
1283 179 (2, 178) 1.01333333333 0.562666666667 2.624 3.38533333333 1.49466666667 1.45066666667 1.144 1.48266666667
1283 181 (3, 45) 2.42533333333 0 2.68666666667 1.27333333333 0.412 0.38 0.309333333333 1.312
1283 191 (1, 190) 0.158666666667 0 2.94666666667 4.54133333333 1.84 1.912 1.46 2.15733333333
1283 193 (4, 64) 5.26533333333 0 3.17466666667 2.04533333333 0.612 0.54 0.449333333333 1.70533333333
1283 197 (18, 49) 341.7 0 3.32133333333 1.70933333333 0.508 0.437333333333 0.361333333333 1.66133333333
1283 199 (1, 99) 0.173333333333 0 3.23466666667 3.54666666667 1.056 1.01333333333 0.808 2.11333333333
1283 211 (1, 210) 0.197333333333 0 6.348 8.984 2.164 2.128 1.636 3.05733333333
1283 223 (6, 222) 18.0186666667 0 6.66933333333 11.2386666667 2.78 2.84266666667 2.15466666667 3.84
1283 227 (2, 226) 1.716 1.03466666667 4.416 11.652 2.812 2.68666666667 2.04 3.832
1283 229 (12, 114) 191.82 0 4.42 5.87066666667 1.58933333333 1.51733333333 1.212 3.16933333333
1283 233 (1, 232) 0.248 0 7.57066666667 8.076 2.82 2.74 2.132 3.36
1283 239 (2, 119) 1.86133333333 1.35066666667 4.96666666667 4.38533333333 1.884 1.85066666667 1.45333333333 2.88
1283 241 (1, 240) 0.269333333333 0 4.44133333333 14.604 3.14666666667 2.90133333333 2.22133333333 4.36133333333
1283 243 (2, 162) 2.60133333333 1.45066666667 4.40666666667 9.40133333333 1.88533333333 2.188 1.656 3.88133333333
1283 251 (2, 125) 2.03866666667 1.63733333333 5.216 5.108 2.15333333333 2.10933333333 1.64933333333 3.57866666667
1283 257 (3, 16) 5.17733333333 0 5.29066666667 1.13866666667 0.333333333333 0.245333333333 0.198666666667 3.072
1283 263 (1, 262) 0.333333333333 0 5.41466666667 19.6373333333 4.144 3.89066666667 3.004 5.90666666667
1283 269 (1, 134) 0.350666666667 0 5.71733333333 10.5213333333 2.56133333333 2.34133333333 1.864 5.192
1283 271 (6, 90) 28.216 0 8.572 6.96 1.73333333333 1.50933333333 1.19866666667 4.704
1283 277 (1, 23) 0.370666666667 0 6.25866666667 1.944 0.542666666667 0.414666666667 0.330666666667 4.0
1283 281 (2, 280) 2.61733333333 1.62933333333 6.07466666667 15.2666666667 4.83066666667 4.516 3.476 5.55066666667
1283 283 (3, 47) 6.55466666667 0 9.75866666667 4.29466666667 1.05333333333 0.841333333333 0.662666666667 4.53333333333
1283 289 (6, 136) 33.1293333333 0 9.82 12.1893333333 2.28 2.31066666667 1.87066666667 5.95466666667
1283 293 (2, 292) 2.89733333333 2.12533333333 6.76133333333 17.608 5.36666666667 5.07333333333 3.86 5.90666666667
1283 307 (2, 306) 3.34533333333 2.428 7.08133333333 34.6066666667 6.22266666667 5.652 4.38666666667 8.79066666667
1283 311 (6, 155) 39.2986666667 0 7.53466666667 17.852 3.86 3.732 2.74666666667 7.54933333333
1283 313 (1, 312) 0.489333333333 0 11.592 37.1426666667 6.54 5.95066666667 4.652 9.26666666667
1283 317 (13, 79) 522.218 0 13.0346666667 9.48266666667 2.052 1.70133333333 1.35866666667 6.62666666667
1283 331 (6, 165) 44.552 0 8.804 22.4826666667 4.376 4.04666666667 3.07466666667 8.72133333333
1283 337 (5, 48) 30.9213333333 0 13.2333333333 6.68933333333 1.43333333333 1.084 0.862666666667 7.02266666667
1283 343 (2, 147) 3.99733333333 3.804 13.832 21.3253333333 3.38533333333 3.508 2.71066666667 9.06933333333
1283 347 (3, 346) 10.4093333333 0 16.7786666667 54.3573333333 8.704 7.84533333333 6.064 12.2306666667
