# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**20,2**20+2**9], nbound=[2**7,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, fname=os.getcwd()+'/03.dat')
1048601 137 (6, 136) 23.008 0 6.30266666667 2.22933333333 1.272 1.152 1.108 1.74533333333
1048601 139 (4, 69) 9.36933333333 0 3.84666666667 1.20666666667 0.750666666666 0.712 0.654666666667 1.416
1048601 149 (8, 37) 55.5293333333 0 6.28933333333 0.793333333333 0.470666666667 0.429333333333 0.401333333334 1.37733333333
1048601 151 (3, 50) 5.88133333333 0 6.72933333333 1.12933333333 0.654666666667 0.608 0.56 1.564
1048601 157 (2, 52) 3.18266666667 1.52666666667 5.052 1.284 0.724 0.661333333333 0.605333333333 1.744
1048601 163 (2, 27) 3.45466666667 1.596 5.3 0.742666666666 0.389333333333 0.345333333333 0.318666666667 1.596
1048601 167 (7, 83) 53.4213333333 0 7.97466666667 2.316 1.34 1.24933333333 1.128 2.39333333333
1048601 169 (4, 52) 14.7 0 5.82133333333 1.488 0.686666666667 0.662666666666 0.612 1.98533333333
1048601 173 (2, 172) 4.124 1.64133333333 6.00266666667 3.45733333333 2.40266666667 2.24 2.05066666667 2.82133333333
1048601 179 (1, 89) 0.430666666666 0 7.10533333333 1.94533333333 1.488 1.40133333333 1.26133333333 2.20533333333
1048601 181 (6, 60) 44.8613333333 0 9.35466666667 2.004 0.998666666666 0.897333333334 0.789333333333 2.37733333333
1048601 191 (1, 38) 0.488 0 7.29066666667 1.11066666667 0.733333333333 0.701333333334 0.624 2.08933333333
1048601 193 (2, 96) 5.404 2.56266666667 7.45333333333 3.62666666667 1.708 1.532 1.40533333333 3.37866666667
1048601 197 (9, 196) 143.370666667 0 10.444 8.08133333333 3.27066666667 2.944 2.712 4.53466666667
1048601 199 (4, 99) 21.6493333333 0 10.7453333333 4.204 1.99466666667 1.852 1.66 3.75066666667
1048601 211 (5, 210) 41.668 0 8.93333333333 10.3786666667 3.91333333333 3.53733333333 3.196 5.40266666667
1048601 223 (6, 111) 74.3226666667 0 14.652 6.464 2.78666666667 2.648 2.29866666667 5.21066666667
1048601 227 (8, 226) 152.025333333 0 11.3226666667 13.4 4.83066666667 4.31733333333 3.92266666667 6.73866666667
1048601 229 (1, 228) 0.796 0 11.7986666667 14.0226666667 4.76933333333 4.29866666667 3.856 6.73733333333
1048601 233 (1, 116) 0.801333333333 0 11.9173333333 4.65066666667 2.89733333333 2.644 2.356 3.95466666667
1048601 239 (1, 119) 0.86 0 14.4386666667 5.45466666667 3.30533333333 3.12266666667 2.708 5.248
1048601 241 (6, 30) 88.7493333333 0 12.4 2.23333333333 0.841333333333 0.672 0.606666666666 4.54666666667
1048601 243 (2, 162) 10.668 5.14533333333 12.1093333333 11.2453333333 5.66533333333 5.708 5.14533333333 8.91866666667
1048601 251 (2, 125) 7.408 4.248 13.688 6.37866666667 3.64533333333 3.43066666667 2.948 5.47866666667
1048609 131 (2, 130) 1.968 0.913333333334 3.508 1.30266666667 1.12933333333 1.05466666667 0.989333333334 1.29866666667
1048609 137 (3, 68) 6.40133333333 0 3.79466666667 1.132 0.686666666666 0.641333333333 0.592 1.33066666667
1048609 139 (4, 138) 9.32266666667 0 5.90666666667 2.32133333333 1.26 1.17866666667 1.09866666667 1.74933333333
1048609 149 (8, 37) 55.5013333333 0 6.568 0.814666666667 0.477333333334 0.437333333333 0.404 1.41333333333
1048609 151 (3, 50) 6.052 0 6.472 1.12933333333 0.664 0.622666666666 0.568 1.60266666667
1048609 157 (1, 156) 0.337333333333 0 7.096 3.64933333333 1.856 1.80266666667 1.61466666667 2.60133333333
1048609 163 (2, 18) 3.456 1.77733333333 5.49866666667 0.525333333334 0.272 0.244 0.225333333333 1.504
1048609 167 (7, 83) 53.828 0 8.14933333333 2.30266666667 1.27333333333 1.212 1.088 2.39866666667
1048609 169 (1, 39) 0.377333333333 0 5.90666666667 1.10133333333 0.490666666667 0.484 0.428 1.79066666667
1048609 173 (2, 86) 4.05466666667 1.81066666667 5.95066666667 1.76266666667 1.38666666667 1.33333333333 1.188 2.09866666667
1048609 179 (2, 89) 4.42133333333 2.40666666667 6.50133333333 1.93466666667 1.46 1.38933333333 1.24 2.252
1048609 181 (6, 180) 44.64 0 8.47333333333 6.14666666667 2.676 2.54533333333 2.252 3.67466666667
1048609 191 (1, 190) 0.504 0 7.61866666667 5.12666666667 3.20266666667 3.08 2.716 3.61466666667
1048609 193 (4, 192) 20.148 0 9.96666666667 7.40533333333 2.908 2.57333333333 2.38 4.168
1048609 197 (2, 49) 5.80933333333 2.82133333333 7.916 2.08 0.892 0.773333333333 0.701333333333 2.868
1048609 199 (4, 22) 21.704 0 7.76 1.04533333333 0.456 0.398666666667 0.358666666667 2.59333333333
1048609 211 (10, 15) 217.784 0 12.5706666667 0.876 0.346666666666 0.277333333333 0.246666666667 2.88266666667
1048609 223 (12, 111) 373.196 0 10.184 6.46533333333 2.70533333333 2.57466666667 2.21733333333 5.13466666667
1048609 227 (6, 226) 77.6173333333 0 13.404 13.4173333333 4.73333333333 4.27066666667 3.824 6.66266666667
1048609 229 (6, 12) 78.3866666667 0 11.7666666667 0.918666666666 0.345333333333 0.269333333333 0.242666666667 3.644
1048609 233 (2, 116) 6.40933333333 3.96 11.3893333333 4.58666666667 2.79466666667 2.564 2.30533333333 4.88
1048609 239 (2, 119) 6.59733333333 4.45866666667 12.1146666667 5.268 3.152 3.056 2.65333333333 4.36933333333
1048609 241 (6, 120) 88.3213333333 0 11.756 8.28133333333 3.132 2.82933333333 2.50133333333 6.23333333333
1048609 243 (1, 27) 0.887999999999 0 16.308 1.272 0.56 0.492 0.420000000001 2.492
1048609 251 (2, 50) 7.30666666667 4.33866666667 13.4293333333 2.57466666667 1.444 1.30933333333 1.10133333333 3.724
1048613 131 (1, 5) 0.208 0 5.5 0.0839999999989 0.0613333333337 0.0573333333341 0.0573333333329 0.498666666666
1048613 137 (6, 34) 23.072 0 3.736 0.588000000001 0.344 0.308 0.293333333334 1.06533333333
1048613 139 (4, 69) 9.31733333333 0 3.80533333333 1.172 0.716 0.728 0.667999999999 1.41333333333
1048613 149 (8, 74) 55.4986666667 0 4.78533333333 1.52933333333 0.962666666666 0.913333333334 0.844 1.78
1048613 151 (1, 75) 0.292 0 6.74266666667 1.63066666667 1.02133333333 0.976 0.888 1.86
1048613 157 (5, 78) 20.9626666667 0 7.06933333333 1.884 1.13333333333 1.08533333333 0.988 2.09333333333
1048613 163 (2, 81) 3.44933333333 1.48133333333 5.78133333333 2.076 1.196 1.11866666667 1.02666666667 2.22133333333
1048613 167 (7, 166) 53.3573333333 0 8.23066666667 4.62 2.19866666667 2.056 1.876 2.99733333333
1048613 169 (1, 156) 0.374666666667 0 8.03333333333 4.24666666667 2.00666666667 2.08533333333 1.84266666667 3.012
1048613 173 (1, 43) 0.396000000001 0 8.728 0.862666666667 0.663999999999 0.604000000001 0.556 1.33866666667
1048613 179 (1, 89) 0.433333333333 0 6.772 1.95466666667 1.488 1.40666666667 1.26533333333 2.52266666667
1048613 181 (3, 9) 9.06133333333 0 8.91066666667 0.398666666667 0.175999999999 0.152000000001 0.138666666667 1.84533333333
1048613 191 (1, 95) 0.506666666667 0 9.636 2.45333333333 1.85733333333 1.80933333333 1.58266666667 2.51866666667
1048613 193 (2, 192) 5.38533333333 3.416 7.21733333333 7.30133333333 2.92266666667 2.57466666666 2.40266666667 4.15466666667
1048613 197 (18, 196) 715.6 0 8.06 7.908 3.28 2.95333333333 2.72266666667 4.556
1048613 199 (1, 66) 0.545333333334 0 8.588 2.83866666667 1.284 1.14533333333 1.044 3.19866666667
1048613 211 (5, 105) 41.632 0 12.5 5.14533333333 2.25733333333 2.04666666667 1.824 4.27066666667
1048613 223 (12, 222) 372.222 0 13.0493333333 13.0173333333 4.828 4.61866666667 4.00533333333 6.62533333333
1048613 227 (24, 113) 1857.604 0 11.2 6.69066666667 2.70666666667 2.46666666667 2.18666666667 5.28666666667
1048613 229 (12, 76) 403.898 0 13.5426666667 4.65333333333 1.86933333333 1.63733333333 1.488 4.78666666667
1048613 233 (1, 116) 0.806666666667 0 12.3826666667 4.66933333333 2.89466666667 2.636 2.34933333333 4.62266666667
1048613 239 (2, 119) 6.70933333333 4.76666666667 12.352 5.21466666667 3.268 3.08666666667 2.66666666667 4.97066666667
1048613 241 (3, 48) 17.3226666667 0 13.3186666667 3.42266666667 1.29066666667 1.09066666667 0.965333333334 4.86133333333
1048613 243 (1, 162) 0.898666666667 0 12.0066666667 6.81733333333 6.8 6.94266666667 6.38533333333 9.26266666667
1048613 251 (1, 250) 0.977333333334 0 17.508 12.608 6.58266666667 6.152 5.39466666667 7.66533333333
1048627 131 (1, 130) 0.208 0 3.352 1.3 1.17733333333 1.06 1.028 1.26533333333
1048627 137 (2, 136) 2.21733333333 1.144 3.528 2.16 1.21733333333 1.09733333333 1.05466666667 1.66266666667
1048627 139 (4, 69) 9.04933333333 0 5.524 1.168 0.726666666667 0.694666666668 0.653333333333 1.432
1048627 149 (8, 37) 55.612 0 4.48266666667 0.816 0.473333333333 0.426666666666 0.398666666667 1.36933333333
1048627 151 (3, 50) 5.876 0 6.47733333333 1.096 0.658666666666 0.612 0.569333333334 1.57333333333
1048627 157 (5, 156) 20.9813333333 0 6.824 3.72266666667 1.976 1.87866666667 1.70533333333 2.672
1048627 163 (1, 54) 0.350666666667 0 5.216 1.428 0.745333333334 0.652000000001 0.627999999999 1.86133333333
1048627 167 (14, 166) 277.525333333 0 5.444 4.58 2.228 2.068 1.908 3.01466666667
1048627 169 (2, 52) 3.82533333333 1.83466666667 5.44133333333 1.44666666667 0.675999999999 0.648 0.600000000001 1.93333333333
1048627 173 (1, 172) 0.396000000001 0 5.832 3.44933333333 2.40533333333 2.23333333333 2.05866666667 2.76533333333
1048627 179 (2, 89) 4.42933333333 2.18533333333 6.47733333333 1.876 1.50666666667 1.42133333333 1.29066666667 1.71733333333
1048627 181 (6, 90) 44.88 0 6.58266666667 3.00133333333 1.572 1.47866666667 1.332 3.03466666667
1048627 191 (2, 38) 5.33333333333 2.24933333333 7.54933333333 1.028 0.754666666668 0.708 0.628000000001 1.352
1048627 193 (1, 192) 0.508 0 9.216 7.39466666667 2.95333333333 2.58666666667 2.428 4.18133333333
1048627 197 (18, 49) 715.456 0 10.7893333333 2.06133333333 0.925333333333 0.785333333333 0.734666666667 2.86133333333
1048627 199 (2, 22) 5.816 2.916 8.50933333333 1.04266666667 0.462666666666 0.393333333333 0.361333333334 2.57866666667
1048627 211 (2, 42) 6.848 3.37333333333 8.51733333333 2.148 0.922666666667 0.798666666666 0.72 3.29733333333
1048627 223 (6, 111) 74.5466666667 0 13.1986666667 6.46133333333 2.83866666667 2.68533333333 2.34933333333 5.24666666667
1048627 227 (6, 226) 77.68 0 10.764 13.4226666667 4.79066666667 4.308 3.896 6.67066666667
1048627 229 (6, 114) 78.5613333333 0 11.288 6.92533333333 2.80266666667 2.556 2.28133333333 5.47066666667
1048627 233 (1, 232) 0.805333333334 0 11.6813333333 9.46666666667 5.24533333333 4.73466666667 4.29066666667 5.36133333333
1048627 239 (1, 119) 0.869333333333 0 12.7333333333 5.22 3.37866666667 3.18666666667 2.77866666667 4.548
1048627 241 (2, 10) 7.008 4.91066666667 11.7146666667 0.916 0.329333333334 0.250666666667 0.234666666667 4.20266666667
1048627 243 (1, 3) 0.895999999999 0 12.3253333333 0.337333333333 0.189333333334 0.157333333333 0.162666666667 1.63466666667
1048627 251 (2, 50) 7.43733333333 3.91733333333 13.8466666667 2.62266666667 1.484 1.31066666667 1.14266666667 3.69333333333
1048633 131 (1, 65) 0.210666666667 0 3.512 0.676000000001 0.630666666667 0.590666666667 0.530666666667 0.977333333332
1048633 137 (3, 136) 6.33333333333 0 5.76133333333 2.38666666667 1.27733333333 1.15466666667 1.10266666667 1.744
