# ./benchmark.sh 32 2**60 2**60+2**8 2**10 2**10+2**5 2 3 600
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta6, Release Date: 2016-12-09
# ffisom revision d34a50562b548727073fe60b8c6a1417b66a3b70
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark(pbound=[2**60, 2**60+2**8], nbound=[2**10, 2**10+2**5], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/32.dat', )"
1152921504606847009 1031 (2, 1030) 4782.76262403 2419.0259459 1224.92368197 4129.60555506 19636.1350992 520764.251905 939.984421015 671.548830986 697.195363045 702.517261982 718.523575068 875.615274906
1152921504606847009 1033 (4, 86) 23638.7204301 11217.0911901 0 3841.06528687 3599.22491002 11972.8936641 113.699802637 64.9541783333 65.7517396609 69.4076966445 266.099962314 933.383039951
