# ./benchmark.sh 25 3 2**9 2**10 2**10+2**5 2 3 600
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta6, Release Date: 2016-12-09
# ffisom revision d34a50562b548727073fe60b8c6a1417b66a3b70
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark(pbound=[3, 2**9], nbound=[2**10, 2**10+2**5], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/25.dat', )"
3 1031 (1, 515) 1.18155932426 0.694848457972 0 0 740.076359034 2379.97038984 61.3444082737 38.8671506246 38.875756979 24.6615110238 25.0649550756 61.0414557457
3 1033 (4, 516) 20.3590493202 28.0059426626 0 0 1631.354496 3265.69183707 55.3817323049 38.4900216262 38.4112113317 24.3792850971 25.1379773617 91.5217160384
3 1039 (4, 1038) 20.1168739796 28.4578533967 0 0 3406.49171805 9525.89233303 122.295830329 72.6199343999 73.0374719302 44.8304406802 44.3496455352 115.718018691
3 1049 (1, 1048) 1.23012868563 0.79244240125 0 0 1792.92772698 6880.63184214 105.147681077 65.2231816451 65.1175637245 42.1643706163 42.299482584 90.3290932973
3 1051 (28, 210) 56.5150657495 3039.02681398 0 0 710.203736067 799.788799047 30.1437619527 18.5778696537 18.9010592302 11.2387463252 12.2520300547 84.4999683698
5 1031 (2, 515) 13.036552906 8.44501972198 6.44186170896 13.6975169977 809.870811939 3262.90311098 68.0321327051 42.5491256714 42.466405948 26.7468633652 27.232363383 86.4056193829
5 1033 (4, 1032) 63.8866160711 60.1500868797 0 12.9474059741 3425.35566115 16199.537951 112.370680014 64.7992297014 64.8404930433 43.6322327455 43.4240836302 121.268743674
5 1039 (4, 173) 66.589249293 60.9076820215 0 12.601706028 563.362591505 977.621529102 31.4172499975 16.3402156035 16.3717266719 10.0931416353 11.3763821125 92.0903446674
5 1049 (1, 524) 2.67725634575 1.18672601382 0 13.5977183978 924.887568951 3725.49894881 64.9283836683 46.6016476154 46.7036979198 29.4436542988 29.6998083591 94.4455660979
5 1051 (12, 525) 913.364737034 713.929982901 0 14.2283503215 1867.35753798 6223.99160695 70.65817372 50.213911136 51.3367215792 29.8014509678 30.6769580046 115.978515069
7 1031 (1, 206) 2.95635167758 1.37068065008 0 15.7456417878 347.432456017 703.055849075 36.6945014 18.7100043297 18.6683282852 12.3788306713 14.3958919843 36.342236042
7 1033 (4, 172) 77.7562567393 70.5784049034 0 15.9508649508 565.58060503 1115.896384 28.4558757146 15.1232936382 15.5731862386 10.4991309643 11.717734019 91.58614103
7 1039 (4, 519) 81.5763193766 71.0450349649 0 15.7328263124 1740.68530583 7750.6209619 78.4231676261 49.3539899985 49.5482359727 29.9804186821 31.3694765568 113.370316903
7 1049 (1, 1048) 3.30523498853 1.49648737907 0 0 1858.09385705 11798.275579 118.087694089 70.4757889112 70.8970607122 44.7048746745 44.7033583323 87.4358917077
7 1051 (12, 1050) 1112.38482809 828.304972887 0 18.1547439098 3734.84221697 22844.833899 136.668112834 82.4008653959 82.4503273169 50.2495412827 49.032356739 138.283204079
11 1031 (1, 515) 4.49610201518 1.8519299825 0 0 874.784013033 5023.61601591 77.5326557954 47.2135882378 47.6782495975 30.8092576663 32.1358576616 86.9045162996
11 1033 (4, 1032) 108.635899067 84.1657483578 0 23.0104619662 3699.41107297 42925.8836279 122.658432404 70.8159906069 70.7911756833 48.2170199553 48.668292284 135.199199994
11 1039 (4, 1038) 108.93946743 90.1096392473 0 24.138061285 3777.077317 54292.6164792 230.711419423 151.086561918 150.995866696 91.7189889749 88.0150146484 255.21676596
11 1049 (2, 524) 33.0604876677 31.7303760846 15.2948833307 37.5917465687 1605.5746448 7868.58627701 118.266322692 80.709256649 83.5649305979 54.4936747551 51.245039622 144.599856615
11 1051 (12, 525) 2519.23889494 1857.11532497 0 25.5991292795 3561.14963984 18736.9881999 125.212503433 92.5330109596 93.0650990009 56.6303393841 56.575018088 208.200894674
# ./benchmark.sh 25 14 2**9 2**10 2**10+2**5 2 3 600
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta6, Release Date: 2016-12-09
# ffisom revision d34a50562b548727073fe60b8c6a1417b66a3b70
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark(pbound=[14, 2**9], nbound=[2**10, 2**10+2**5], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/25.dat', )"
17 1031 (2, 206) 28.6833660603 20.2909182707 11.2014860312 30.3786866665 389.45006144 1476.45729303 40.0744783084 22.7033046881 21.96114103 13.9956270059 16.0455473264 81.5137689114
17 1033 (1, 516) 6.04093734423 2.43754506111 0 31.9071579774 1745.21855211 12673.7995229 75.0046916008 48.5927979946 47.3252642949 30.6590867043 31.2737429937 128.191866954
17 1039 (1, 519) 6.87464499474 3.11416331927 0 28.8758432865 1843.94329381 13916.258466 93.1103409131 62.8602495988 61.0517389774 35.056076924 35.1569729646 142.6973447
17 1049 (1, 1048) 7.75241533915 3.47873004278 0 40.5577173233 2118.46730709 31865.8114991 129.380622228 83.9495844046 88.4760560195 53.4844706059 57.192272981 114.681831439
17 1051 (3, 1050) 82.2394769986 57.9244177341 0 35.375885725 4406.61725807 57756.7951081 145.630346934 92.213168939 92.6523052851 55.6682500839 56.7422742844 159.028971036
19 1031 (2, 206) 29.3918779691 21.0389899413 10.5937303702 30.551647981 356.281447053 1497.30037904 41.3282272816 22.8578740756 21.9624922276 14.8451894124 16.3256629308 74.1038966974
19 1033 (4, 129) 155.949661732 105.502709548 0 29.2231047153 506.477882624 1206.1975708 26.2987629573 12.6589846611 12.5272343159 8.39826798439 10.5778889656 109.656788111
19 1039 (4, 519) 174.423817555 115.266164621 0 35.4051383336 2498.97381592 14071.901865 93.0726166566 61.7129576206 62.550296704 36.0480999947 36.27389431 141.156627655
19 1049 (2, 131) 29.8709176381 23.790016969 14.2462536494 32.2885229588 288.502213399 949.177222967 25.9462006092 13.5501499971 13.9286806583 9.10062702497 11.1153356234 82.1039898396
19 1051 (2, 210) 31.4080253442 21.6846150557 14.2647906144 31.1508523623 884.049999952 2623.00047803 46.521269242 28.285466671 26.8283566634 17.9658896923 20.5306386948 131.96808664
23 1031 (2, 515) 30.4687550068 25.1333623727 11.5805566311 29.4699099859 1024.60323095 6931.38174105 91.0559000174 51.3860506217 50.1598670483 32.1847313245 33.557861805 76.797495683
23 1033 (1, 1032) 8.24279562632 4.44881765048 0 35.983311971 5159.19883394 60965.960789 132.859634717 88.8905759652 115.408472697 55.6765710513 53.4075733026 145.774822632
23 1039 (4, 346) 213.435074647 125.114408652 0 58.7873950005 1466.31982589 8660.02519894 64.8600626787 37.722947677 37.7543636163 23.6000445684 25.7257323265 121.94948403
