# ./benchmagma.sh m09 5 2**9 2**10 2**10+2**5 2 1
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[5,2**9], nbound=[2**10,2**10+2**5], prime=2, loops=1, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m09.dat')"
137 1049 (1, 1048) 16.1530199051
137 1051 (2, 210) 93.8043551445
139 1031 (2, 515) 83.2446050644
139 1033 (4, 1032) 393.357688904
139 1039 (4, 1038) 376.307740927
139 1049 (1, 1048) 15.1980948448
139 1051 (12, 150) 4361.78426886
149 1031 (2, 1030) 79.6697130203
149 1033 (2, 1032) 75.9158058167
149 1039 (4, 173) 342.577975988
149 1049 (2, 524) 89.4512331486
149 1051 (12, 210) 4341.18793797
151 1031 (2, 206) 88.5585660934
151 1033 (4, 129) 409.64398098
151 1039 (2, 519) 73.0246789455
151 1049 (2, 1048) 75.9031860828
151 1051 (6, 350) 946.596529007
157 1031 (2, 515) 71.9014728069
157 1033 (1, 1032) 13.2456228733
157 1039 (2, 1038) 79.165558815
157 1049 (1, 1048) 12.9025261402
157 1051 (12, 175) 5155.204669
163 1031 (1, 1030) 15.3726890087
163 1033 (1, 129) 17.7166409492
163 1039 (4, 1038) 372.382930994
163 1049 (2, 262) 79.4975559711
163 1051 (3, 25) 218.001859188
167 1031 (1, 1030) 15.9782099724
167 1033 (4, 129) 423.390789032
167 1039 (4, 519) 415.41348815
167 1049 (1, 131) 12.0756289959
167 1051 (3, 210) 182.492163181
173 1031 (1, 1030) 10.9411461353
173 1033 (4, 1032) 311.640275002
173 1039 (4, 519) 314.231552839
173 1049 (1, 1048) 11.3890869617
173 1051 (3, 21) 171.242258787
179 1031 (1, 515) 10.7742168903
179 1033 (2, 258) 63.4068989754
179 1039 (4, 346) 318.362308025
179 1049 (1, 1048) 11.7488288879
179 1051 (6, 210) 813.360515118
181 1031 (2, 515) 63.6237120628
181 1033 (4, 344) 314.797091007
181 1039 (4, 1038) 426.44146204
181 1049 (1, 262) 11.4425189495
181 1051 (12, 6) 4599.30555987
191 1031 (2, 515) 63.2722489834
191 1033 (4, 172) 319.833942175
191 1039 (4, 519) 434.839422941
191 1049 (1, 1048) 11.6586890221
191 1051 (12, 1050) 4624.25312686
193 1031 (2, 206) 64.192679882
193 1033 (4, 344) 319.607321978
193 1039 (4, 1038) 322.498052835
193 1049 (1, 524) 11.5821640491
193 1051 (4, 21) 341.585309982
197 1031 (1, 1030) 11.2686171532
197 1033 (1, 1032) 11.5368740559
197 1039 (4, 519) 324.486386061
197 1049 (2, 524) 68.1962268353
197 1051 (12, 350) 4669.31041217
199 1031 (1, 206) 10.9517350197
199 1033 (4, 1032) 320.702330112
199 1039 (2, 173) 65.8277049065
199 1049 (1, 1048) 11.6356959343
199 1051 (12, 1050) 5589.66887712
211 1031 (1, 103) 11.2201478481
211 1033 (4, 129) 323.718472958
211 1039 (1, 519) 11.7549951077
211 1049 (1, 1048) 11.6924059391
211 1051 (12, 525) 4807.65863109
223 1031 (2, 1030) 65.6041409969
223 1033 (2, 1032) 66.2405469418
223 1039 (1, 173) 11.8588459492
223 1049 (1, 8) 12.0153222084
223 1051 (12, 525) 4904.55355501
227 1031 (1, 515) 11.0893929005
227 1033 (2, 1032) 66.3346989155
227 1039 (1, 346) 11.9003620148
227 1049 (1, 524) 11.7527580261
227 1051 (12, 175) 4862.51928115
229 1031 (2, 1030) 65.5639028549
229 1033 (1, 344) 11.7615709305
229 1039 (4, 1038) 331.338313103
229 1049 (2, 1048) 69.3786659241
229 1051 (12, 525) 4892.19901919
233 1031 (2, 1030) 66.3014161587
233 1033 (4, 516) 330.418217182
233 1039 (2, 519) 67.5096969604
233 1049 (1, 524) 12.1377270222
233 1051 (6, 350) 1007.67458391
239 1031 (1, 1030) 11.3386321068
239 1033 (4, 1032) 333.462552071
239 1039 (4, 1038) 336.042326927
239 1049 (2, 524) 69.6184108257
239 1051 (12, 175) 5150.31851983
241 1031 (1, 515) 11.2213201523
241 1033 (2, 1032) 66.9058969021
241 1039 (1, 519) 11.9193041325
241 1049 (2, 1048) 69.6368908882
241 1051 (2, 175) 70.7347331047
251 1031 (1, 1030) 11.3879289627
251 1033 (1, 1032) 11.9243860245
251 1039 (4, 346) 337.048219919
251 1049 (2, 131) 70.5674190521
251 1051 (2, 525) 71.4885399342
257 1031 (2, 1030) 75.356730938
257 1033 (1, 1032) 15.6459820271
257 1039 (4, 519) 365.229866028
257 1049 (2, 262) 78.5524640083
257 1051 (12, 525) 5162.36390281
263 1031 (2, 1030) 88.5244469643
263 1033 (4, 43) 361.263019085
263 1039 (4, 173) 429.317255974
263 1049 (2, 1048) 78.7216980457
263 1051 (12, 175) 5457.22656512
269 1031 (1, 515) 15.2695338726
269 1033 (4, 516) 365.095488071
269 1039 (4, 519) 367.185189009
269 1049 (1, 1048) 16.0133700371
269 1051 (2, 525) 80.4587638378
271 1031 (2, 515) 76.4723899364
271 1033 (2, 258) 76.333411932
271 1039 (4, 173) 389.818513155
271 1049 (1, 1048) 15.8811969757
271 1051 (12, 1050) 5153.35094404
277 1031 (2, 206) 77.0708580017
277 1033 (1, 129) 15.696570158
277 1039 (4, 519) 369.319981098
277 1049 (1, 524) 16.0972230434
277 1051 (4, 525) 381.112627029
281 1031 (2, 1030) 78.8267591
281 1033 (4, 1032) 366.304307938
281 1039 (1, 519) 16.3975050449
281 1049 (1, 1048) 16.0622429848
281 1051 (3, 30) 212.863046885
