# ./benchmark.sh 01 5 2**9 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[5,2**9], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/01.dat', )"
5 167 (7, 166) 3.68341135979 0 0.584003925323 2.00424067179 1.05151104927 1.18058506648 0.77242231369 0.773449341456 1.53401430448
5 169 (4, 52) 1.30538487434 0 0.316655079524 1.35730067889 0.291776339213 0.347917397817 0.250950892766 0.218203862508 0.971648216248
5 173 (2, 172) 0.385332902273 0.249410311381 0.311500151952 2.22595763206 0.992957671483 1.12896498044 0.823443810145 0.790906031926 1.22608931859
5 179 (1, 89) 0.0369106928507 0 0.408157348633 1.13995798429 0.694096008937 0.774192651113 0.529003302256 0.543952465057 1.47252527873
5 181 (2, 15) 0.448698997498 0.252322594325 0.422119696935 0.187136014303 0.140694697698 0.149812459946 0.103972276052 0.123962004979 1.09520967801
5 191 (2, 19) 0.485697031021 0.361724932988 0.438631375631 0.271288077037 0.210722287496 0.236989736557 0.163145780563 0.184101025263 1.33343640963
5 193 (4, 192) 1.62407430013 0 0.516866922379 2.87845261892 1.52358261744 1.51112794876 1.09632277489 1.09722399712 2.23953342438
5 197 (18, 196) 39.4127013683 0 0 3.16662065188 1.53463371595 1.06830604871 0.71972767512 0.719266970952 1.50134833654
5 199 (4, 33) 1.02809866269 0 0.247766335805 0.335235357285 0.188322941462 0.193082809448 0.132711966832 0.144373099009 0.707624355952
5 211 (22, 35) 77.2770406405 0 0.448903799057 0.416070699692 0.259865601858 0.250938256582 0.183117389679 0.200883944829 1.16318933169
5 223 (12, 222) 13.2909890811 0 0.463033994039 3.67890699704 1.60329866409 1.84778769811 1.12020476659 1.12075106303 2.2398537
5 227 (3, 226) 0.863857030869 0 0 3.60737037659 1.52390638987 1.56977033615 1.01156798999 1.00617098808 2.17381072044
5 229 (1, 114) 0.0389116605123 0 0.439767281214 1.65199065208 0.810588359833 0.852509101232 0.576658646266 0.593170642853 1.63745133082
5 233 (2, 232) 0.400132020315 0.267878452937 0.451194683711 3.89354157448 1.64217527707 1.68802626928 1.08593130112 1.08882260323 2.33588798841
5 239 (1, 119) 0.0426606337229 0 0.514031330744 1.98691002528 0.98174460729 1.09383233388 0.713839292526 0.735169331233 2.08576162656
