# ./benchmark.sh 11 2**10 2**10+2**8 2**8 2**9+2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**10,2**10+2**8], nbound=[2**8,2**9+2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/11.dat', )"
1031 257 (2, 256) 2.15084036191 1.54000194867 3.93211102486 17.940567414 3.72102745374 3.26227664948 2.61087862651 2.61721634865 5.35944970449
1031 263 (6, 131) 25.6069883506 0 4.43034132322 9.85493763288 2.50157968203 2.33502689997 1.82201393445 1.96011265119 5.01531648636
1031 269 (8, 67) 52.726947705 0 4.33521811167 5.28468298912 1.29239137967 1.09946974119 0.870210727056 1.07911769549 4.42493065198
1031 271 (3, 270) 5.61208232244 0 4.34060462316 22.8081986904 4.68185098966 4.74309198062 3.38657037417 3.39250167211 6.78534340858
1031 277 (2, 276) 2.49035271009 1.68492627144 4.93197743098 25.3823796113 5.4972615242 6.32796708743 4.43646637599 3.55560302734 7.78990896543
1031 281 (1, 40) 0.391342322032 0 5.71993231773 2.24387001991 1.1767179966 0.850563685099 0.886943976084 0.897538344065 4.37347865105
1031 283 (1, 282) 0.568657954534 0 5.94346729914 26.6845207214 5.43665067355 5.38900494576 3.88250796 3.8777850469 7.61974493663
1031 289 (3, 272) 6.60695004463 0 5.28897062937 25.7324563662 6.48114895821 6.89660104116 5.82243299484 5.85231868426 9.84420530001
1031 293 (2, 146) 2.84196901321 1.89175232251 5.08434033394 8.49651169777 3.2688202858 2.96043030421 2.34348464012 2.46726433436 4.60294969877
1031 307 (2, 153) 3.10685865084 2.26164627075 5.84765227636 17.3803170522 3.72593037287 3.56982866923 2.64984329542 2.84550333023 7.48821004232
1031 311 (3, 155) 7.76053571701 0 6.09431298574 18.396131595 3.98319602013 3.87956436475 2.83236296972 3.03746636709 7.83452224731
1031 313 (2, 312) 3.27177770933 2.36281903585 6.35218596458 38.1104019483 6.8264169693 6.47726408641 4.80859533946 4.81244834264 9.63125101725
1031 317 (1, 316) 0.550747712453 0 6.50636275609 40.3025976022 7.27857955297 7.18325241407 5.18150194486 5.18224064509 10.2989929517
1031 331 (3, 22) 8.86593635877 0 7.06736405691 3.11379965146 0.745497941971 0.56595102946 0.435428698858 0.845477898916 6.41027967135
1031 337 (10, 336) 148.602235715 0 7.23605108261 49.1513120333 7.85229730606 6.97754303614 5.37339520454 5.37897992134 11.2719013691
1031 343 (4, 147) 18.5008180141 0 7.34039886793 21.8560833931 3.5044696331 3.74017937978 2.79875485102 3.08998036385 9.34737563133
1031 347 (3, 346) 9.97896591822 0 7.61803237597 55.8721437454 9.11050995191 8.7209575971 6.35872864723 6.34946068128 12.793271939
1031 349 (5, 174) 32.3598675728 0 7.91225894292 27.9372253418 5.41434621811 5.20200864474 3.80162739754 4.07534972827 10.6946159999
1031 353 (7, 352) 73.2067759037 0 8.13392273585 58.3634266853 8.9000167052 7.83083065351 6.00998099645 6.46616307894 12.8771849473
