# ./benchmark.sh 12 2**20 2**20+2**8 2**8 2**9+2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**20,2**20+2**8], nbound=[2**8,2**9+2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/12.dat', )"
1048583 257 (3, 64) 20.7756800652 0 12.9723202387 5.33900372187 1.83452137311 1.45084373156 1.35234562556 1.90701500575 6.282066981
1048583 263 (3, 131) 21.764749368 0 13.4511843522 11.6521603266 4.21613891919 3.87475283941 3.3484099706 3.74493892988 8.54675928752
1048583 269 (2, 67) 9.11955769857 5.56512864431 15.8245262305 6.41231544813 2.19970361392 1.86714363098 1.64696296056 2.25134364764 7.45285820961
1048583 271 (1, 10) 1.20747733116 0 14.6811013222 1.28962771098 0.429084300995 0.329865058263 0.29779402415 1.08999705315 6.3916370074
1048583 277 (4, 92) 48.7697403431 0 18.8336413701 11.6147837639 3.73396976789 3.03485830625 2.93220631282 3.1052210331 10.9850623608
1048583 281 (1, 14) 1.32833965619 0 16.8882085482 1.2785217762 0.584004322688 0.419749101003 0.369566281637 1.1507033507 4.23640561104
1048583 283 (6, 282) 134.414317926 0 15.8419620991 30.7130217552 8.99290728569 8.62359706561 7.12872099876 7.13660375277 13.1083049774
1048583 289 (2, 272) 10.7733906905 7.10769494375 17.2085789839 29.9534537792 7.84381270409 7.79890871048 7.11984395981 6.85546159744 13.1827017466
1048583 293 (1, 73) 1.44715634982 0 17.9792958895 5.74444739024 2.76706298192 2.29924766223 2.04193639755 2.70386099815 5.24311526616
1048583 307 (2, 306) 12.1546870073 6.24361538887 19.3306396802 41.1229246457 10.6439320246 9.85089564323 8.1793513298 8.18611470858 15.4865169525
1048583 311 (1, 310) 1.69289032618 0 20.6258219083 43.3977660338 11.5390123526 11.0490747293 9.03223999341 9.02029466629 16.6805071036
1048583 313 (2, 26) 12.7040740649 8.27157934507 19.5525363286 4.03293061256 1.23431603114 0.96687301 0.812816619873 1.90310470263 9.73946166039
1048583 317 (13, 79) 1107.95282006 0 20.6282047431 11.7732872963 3.58955113093 3.1573082606 2.60214265188 3.53042205175 11.7652373314
1048583 331 (6, 330) 192.89540863 0 23.4052230517 53.7722154458 12.8570256233 11.7052699725 9.83252724012 9.82242274284 18.8860716025
1048583 337 (5, 336) 129.332338333 0 27.4999186198 56.5956688722 13.0498029391 11.3436264197 9.88344113032 9.90814765294 19.4274880886
1048583 343 (2, 147) 15.7489953041 9.96241164207 25.4021493594 25.5852363904 5.93883196513 5.85493310293 4.79753772418 5.66740131378 15.6481916904
1048583 347 (6, 173) 216.766712348 0 25.5024470488 31.9743436972 8.70687572161 8.24888722102 6.60721564293 7.38777867953 17.7124100526
1048583 349 (2, 116) 16.7364846865 12.9853827953 27.4087436199 21.9039839904 5.93538244565 5.33632961909 4.32725358009 5.37134297689 15.8825285435
1048583 353 (7, 352) 321.572360039 0 27.0813129743 67.3451607227 14.8639625708 12.8466997147 11.1487740676 11.1739176114 22.1281806628
1048583 359 (1, 179) 2.37529404958 0 29.9705025355 22.7131960392 9.87561098735 9.28871885935 7.5261879762 8.23816132545 16.0392581622
1048583 361 (3, 57) 46.6546509266 0 31.3941397667 11.8156626225 2.70568037033 2.31057310104 1.89831272761 3.31726296743 14.9169538021
1048583 367 (3, 61) 47.674416701 0 30.9284663995 13.5163407326 3.6166323026 3.11244765917 2.44681096077 3.90514699618 16.2175239722
1048583 373 (1, 372) 2.56795668602 0 33.300810655 84.4661939144 18.0660565694 16.7842307091 13.5460966428 13.5589493116 26.3915673097
1048583 379 (12, 378) 1352.08713508 0 35.4477147261 90.9485418797 19.6933666865 18.9738303026 14.938942035 14.932670037 28.4827385743
1048583 383 (3, 382) 53.4427349567 0 33.6343293985 95.2867519061 20.5061679681 20.243718942 15.472990036 15.4767200152 29.5880523523
1048583 389 (12, 388) 1421.51527405 0 39.4434660276 96.6071573099 19.1500354608 16.1175546646 13.9099467595 13.9202540716 28.1648219426
1048583 397 (1, 33) 2.99543166161 0 36.5324712594 9.38551664352 2.38351202011 1.69720260302 1.40589324633 3.34296735128 18.3620490233
1048583 401 (4, 40) 116.618598938 0 41.2291169961 11.3970126311 2.83146500587 2.01164476077 1.69613273938 3.64240797361 19.1769812107
1048583 409 (4, 408) 121.24148798 0 41.4775663217 117.374937375 21.9864923954 19.2940406799 15.8857997259 15.8754352729 32.1036003431
1048583 419 (1, 209) 3.4026620388 0 41.5848402977 38.2524870237 14.403469642 12.6109646161 10.4081447124 11.4176663558 19.6988867124
1048583 421 (2, 60) 25.9273913701 15.018464009 41.2652014097 19.0286423365 4.45198098818 3.29063034058 2.69058465958 4.80448261897 22.6007157167
1048583 431 (1, 430) 3.63782334328 0 43.6555723349 87.7211406231 26.5288320382 24.7446210384 19.1980853081 19.2143323421 29.0186820825
1048583 433 (4, 108) 139.358883699 0 46.6512476603 35.9619059563 8.06711673737 6.43445841471 5.30981643995 7.29074875514 26.4662646453
1048583 439 (5, 73) 247.075794697 0 44.5777789752 25.6880074342 6.06085729599 4.90865095456 3.80229028066 6.03603720665 25.8187460105
1048583 443 (1, 442) 3.92191028595 0 45.652050972 96.6109663645 28.737546285 26.4386476676 20.6448036035 20.5978223483 30.9511020978
1048583 449 (2, 448) 29.6941263676 20.2328257561 48.0394252141 162.610750675 27.9345153173 22.8916095893 19.5788046519 19.5574680964 40.9241499106
1048583 457 (30, 228) 13714.3417132 0 50.143339475 86.6371586323 18.106095314 15.8081205686 12.8244187037 14.343616724 36.8307126363
1048583 461 (3, 460) 81.9703552723 0 51.1921087106 181.418843905 31.2475946744 28.0223415693 22.3077433904 22.3024166425 45.0288537343
1048583 463 (6, 231) 425.655347586 0 57.2373350461 91.593641758 19.5252883434 18.2653605938 14.0014517307 15.5895337264 38.8481659889
1048583 467 (6, 466) 430.614311099 0 54.7224160035 189.957145929 32.0402413209 28.8648583094 22.66705362 22.6754006545 46.1611496607
1048583 479 (4, 478) 177.247861942 0 53.8333276113 212.180450201 35.702222983 34.7426942984 25.5690996647 25.5889199575 50.8703920841
1048583 487 (2, 243) 35.8957177003 21.3819426696 58.2318563461 109.995827278 22.3483496507 20.7007312775 15.8062392871 17.5606052876 44.4934753577
1048583 491 (2, 245) 36.3157265981 19.3934977849 56.9638804595 68.6322976748 22.525815328 20.8111786842 16.0031876564 17.4948010445 34.7411426703
1048583 499 (4, 249) 193.962143342 0 64.1493560473 120.407727083 23.6225276788 21.8709877332 16.6930790742 18.5508306821 47.5904730161
1048583 503 (1, 502) 5.28760075569 0 67.0480167071 251.774064938 40.8042736848 39.1012736956 28.8992203871 28.9298009078 58.5626827081
1048583 509 (2, 127) 39.5314157009 25.7061283588 67.7932589054 37.2100329399 13.0136464437 10.9919416904 8.51081204414 11.0583173434 32.2286640008
1048583 521 (2, 520) 42.7921330929 27.6252915859 70.8044669628 286.082137585 40.5683108966 31.966816028 27.8486486276 27.8589253426 61.8423026403
1048583 523 (2, 261) 42.52927502 24.1282433669 72.0055119197 143.816733599 25.8844916821 21.7447443008 17.6193436782 19.7370293935 55.0044126511
1048583 529 (11, 253) 2138.50682688 0 69.8554689884 141.640964667 21.7848216693 19.7441489697 16.8044567108 19.0709606012 55.1268613338
1048583 541 (9, 45) 1544.01109886 0 75.289431413 28.665352265 5.67870561282 3.91120870908 3.05899429321 7.15997831027 46.1429107189
1048583 547 (10, 546) 1895.20012212 0 86.9484949112 340.715146899 47.7104402383 39.072274367 32.4669216474 32.4903972944 71.7042079767
1048583 557 (6, 278) 643.233922958 0 82.7640832265 181.913886627 30.8468199571 27.0863883495 21.1533139547 23.6840266387 65.4434739749
1048583 563 (7, 281) 882.423845053 0 89.1812132994 187.901944002 32.0236330032 27.8455253442 21.6608703136 24.2359363238 66.7541996638
1048583 569 (2, 568) 51.9521482786 37.8845249812 87.0828977426 398.619346499 53.0210289955 45.6140669982 36.236618042 36.2776579857 80.2378236453
1048583 571 (10, 285) 2048.59621692 0 92.9792597294 200.298598607 34.006620725 30.4414083958 23.1280585925 25.8049250444 70.5201710065
1048583 577 (2, 576) 53.5663514137 29.0650226275 88.7234209379 416.100253582 52.409311374 40.4425725937 34.7592779795 34.8039189974 81.0503117243
1048583 587 (14, 293) 4935.34651089 0 92.8916103045 221.638410012 35.7739230792 30.4902043343 23.6026008924 26.4263500373 74.2837614218
1048583 593 (1, 592) 7.7917509079 0 100.346929232 270.746246656 56.8509283066 45.2903386752 37.4274217288 37.3730796973 65.5352769693
1048583 599 (8, 299) 1491.76754498 0 99.1549669902 239.211458286 38.3370917638 34.0823726654 25.4953366915 28.4396445751 78.340192318
1048583 601 (3, 150) 153.63419493 0 99.573131005 121.197461764 19.6556471189 15.2171820005 11.9903043906 16.4431153138 66.7846659025
1048583 607 (6, 202) 791.123842001 0 102.946590662 167.073704243 27.8699320157 23.5407176812 17.3303289413 21.4200569789 73.6456086636
1048583 613 (1, 153) 8.4822092851 0 100.052783966 130.245659669 20.6283946037 15.8447770278 12.4157775243 17.037702322 70.4525512854
1048583 617 (2, 616) 62.8084254265 45.4300707181 114.693033695 536.860622048 66.0373876095 55.0038773219 43.7153403759 43.7938579718 98.1608726184
1048583 619 (2, 103) 63.3615885576 38.7117191156 102.307631969 90.9344736735 15.5771092574 11.3864476681 8.51275690397 13.7386769454 68.7025239468
1048583 625 (4, 500) 396.221596122 0 112.048381329 440.934635043 90.5599893729 89.0719447136 78.5950737 79.8948420684 136.112802982
1048583 631 (10, 210) 2637.7579639 0 107.58621192 193.694227695 31.0571769873 26.0776949724 19.3165077368 23.8080610434 81.1998283863
1048583 641 (1, 320) 9.39277561506 0 109.005110661 174.585474968 41.7622153759 31.9412089984 26.9406586488 29.8031601111 72.1851824125
1048583 643 (12, 214) 3960.59131789 0 115.436125994 207.457873265 30.6000573635 22.8975700537 18.4198706945 23.0969859759 84.1239260038
1048583 647 (1, 646) 9.83834600449 0 121.642498652 639.478838921 74.0976720651 59.8162070115 47.5798075994 47.765666008 108.719438394
1048583 653 (1, 163) 9.80304463704 0 134.036732753 90.3186073303 24.3635276953 18.2265333335 14.3867843946 19.128644228 58.2274010181
1048583 659 (2, 658) 73.7642106215 48.0821763674 125.373893023 394.046596408 77.4148174127 61.0095187028 48.9124842485 49.1430483659 94.5407443047
1048583 661 (3, 660) 191.651138385 0 126.011374076 695.09832406 75.9819773833 61.7864801089 48.7453626792 48.783595403 112.521553675
1048583 673 (1, 56) 10.4374136925 0 129.357098659 64.1484382947 10.4146706263 6.10391100248 4.77105498314 11.6305966377 78.6431533496
