# ./benchmark.sh 04 2**20 2**20+2**8 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**20,2**20+2**8], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/04.dat', )"
1048583 149 (2, 148) 2.83492557208 1.61727492015 3.60703730583 3.15166695913 1.70817065239 1.6224287351 1.46394236883 1.46418722471 2.30681459109
1048583 151 (6, 75) 30.2047333717 0 3.68574635188 1.67464605967 1.05330371857 1.03289707502 0.92081562678 1.01916631063 1.91554625829
1048583 157 (10, 156) 115.580565373 0 4.07467397054 4.53460510572 2.48849264781 2.59971094131 2.20167263349 1.69916605949 3.19637640317
1048583 163 (1, 81) 0.473920424779 0 4.94709499677 2.14184141159 1.23346106211 1.1663989226 1.06123129527 1.1784406503 2.29389635722
1048583 167 (7, 83) 55.2100786368 0 4.53336469332 2.3773663044 1.36247587204 1.31722998619 1.17129127185 1.29714035988 2.47676833471
1048583 169 (2, 39) 3.90920527776 2.40113298098 4.62808203697 1.13695677121 0.787689685822 0.772033452988 0.72461938858 0.925196568171 2.13110868136
1048583 173 (1, 172) 0.407254219055 0 5.1785873572 3.59258166949 2.48664244016 2.41794133186 2.10907769203 2.09748895963 2.89719541868
1048583 179 (1, 1) 0.448242346446 0 5.36307064692 0.0863630771637 0.0211376349131 0.0542770226796 0.0541362762451 0 0
1048583 181 (6, 180) 46.4725139936 0 5.76424558957 6.26807188988 2.8012530009 2.73709360758 2.37731409073 2.37898270289 3.84012111028
1048583 191 (2, 5) 5.36688296 2.42492930094 6.2222969532 0.24427541097 0.135631720225 0.123162349065 0.113529364268 0.424880743027 1.37657308578
1048583 193 (4, 32) 20.7160203457 0 6.71591464678 1.34811965624 0.593557357788 0.495738744736 0.464839696884 0.760825236638 2.60780827204
1048583 197 (18, 196) 737.421286106 0 7.01726031303 8.35032161077 3.34490331014 3.10950469971 2.76885398229 2.76858186722 4.66962734858
1048583 199 (4, 33) 22.2642920017 0 6.83251229922 1.52733103434 0.670676310857 0.599565903346 0.530724366506 0.850171963374 2.80817635854
1048583 211 (10, 70) 222.639678717 0 7.74983207385 3.57147836685 1.53545657794 1.40867606799 1.23560563723 1.53357474009 3.85594669978
1048583 223 (4, 111) 29.3839643002 0 9.28016360601 6.67094071706 2.85962327321 2.85809191068 2.35822240512 2.6096663475 5.36102437973
1048583 227 (8, 113) 155.856049299 0 10.3261429469 6.90943010648 2.77752725283 2.60114431381 2.2447886467 2.51020359993 5.43896404902
1048583 229 (3, 76) 15.829589049 0 10.0051763852 4.79826203982 1.92887806892 1.75281620026 1.5395813783 1.90269295375 4.9104979833
1048583 233 (2, 232) 6.49726128578 3.57927362124 11.080426693 9.73471109072 5.28387498856 4.9248196284 4.25696730614 4.65962735812 5.49194208781
1048583 239 (2, 119) 6.89256302516 4.18940798442 10.7509006659 5.42253835996 3.38506428401 3.33764298757 2.77296066284 3.01967700322 5.85244202614
1048583 241 (6, 8) 90.9421454271 0 11.1718749205 0.810128291448 0.287693103155 0.20668832461 0.191756327947 0.787060896556 4.26342900594
1048583 243 (1, 162) 0.913593292236 0 11.3918246428 7.15258129438 3.60540644328 3.66457064946 3.16462628047 3.32121531169 5.03560670217
1048583 251 (2, 125) 7.61049834887 5.20330468814 12.2563259602 6.58361172676 3.74949169159 3.65122866631 3.02554535866 3.31248267492 5.61522777875
1048589 5 (1, 2) 0.0021010239919 0 0.0183107058207 0.00126759211222 0.000414371490479 0.000394980112712 0.000380277633667 0.000378052393595 0.00033704439799
1048589 7 (1, 6) 0.00224574406942 0 0.0152756373088 0.00113995869954 0.00144203503927 0.00131909052531 0.00131837526957 0.00129898389181 0.00125130017598
1048589 9 (1, 2) 0.00278274218241 0 0.0272953510284 0.00141469637553 0.000964323679606 0.000937620798747 0.00102965037028 0.00123802820841 0.00091298421224
1048589 11 (2, 5) 0.0477153460185 0.0295926729838 0.031121969223 0.0016074180603 0.0022566318512 0.00213527679443 0.00233300526937 0.00253335634867 0.00205302238464
1048589 13 (2, 3) 0.0687796274821 0.044056336085 0.0471179485321 0.00174299875895 0.00181698799133 0.00174140930176 0.00189471244812 0.00243163108826 0.00231337547302
1048589 17 (3, 16) 0.108133077621 0 0.0472382704417 0.00377726554871 0.00880368550618 0.00813929239909 0.00848499933879 0.00845162073771 0.00857130686442
1048589 19 (4, 9) 0.167265971502 0 0.0537190437317 0.00364232063293 0.00677100817362 0.00648140907288 0.00669074058533 0.00748801231384 0.00792098045349
1048589 23 (2, 22) 0.098038593928 0.0750716527303 0.077748298645 0.00819540023804 0.0179306666056 0.0174970626831 0.0171229839325 0.0171310106913 0.0160953203837
1048589 25 (4, 10) 0.251929759979 0 0.090814669927 0.00545724232992 0.00884898503621 0.0083950360616 0.00895102818807 0.010532617569 0.0122040907542
1048589 27 (1, 6) 0.00845487912496 0 0.0951670805613 0.00484164555868 0.00634606679281 0.00610065460205 0.00644056002299 0.00917132695516 0.0115170478821
1048589 29 (1, 7) 0.00948731104533 0 0.110862731934 0.00559337933858 0.00834528605143 0.00808691978455 0.00837024052938 0.0112462838491 0.0100327332815
1048589 31 (5, 15) 0.584814707438 0 0.124044577281 0.0119690100352 0.0184716383616 0.0183242956797 0.0179880460103 0.0198579629262 0.0244836012522
1048589 37 (2, 9) 0.159109592438 0.128394365311 0.158430337906 0.0105774402618 0.0147246519725 0.0144967238108 0.0144406954447 0.0198506514231 0.0276173750559
1048589 41 (2, 8) 0.211990674337 0.135406414668 0.215173959732 0.00983770688375 0.0140347480774 0.0134352842967 0.013618071874 0.0204166571299 0.0261689821879
1048589 43 (1, 42) 0.0182770093282 0 0.24099222819 0.058583577474 0.070746978124 0.068027973175 0.0655467510223 0.065222342809 0.0812606811523
1048589 47 (3, 46) 0.482863346736 0 0.269722302755 0.0836320718129 0.0901816685994 0.0893076260885 0.0836929480235 0.0835840702057 0.103569428126
1048589 49 (2, 42) 0.244773308436 0.174327691396 0.284407059352 0.0689719518026 0.0800840059916 0.078093290329 0.0771299203237 0.0785127480825 0.101668993632
1048589 53 (2, 26) 0.278661330541 0.204919735591 0.364941279093 0.0428392887115 0.0653566519419 0.0627597173055 0.0614419778188 0.0683685143789 0.0678806304932
1048589 59 (12, 29) 17.087066412 0 0.426153977712 0.0809992949168 0.0853989919027 0.084912220637 0.0790812969208 0.0888670285543 0.129228671392
1048589 61 (6, 2) 4.80255405108 0 0.542901595434 0.0142146746318 0.0102490584056 0.0106992721558 0.0114513238271 0.0326227347056 0.0775256156921
1048589 67 (4, 33) 2.17107431094 0 0.574828624725 0.115089734395 0.11497092247 0.109534343084 0.10551627477 0.119265000025 0.184925953547
1048589 71 (8, 70) 10.0088250637 0 0.670094410578 0.278338352839 0.247442563375 0.238362312317 0.224931637446 0.22393933932 0.302190303802
1048589 73 (1, 24) 0.0567920207977 0 0.783259948095 0.101236661275 0.097184975942 0.0916329224904 0.0897798538208 0.112425088882 0.19917901357
1048589 79 (4, 13) 3.2669450442 0 0.872180302938 0.0733216603597 0.0627379417419 0.0625639756521 0.0585713386536 0.0923893451691 0.211567958196
1048589 81 (1, 18) 0.0811930497487 0 0.85159333547 0.0685917536418 0.145868062973 0.146261374156 0.145250638326 0.175776561101 0.212235371272
1048589 83 (2, 82) 0.681600014369 0.420799255371 1.00498835246 0.328528563182 0.381994247437 0.363873958588 0.342441638311 0.341479698817 0.403525034587
1048589 89 (2, 44) 0.794826428095 0.517477273941 1.01807371775 0.197370052338 0.23973608017 0.231247663498 0.21994972229 0.24241399765 0.351837952932
1048589 97 (4, 32) 5.62146162987 0 1.34304793676 0.246553897858 0.191109657288 0.175222714742 0.171191294988 0.214227994283 0.434996048609
1048589 101 (6, 100) 11.7890863419 0 1.48116437594 0.846788247426 0.589295307795 0.558839718501 0.519100348155 0.517354329427 0.751961628596
1048589 103 (2, 51) 1.12928740184 0.749956766764 1.63701764743 0.470492283503 0.358022689819 0.350435336431 0.320089658101 0.360013246536 0.609148581823
1048589 107 (2, 106) 1.24469240506 0.748302698135 1.61425622304 1.05575037003 0.706041574478 0.696220397949 0.625559012095 0.623557329178 0.892285346985
