# ./benchmark.sh 10 5 2**9 2**9 2**10 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[5,2**9], nbound=[2**9,2**10], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/10.dat', )"
5 809 (1, 404) 0.516485373179 0 6.16871356964 303.36500442 27.2607688904 21.5336047014 13.8971586227 14.1860122681 39.3384803136
5 811 (12, 405) 408.725032091 0 7.18950470289 631.136066914 31.3818106651 24.5228213469 14.5253429413 15.0040616989 51.0654716492
5 821 (1, 410) 0.598973989487 0 8.28918242455 662.406033039 30.930486997 25.7805097103 15.5183598995 15.9941616058 53.2794423103
5 823 (24, 274) 1827.70155501 0 7.65785837173 441.382472157 25.6599349976 19.9895443122 12.0562976996 12.7519539992 50.1350587209
5 827 (7, 118) 126.958360672 0 7.3106156985 190.349471251 11.5453122457 7.74476401011 4.72505005201 5.31619699796 43.0778983434
5 829 (3, 9) 11.7326637904 0 0 11.9290006161 1.61557888985 0.728442033132 0.425710280736 0.89159544309 39.0194029808
5 839 (1, 419) 0.638248364131 0 8.19282889366 719.359136105 34.7634689808 26.9930240313 16.1450593472 16.6448926131 55.7585626443
5 841 (4, 406) 22.7119613489 0 7.35669199626 695.426265001 22.8177396456 23.089239041 14.6087606748 15.1105627219 54.4259163539
5 853 (4, 284) 22.956312259 0 7.31371903419 509.174460053 25.3541550636 20.6298146248 12.8490533829 13.6107090314 54.8403163751
5 857 (8, 856) 181.907946984 0 0 1591.33674908 62.9017663797 44.4408002694 27.3699236711 27.4247465928 68.7820390066
5 859 (11, 429) 387.666033983 0 8.29807496071 788.34759903 36.8843976657 29.8622792562 17.2220358849 17.7443713347 59.5965776443
5 863 (1, 862) 0.652111053467 0 8.65722799301 1638.415483 67.8851264318 50.7509390513 29.170777003 29.2073509693 71.35039258
5 877 (16, 876) 860.012372017 0 0 1738.05446386 68.969422102 50.9633371035 30.6016345819 30.6540083885 74.8934239546
5 881 (9, 440) 241.567213297 0 10.3710716565 870.296286106 38.041021347 30.3967489401 18.3844737212 18.9265874227 63.7872450352
5 883 (4, 126) 24.8638286591 0 8.73929627736 245.8418444 14.2152379354 9.04461439451 5.43918299675 6.14724636078 51.607852459
5 887 (6, 886) 103.323191722 0 9.14807073275 1821.56817198 75.0997030735 55.397960345 32.484943072 32.6123619874 78.2490135829
5 907 (6, 906) 108.435480038 0 9.46823573112 1977.30494595 76.9637393951 51.2368482749 31.2805829843 31.3460099697 79.730126063
5 911 (2, 455) 6.01126201948 5.81763100624 0 476.075558424 41.5459109942 33.8236983617 20.0895349185 20.4682079951 42.2008046309
5 919 (4, 459) 26.9281139374 0 8.99084528287 1024.70255685 44.1777720451 35.7822930018 20.3405923049 20.9498391151 70.946942091
5 929 (8, 232) 218.059496005 0 10.2808976968 527.082666039 24.1969993909 17.089593331 11.0489073594 11.9760676225 63.4180223942
5 937 (6, 936) 118.297454039 0 14.686000665 2245.87433696 79.4896153609 54.5077266693 33.1430556774 33.1554903189 85.2620507081
