# ./benchmark.sh 03 2**10 2**11 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**10,2**11], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/03.dat', )"
1031 139 (2, 138) 0.563450972239 0.403881629308 0.877504746119 2.14811658859 0.814470450083 0.830895344416 0.662200371424 0.65714375178 1.11864535014
1031 149 (2, 148) 0.659902413686 0.466915686925 1.11495598157 2.70281394323 0.949886639913 0.960460662842 0.763586441676 0.762813727061 1.31586408615
1031 151 (6, 25) 7.22463496526 0 1.09132305781 0.46869635582 0.193596998851 0.187392314275 0.1492720445 0.202899773916 0.787448326747
1031 157 (2, 39) 0.744970639547 0.455174366633 1.18650404612 0.797023375829 0.3088063399 0.299726247787 0.240346352259 0.295493602753 0.962558348974
1031 163 (2, 9) 0.785506010056 0.671621322632 1.26998488108 0.204078038534 0.0926229953766 0.0817127227783 0.0690490404765 0.140926678975 0.85892868042
1031 167 (1, 83) 0.117657979329 0 1.58176636696 1.98276670774 0.707256714503 0.709356705348 0.563935279846 0.604754686356 1.36360573769
1031 169 (1, 78) 0.11418334643 0 1.42929267883 1.8163886865 0.557517290115 0.601032336553 0.494415680567 0.545011281967 1.31978774071
1031 173 (2, 172) 0.882483720779 0.592488606771 1.48407562574 3.07673462232 1.39013767242 1.40920408567 1.09238266945 1.0920279026 1.56053431829
1031 179 (2, 178) 0.94784895579 0.708222309748 1.58571402232 3.42625530561 1.51251769066 1.51233235995 1.18525369962 1.18587303162 1.75459663073
1031 181 (1, 45) 0.1388789018 0 1.77878459295 1.29561297099 0.432394266129 0.413310368856 0.328461249669 0.403596719106 1.38253156344
1031 191 (1, 190) 0.157552957535 0 2.11612502734 4.65719993909 1.91688307126 2.08175071081 1.50679890315 1.49853404363 2.22269233068
1031 193 (4, 192) 5.12520559629 0 1.97009325027 6.52487564087 1.74093294144 1.64505227407 1.3212146759 1.32600275675 2.51424598694
1031 197 (18, 196) 173.423868815 0 2.55418093999 8.67524766922 2.42865204811 2.04709434509 1.69466527303 1.47201975187 3.03141434987
1031 199 (4, 99) 5.76517248154 0 2.28448534012 3.97287066778 1.41514762243 1.15108593305 0.873498042425 0.932536363602 2.25360234578
1031 211 (10, 210) 50.5874199867 0 2.54072769483 9.32267061869 2.2891749541 2.37387704849 1.72684836388 1.74124153455 3.21286201477
1031 223 (12, 111) 88.6910930475 0 3.11646501223 5.6953856945 1.68834559123 1.77508552869 1.3045343558 1.39206266403 3.17680795987
1031 227 (1, 226) 0.252945979436 0 3.13028860092 11.9934102694 2.89806095759 2.96295571327 2.17507100105 2.17679103216 4.03665232658
1031 229 (4, 76) 7.50957473119 0 2.88300800323 3.99587543805 1.13169733683 1.06039126714 0.832133054733 0.957200288773 2.90869259834
1031 233 (1, 232) 0.250134706497 0 3.16049027443 8.36071769396 3.02241929372 2.96686903636 2.26041126251 2.24766167005 3.4631605943
1031 239 (1, 17) 0.268321037292 0 3.14041964213 0.64852364858 0.335418780645 0.305356740952 0.238069693247 0.395005305608 1.79921531677
1031 241 (6, 120) 21.081761996 0 3.69797801971 7.23741499583 1.91225441297 1.8405983448 1.4295882384 1.53739460309 3.80435530345
1031 243 (2, 162) 2.12229267756 1.3815480868 3.42406431834 6.01069164276 1.9973684152 2.23419356346 1.76088666916 1.81070796649 3.26005927722
1031 251 (1, 125) 0.2911028862 0 3.83049265544 5.29990331332 2.29812471072 2.32791837056 1.76914842923 1.8526237011 3.38914163907
1033 5 (4, 4) 0.0372719764709 0 0.0132219791412 0.00127204259237 0.000441312789917 0.000394741694132 0.000354925791423 0.000329971313477 0.000348011652629
1033 7 (4, 3) 0.0369536876678 0 0.0167122681936 0.00118970870972 0.00056529045105 0.00055996576945 0.000503619511922 0.00048033396403 0.000542561213175
1033 9 (1, 3) 0.00303332010905 0 0.0170212586721 0.00135763486226 0.000741640726725 0.000723679860433 0.000707149505615 0.000732660293579 0.000799338022868
1033 11 (2, 2) 0.0333077907562 0.0140077273051 0.0179807345072 0.00158675511678 0.000766356786092 0.000803709030151 0.000742435455322 0.00088628133138 0.000828425089518
1033 13 (4, 12) 0.0697069962819 0 0.0245134035746 0.00207392374674 0.00323096911112 0.00324495633443 0.00297832489014 0.00294995307922 0.00325560569763
1033 17 (2, 4) 0.0426908334096 0.0203177134196 0.0334538618724 0.00236932436625 0.00189510981242 0.00187206268311 0.00175857543945 0.0021489461263 0.00298833847046
1033 19 (5, 3) 0.106959422429 0 0.0413433710734 0.00241033236186 0.00179235140483 0.00188461939494 0.00176429748535 0.00229541460673 0.00354703267415
1033 23 (2, 22) 0.0681583881378 0.0267833073934 0.0402366320292 0.00705059369405 0.0102960268656 0.0113197167714 0.00952506065369 0.00938495000203 0.0115543206533
1033 25 (2, 20) 0.0600016911825 0.0277976989746 0.042381922404 0.00698892275492 0.00959928830465 0.0101752281189 0.00893131891886 0.00897272427877 0.0118269125621
