# ./benchmagma.sh m01 5 2**9 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[5,2**9], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m01.dat')"
11 179 (1, 178) 0.0964039166768
11 181 (2, 90) 0.392644961675
11 191 (2, 38) 0.380957921346
11 193 (2, 64) 0.469206730525
11 197 (18, 196) 157.627457698
11 199 (1, 22) 0.118506669998
11 211 (5, 35) 3.76756564776
11 223 (3, 222) 1.36939064662
11 227 (3, 113) 1.72565976779
11 229 (4, 38) 3.24948898951
11 233 (2, 232) 0.639606555303
11 239 (1, 119) 0.156140963236
11 241 (3, 48) 1.83004633586
11 243 (2, 162) 0.710631291072
11 251 (1, 250) 0.17339905103
13 5 (2, 4) 0.00968734423319
13 7 (2, 2) 0.0108455816905
13 9 (2, 3) 0.0110557079315
13 11 (1, 10) 0.00913405418396
13 17 (1, 4) 0.00961669286092
13 19 (5, 18) 0.144147078196
13 23 (2, 11) 0.0251570542653
13 25 (2, 20) 0.0297869841258
13 27 (1, 9) 0.13116701444
13 29 (2, 14) 0.0358246167501
13 31 (1, 30) 0.011915286382
13 37 (4, 36) 0.362831672033
13 41 (2, 40) 0.0637823740641
13 43 (2, 21) 0.0722754001617
13 47 (3, 46) 0.386200984319
13 49 (4, 14) 0.134528716405
13 53 (1, 13) 0.0154074033101
13 59 (4, 58) 0.176667610804
13 61 (3, 3) 0.633284409841
13 67 (2, 66) 0.18218700091
13 71 (4, 70) 0.242234071096
13 73 (4, 72) 0.264423290888
13 79 (4, 39) 0.317404031754
13 81 (1, 27) 2.5170686245
13 83 (2, 82) 0.284617265066
13 89 (1, 88) 0.030266046524
13 97 (1, 96) 0.03511039416
13 101 (3, 50) 0.261131366094
13 103 (2, 17) 0.118427356084
13 107 (6, 53) 1.41745464007
13 109 (1, 108) 0.0471443335215
13 113 (2, 56) 0.138541062673
13 121 (3, 110) 0.451171000799
13 125 (1, 100) 0.0652289390564
13 127 (4, 63) 0.799467007319
13 131 (1, 65) 0.0473986466726
13 137 (3, 136) 0.479721307755
13 139 (4, 69) 0.957750638326
13 149 (4, 148) 1.15992927551
13 151 (3, 150) 0.586137374242
13 157 (2, 6) 0.273270606995
13 163 (2, 54) 0.285432418187
13 167 (7, 166) 5.80625430743
13 173 (1, 86) 0.0801362991333
13 179 (2, 89) 0.347943385442
13 181 (6, 45) 5.13003563881
13 191 (2, 95) 0.392330408096
13 193 (4, 64) 2.28366438548
