# ./benchmark.sh 18 2**10 2**11 2**10 2**10+2**5 2 1
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**10,2**11], nbound=[2**10,2**10+2**5], prime=2, loops=1, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/18.dat', )"
1091 1039 (4, 519) 528.699328899 0 115.179311991 1735.64855194 112.108709097 77.5114030838 50.8718411922 54.7652130127 200.054986954
1091 1049 (2, 262) 50.4232909679 34.4970529079 102.811628103 493.761893988 59.1166241169 37.2966859341 26.0161039829 30.8803460598 127.417047024
1091 1051 (12, 1050) 5006.33131003 0 104.688602924 3662.010957 185.430976868 131.066999912 86.917798996 87.0427410603 236.239645004
1093 1031 (2, 1030) 48.38017416 33.1233298779 103.83059001 1851.52725291 176.168488026 111.421756029 79.1326580048 79.2929821014 170.439014912
1093 1033 (4, 1032) 522.948041916 0 107.636416912 3428.99920583 166.171067953 105.079023838 77.5253050327 77.745759964 217.488682985
1093 1039 (1, 1038) 9.14194583893 0 108.828921795 3507.45230889 184.09168601 125.66139698 84.0266928673 84.1291549206 227.967844009
1093 1049 (1, 524) 9.24448299408 0 111.001994848 959.109308958 106.776552916 75.6060581207 52.1940259933 55.1535761356 162.806269884
1093 1051 (12, 1050) 5011.78378296 0 113.535351038 3661.40058398 185.620800018 131.460976124 87.9996509552 88.1244821548 237.556256056
1097 1031 (1, 515) 8.71636891365 0 109.036472797 919.0672791 107.842596054 71.6678929329 49.1907901764 51.9787797928 119.567832947
1097 1033 (1, 43) 8.85641098022 0 100.24584198 143.920320034 14.6637690067 5.82448911667 4.00307393074 10.8934760094 151.629695892
1097 1039 (4, 173) 528.782875061 0 101.231648922 577.1582129 46.9650828838 26.3290028572 17.5100269318 23.8760838509 169.040547132
1097 1049 (1, 1048) 9.15239596367 0 114.276600122 1977.33287692 175.888345003 117.469332933 82.3711829185 82.3593280315 155.872133017
1097 1051 (12, 75) 5019.91283607 0 115.797798872 260.276288033 23.6754209995 11.468170166 7.42795705795 14.4201540947 164.795361042
1103 1031 (1, 103) 8.78957295418 0 106.016740084 181.755281925 30.58335495 14.5385689735 10.0481960773 16.0815248489 121.852868795
1103 1033 (2, 1032) 49.2251009941 42.4716649055 99.6508970261 3429.36521316 168.485156059 107.870173931 82.2868602276 81.2751181126 219.861443043
1103 1039 (2, 173) 49.4168078899 42.772521019 100.684283018 577.817228079 47.2251839638 26.3702089787 17.8356940746 25.2003538609 169.688793182
1103 1049 (2, 1048) 50.5647039413 43.3139388561 112.109932184 1982.62292385 179.945240974 120.273291111 86.0089850426 85.9525880814 191.026581049
1103 1051 (4, 1050) 540.057263851 0 108.15179801 3665.37733579 188.459687948 133.101535082 90.6413600445 90.6788311005 238.650827885
1109 1031 (2, 515) 48.580493927 46.1709480286 99.4047470093 887.731820107 110.150246859 71.9017491341 50.1308510303 52.9697020054 131.234495163
1109 1033 (2, 129) 49.2824001312 42.1328778267 117.125135899 424.562445879 32.3348231316 16.5341510773 11.8371767998 18.89538908 159.670881987
1109 1039 (4, 173) 530.643657923 0 119.377402067 577.139658928 46.6033699512 26.1977760792 17.5256021023 24.3771049976 168.97217989
1109 1049 (2, 1048) 50.8037481308 38.8142018318 116.410109043 1977.51391196 178.221373796 118.865051031 85.1608269215 85.132652998 189.892736912
1109 1051 (6, 1050) 1210.15689206 0 106.604372978 3662.07777405 187.002061844 131.657678127 88.3830389977 88.4386260509 236.954947948
1117 1031 (2, 515) 48.7835640907 33.3421781063 99.6343848705 937.865261793 110.812352896 72.4446709156 50.7146940231 53.5980319977 140.950526953
1117 1033 (1, 129) 8.79893779755 0 113.108889103 424.227078915 32.6358568668 16.626734972 11.9755020142 19.5324749947 159.578692913
1117 1039 (4, 1038) 530.987556934 0 110.791912079 3504.89414096 190.397947073 129.687442064 88.8266298771 88.9871990681 231.57844305
1117 1049 (2, 1048) 50.7066528797 39.2211539745 103.102031946 1979.83230686 178.176866055 118.834690094 84.730479002 84.7837159634 181.014195204
1117 1051 (3, 525) 130.536404848 0 118.583853006 1814.06937099 115.113759995 82.2779569626 55.1704611778 59.9054861069 209.017270088
1123 1031 (2, 515) 48.9796578884 42.0300397873 108.358507156 924.580182076 109.948407888 72.4177908897 50.1429889202 52.971421957 149.231854916
1123 1033 (2, 344) 49.261703968 64.4107069969 104.209022045 1128.52926922 72.5335941315 43.9478890896 32.1524450779 37.6871950626 178.157936096
1123 1039 (2, 1038) 49.4393670559 38.2894120216 109.763101816 3505.09888101 187.166166067 125.759341955 84.6772761345 84.8109982014 228.202749014
1123 1049 (2, 1048) 50.6520659924 38.8780889511 104.299818039 1977.4793551 175.33266592 116.471177101 82.559125185 82.6333730221 184.199449062
1123 1051 (3, 1050) 130.546070099 0 128.331156015 3661.8165009 186.583539963 133.498482943 90.0182039738 90.1347310543 238.550355196
1129 1031 (2, 515) 48.7989621162 47.1404919624 114.676843882 882.916512012 107.801692963 72.135158062 50.2120330334 53.0209670067 143.307780981
1129 1033 (1, 516) 8.7904419899 0 113.783668995 1698.15718293 102.027506113 69.4631919861 49.4452459812 53.6758658886 194.048066139
1129 1039 (4, 173) 532.210666895 0 119.398112059 576.688852072 47.654640913 26.2637228966 17.6101810932 24.428743124 168.923653126
1129 1049 (1, 524) 9.15768694878 0 114.509395838 985.673797846 106.711523056 74.8998849392 51.9756760597 54.8772168159 155.907397032
1129 1051 (1, 350) 9.23015999794 0 109.357044935 1205.461797 79.7309150696 52.2429838181 35.5403580666 41.249341011 191.036051989
1151 1031 (1, 515) 8.82176399231 0 105.506875992 927.471670151 111.216971874 73.4650011063 52.5235469341 55.4578790665 152.422451019
1151 1033 (4, 344) 528.263255119 0 114.701494932 1128.91239786 73.7771689892 45.4823100567 34.3002409935 41.0057399273 179.634624958
1151 1039 (2, 173) 50.1702430248 38.6593699455 122.978868961 576.90682888 48.7287929058 26.7707340717 18.4711558819 26.7980179787 169.472908974
1151 1049 (1, 524) 13.7183008194 0 118.148908138 975.87888217 109.915446043 77.1982979774 55.4356939793 58.4880571365 146.040706873
1151 1051 (12, 525) 5046.91074586 0 119.025645971 1814.22365022 116.641069889 84.3981180191 58.1365358829 63.5155959129 210.904004097
1153 1031 (1, 1030) 8.82693910599 0 102.818655968 1851.62938499 175.368381977 112.107853889 79.2536389828 79.5120689869 165.604515076
1153 1033 (4, 344) 526.52196002 0 105.728149891 1129.12236905 70.831111908 43.3252191544 31.1867408752 36.0179510117 177.715337992
1153 1039 (1, 346) 9.00522398949 0 124.500757933 1153.96813107 79.7244229317 50.1320450306 33.3749911785 38.1315920353 183.885840178
1153 1049 (1, 131) 9.20026898384 0 109.728301048 238.795126915 33.9237020016 18.3677549362 12.6115159988 17.8373510838 98.7018280029
1153 1051 (6, 350) 1215.52037811 0 127.963786125 1205.99837518 77.7007319927 51.5343630314 34.4592728615 39.3150610924 190.345782995
1163 1031 (2, 103) 48.8407809734 90.577641964 104.476800919 187.19165802 30.0970962048 14.4172830582 9.91881203651 15.6734399796 125.184090853
1163 1033 (1, 172) 8.86076593399 0 100.586647034 565.086934805 40.9527850151 23.2774720192 16.6792030334 23.5071489811 163.871446848
1163 1039 (2, 1038) 49.9779400826 38.3611938953 114.398727894 3507.11273098 185.714653015 127.03541398 85.978358984 86.0616469383 229.291181087
1163 1049 (2, 1048) 50.8654980659 43.8546490669 103.609902143 1978.64834309 175.083688021 117.114530087 83.119066 83.0724401474 167.924244165
1163 1051 (3, 1050) 131.034296989 0 114.528310061 3664.57279992 186.983428001 131.890929937 88.3112699986 88.3973681927 236.888073921
1171 1031 (1, 1030) 8.84547686577 0 102.692359924 1852.72455502 179.841263056 115.092138052 82.3438739777 82.3892400265 172.853454113
1171 1033 (2, 1032) 49.383245945 68.993940115 100.425291061 3430.70070815 166.874636889 106.189707994 79.4070429802 79.4458529949 218.669062853
1171 1039 (4, 519) 534.254894972 0 118.706934929 1737.34839797 112.737787008 78.7953948975 52.1518528461 56.4709131718 200.966521025
1171 1049 (2, 262) 51.0927181244 48.469190836 112.96307683 485.137778997 60.6923849583 37.8525497913 26.7737021446 31.8679609299 102.542518854
1171 1051 (4, 25) 544.914078951 0 120.756291151 90.1516320705 11.5656261444 4.26032996178 2.78167200089 10.5617148876 159.65213418
1181 1031 (2, 103) 49.0451209545 50.9884328842 123.094995022 182.367898941 30.5698540211 14.5222029686 10.0406351089 16.0523979664 117.57359004
1181 1033 (4, 258) 529.850126982 0 114.555267096 846.747330904 57.6318700314 34.4095938206 25.1215150356 31.9195809364 171.989535809
1181 1039 (4, 346) 534.97479105 0 102.912292004 1155.12061787 82.9135298729 51.640871048 35.3903310299 41.4195418358 185.331697941
1181 1049 (1, 1048) 9.22539782524 0 114.243479013 1977.01615381 178.284152985 118.554949045 84.1452538967 84.3260219097 189.399724007
1181 1051 (12, 105) 5067.07269287 0 126.509009123 362.209192991 30.6139030457 15.9244968891 10.4928441048 18.4961378574 167.715891123
1187 1031 (2, 515) 49.187153101 42.264580965 109.217631817 923.651541948 109.404222012 71.4019720554 49.5161459446 52.2399721146 166.125899792
1187 1033 (2, 1032) 49.5109958649 51.5935781002 105.195830107 3428.522295 167.102291822 106.286356926 79.3111839294 79.4978179932 218.322824001
1187 1039 (2, 519) 49.9600150585 43.0380961895 132.542166948 1735.35104799 112.724000931 77.9586060047 51.4303870201 55.6894059181 199.964844942
1187 1049 (1, 131) 9.17190384865 0 113.695495129 249.931857109 34.534662962 18.4832339287 12.8449161053 18.6642689705 115.088256836
1187 1051 (4, 15) 546.963500023 0 109.868731976 55.9970550537 8.56936717033 2.87218809128 1.91991710663 9.72542095184 158.210678816
1193 1031 (1, 103) 8.82616209984 0 111.67918992 191.629042864 30.4682409763 14.3057210445 9.84662508965 15.5897650719 118.789175034
1193 1033 (1, 344) 8.89941287041 0 101.202388048 1127.91270995 71.7772800922 43.7540280819 31.9978680611 37.5238938332 177.544945955
1193 1039 (1, 1038) 8.88330793381 0 102.180718184 3505.34857321 188.899985075 128.580816984 87.0931389332 87.0965938568 229.853730917
1193 1049 (2, 524) 51.1791779995 44.1150119305 108.568426132 973.180938005 106.772616148 74.5948338509 51.843487978 54.7406167984 154.296135902
1193 1051 (4, 525) 546.357086897 0 105.038209915 1813.58477783 112.708117008 81.373707056 53.8929171562 58.2804319859 207.761226892
1201 1031 (2, 206) 49.0456109047 33.3871810436 105.028072119 368.690342903 51.3118889332 28.9168670177 20.1184020042 25.2638537884 124.76319313
1201 1033 (4, 258) 531.453562021 0 119.593911886 845.528807163 57.2076401711 34.4094750881 24.92000103 31.2559070587 171.453139067
1201 1039 (4, 519) 537.338427067 0 102.956022024 1735.75974321 113.753159046 78.837157011 52.3971540928 56.6018161774 200.990349054
1201 1049 (2, 262) 51.199630022 48.407463789 108.630304813 476.927372217 60.5269389153 37.8155398369 26.6706910133 31.7987310886 136.063544989
1201 1051 (6, 525) 1222.24555802 0 116.253831863 1813.96750712 114.245121956 82.2957339287 54.987831831 59.3844239712 208.884618998
1213 1031 (1, 206) 8.85614299774 0 114.956202984 349.886806965 53.0599110126 29.6239619255 20.910381794 26.4719221592 114.476374149
1213 1033 (4, 1032) 531.400583982 0 101.315533161 3427.52349806 169.56169796 108.161996126 82.4174711704 82.4757921696 220.328431845
1213 1039 (2, 1038) 50.1640348434 43.3525378704 115.062170029 3504.41336203 187.294206142 128.637725115 88.4112029076 88.558494091 230.209528923
1213 1049 (2, 1048) 51.3355371952 34.8495738506 108.779886007 1975.60266399 176.628915071 117.612299919 84.508466959 84.6189329624 171.416134119
1213 1051 (4, 1050) 547.905393839 0 114.959495068 3661.46770096 187.348968029 137.010674953 94.1545639038 94.2585110664 240.323560953
1217 1031 (1, 1030) 8.92677998543 0 115.23021102 1852.95120692 178.711190939 115.483679056 82.2028660774 82.1795721054 179.65693903
1217 1033 (2, 1032) 49.8057508469 33.9591479301 100.830956936 3430.3623898 168.73926115 108.434005976 81.4388878345 80.201269865 219.684420824
1217 1039 (2, 346) 50.2750899792 43.2043190002 101.873824835 1153.11227798 79.9877490997 50.3341960907 33.520813942 38.7901470661 183.454581022
1217 1049 (1, 262) 9.20261287689 0 105.575699806 488.137554169 59.7383360863 37.2733170986 25.9639260769 30.8751969337 132.71089983
1217 1051 (6, 210) 1227.52656293 0 106.803622961 720.994596004 52.6890928745 32.4151721001 21.0281729698 27.5049228668 177.343966007
1223 1031 (1, 515) 8.87958407402 0 103.363938093 923.486690998 107.733825922 72.3325099945 50.4924530983 53.3342080116 150.820697784
1223 1033 (2, 1032) 50.1611838341 42.9717800617 101.34641099 3429.88722515 168.91770792 110.438395023 83.6790120602 83.4215450287 221.551370144
1223 1039 (1, 346) 8.97839403152 0 115.013339996 1153.31295586 81.1317749023 51.7525529861 35.2917149067 41.3476581573 184.732099771
1223 1049 (2, 1048) 51.2008171082 34.7315189838 118.091934919 1977.65073204 180.709583998 121.185567856 86.5848960876 86.5731370449 181.308505058
1223 1051 (6, 25) 1228.70504093 0 107.500197172 89.7674248219 11.3504559994 4.25413894653 2.82498598099 11.2389750481 158.964617014
1229 1031 (1, 103) 8.91838479042 0 106.977549791 182.950259924 29.9268119335 14.4875049591 10.0351250172 16.0575239658 101.681782007
1229 1033 (2, 6) 49.859279871 47.1800129414 114.275456905 24.1564519405 4.43341183662 1.4026529789 1.11440014839 9.25150418282 147.715007067
1229 1039 (4, 519) 537.234000921 0 107.64372015 1736.58961296 113.367990017 80.1299510002 53.6070330143 58.1505382061 201.759806871
1229 1049 (2, 262) 51.4718501568 57.7529518604 113.741678953 492.436751842 59.8327291012 37.5612838268 26.6328048706 31.9690861702 137.369407177
