# ./benchmagma.sh m05 2**30 2**30+2**8 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# Magma V2.22-6
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_magma(pbound=[2**30,2**30+2**8], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/m05.dat')"
1073741833 59 (6, 29) 34.7109662692
1073741833 61 (2, 20) 2.97613533338
1073741833 67 (4, 66) 18.0227169991
1073741833 71 (1, 35) 0.722151199977
1073741833 73 (1, 24) 0.661700963974
1073741833 79 (1, 26) 0.85817193985
1073741833 81 (1, 1) 0.825988372167
1073741833 83 (2, 41) 5.58393041293
1073741833 89 (2, 22) 7.30959296227
1073741833 97 (2, 32) 8.46266269684
1073741833 101 (2, 100) 9.45995108287
1073741833 103 (3, 2) 24.8646213214
1073741833 107 (2, 106) 8.87234155337
1073741833 109 (2, 36) 10.700930357
1073741833 113 (1, 56) 1.87945898374
1073741833 121 (2, 22) 66.2851897081
1073741833 125 (2, 100) 14.0783202648
1073741833 127 (2, 63) 14.9768167337
1073741833 131 (1, 26) 2.62186288834
1073741833 137 (1, 136) 2.89982302984
1073741833 139 (1, 69) 2.90612570445
1073741833 149 (8, 74) 527.206408978
1073741833 151 (2, 75) 20.1894817352
1073741833 157 (10, 52) 823.575258017
1073741833 163 (4, 81) 130.356283665
1073741833 167 (7, 166) 468.566202998
1073741833 169 (4, 52) 129.174854438
1073741833 173 (2, 86) 21.3653833071
1073741833 179 (2, 178) 23.0408550104
1073741833 181 (3, 180) 61.7471289635
1073741833 191 (1, 190) 4.39364131292
1073741833 193 (5, 48) 331.647363544
1073741833 197 (18, 196) 4303.49301219
1073741833 199 (4, 198) 194.106707652
1073741833 211 (1, 21) 8.93056138357
1073741833 223 (2, 111) 49.221097072
1073741833 227 (6, 113) 693.05043602
1073741833 229 (6, 76) 644.775030136
1073741833 233 (1, 232) 7.79610800743
1073741833 239 (1, 238) 8.7094783783
1073741833 241 (6, 80) 637.056329489
1073741833 243 (1, 3) 9.6708659331
1073741833 251 (1, 250) 10.5626672904
1073741839 5 (1, 2) 0.0200417041779
1073741839 7 (4, 3) 0.294024705887
1073741839 9 (1, 3) 0.501753966014
1073741839 11 (1, 5) 0.0303010145823
1073741839 13 (1, 1) 0.0303180217743
1073741839 17 (6, 16) 1.69628000259
1073741839 19 (5, 3) 1.55286304156
1073741839 23 (1, 11) 0.0716690222422
1073741839 25 (2, 10) 0.884702523549
1073741839 27 (1, 9) 0.385344346364
1073741839 29 (2, 28) 0.442588726679
1073741839 31 (10, 5) 18.3965903123
1073741839 37 (4, 3) 3.64259370168
1073741839 41 (2, 8) 1.10466861725
1073741839 43 (4, 42) 6.54059934616
1073741839 47 (2, 23) 1.64556598663
1073741839 49 (1, 21) 0.431032975515
1073741839 53 (1, 2) 0.622625112534
1073741839 59 (3, 58) 6.93579133352
1073741839 61 (3, 6) 7.68946663539
1073741839 67 (4, 11) 18.3968670368
1073741839 71 (8, 70) 88.8842508793
1073741839 73 (1, 36) 0.769908030828
1073741839 79 (2, 13) 4.89432859421
1073741839 81 (1, 27) 5.54975159963
1073741839 83 (2, 82) 5.63604299227
1073741839 89 (2, 11) 6.89795907338
1073741839 97 (2, 48) 8.37519629796
1073741839 101 (1, 20) 1.49930993716
1073741839 103 (1, 102) 1.38368376096
1073741839 107 (1, 53) 1.37459270159
1073741839 109 (1, 54) 1.65668567022
1073741839 113 (1, 112) 1.82555866241
1073741839 121 (3, 55) 31.3481887182
1073741839 125 (2, 50) 14.1878940264
1073741839 127 (2, 3) 14.7556536198
1073741839 131 (2, 65) 15.9243820508
1073741839 137 (6, 136) 179.293621063
1073741839 139 (4, 46) 66.7059229215
1073741839 149 (1, 148) 2.54867227872
1073741839 151 (2, 15) 15.7134647369
1073741839 157 (5, 2) 163.994378328
1073741839 163 (4, 9) 135.830529928
1073741839 167 (7, 166) 448.787944555
1073741839 169 (4, 1) 138.622674624
1073741839 173 (2, 172) 28.2841779391
1073741839 179 (1, 178) 4.46978632609
1073741839 181 (3, 30) 73.9080739816
1073741839 191 (2, 95) 33.2652606964
1073741839 193 (4, 32) 167.209857702
1073741839 197 (9, 49) 1001.51742411
1073741839 199 (4, 99) 178.941561619
1073741839 211 (10, 70) 1745.45362282
1073741839 223 (4, 6) 246.254403591
1073741839 227 (8, 113) 1178.70416999
1073741839 229 (12, 76) 3100.04501009
1073741839 233 (1, 232) 9.03441166878
1073741839 239 (2, 119) 62.5658624172
1073741839 241 (1, 40) 10.9046026071
1073741839 243 (1, 81) 4729.42952108
1073741839 251 (2, 250) 69.2076456547
1073741843 5 (1, 4) 0.018829981486
1073741843 7 (1, 2) 0.0180320739746
1073741843 9 (2, 6) 0.0720477104187
1073741843 11 (6, 5) 1.48411512375
1073741843 13 (4, 4) 0.651392777761
1073741843 17 (1, 8) 0.0519653161367
1073741843 19 (5, 3) 2.14863570531
1073741843 23 (1, 2) 0.0972123146057
1073741843 25 (1, 4) 0.13568631808
1073741843 27 (2, 18) 2.67464796702
1073741843 29 (1, 7) 0.128743728002
1073741843 31 (10, 15) 26.7920774619
1073741843 37 (4, 18) 5.57778390249
1073741843 41 (1, 5) 0.385049422582
1073741843 43 (1, 21) 0.390920718511
1073741843 47 (2, 23) 1.72804061572
1073741843 49 (2, 14) 1.92323501905
1073741843 53 (1, 52) 0.664234002431
1073741843 59 (12, 29) 134.176491737
1073741843 61 (6, 60) 33.9478443464
1073741843 67 (4, 66) 15.3851912816
1073741843 71 (4, 14) 19.8349547386
1073741843 73 (1, 4) 0.585659742355
1073741843 79 (2, 26) 4.97052796682
1073741843 81 (2, 54) 6.94098464648
1073741843 83 (2, 41) 5.76355743408
1073741843 89 (2, 11) 5.48527296384
1073741843 97 (4, 32) 39.1328656673
1073741843 101 (6, 5) 105.320235968
1073741843 103 (2, 17) 8.10097765923
1073741843 107 (8, 53) 218.334849675
1073741843 109 (1, 108) 1.67208894094
1073741843 113 (1, 112) 1.67225678762
1073741843 121 (3, 55) 31.3419187069
1073741843 125 (2, 20) 12.2935965856
1073741843 127 (4, 126) 66.9130457242
1073741843 131 (2, 65) 13.3099462191
1073741843 137 (1, 8) 2.40463232994
1073741843 139 (2, 23) 15.307366689
1073741843 149 (1, 148) 3.14731168747
1073741843 151 (6, 25) 252.500706752
1073741843 157 (10, 78) 683.183231115
1073741843 163 (1, 162) 3.10576971372
1073741843 167 (7, 166) 355.256764531
1073741843 169 (1, 52) 4.63155166308
1073741843 173 (2, 43) 29.9736862977
1073741843 179 (1, 178) 4.93562197685
1073741843 181 (6, 60) 379.185965061
1073741843 191 (2, 95) 30.2684326172
1073741843 193 (2, 48) 33.1653370063
1073741843 197 (3, 98) 94.5804735819
1073741843 199 (4, 99) 178.639463425
1073741843 211 (5, 30) 299.026199659
1073741843 223 (12, 111) 2091.95346594
1073741843 227 (24, 113) 11677.20612
1073741843 229 (6, 76) 524.244625449
1073741843 233 (2, 232) 41.0889784495
1073741843 239 (1, 17) 7.43036929766
1073741843 241 (3, 60) 123.704893271
1073741843 243 (2, 162) 45.3986456394
1073741843 251 (2, 250) 48.6637486617
1073741857 5 (6, 4) 0.21408255895
1073741857 7 (4, 2) 0.191594600677
1073741857 9 (1, 3) 0.0234972635905
1073741857 11 (1, 1) 0.0284710725149
1073741857 13 (2, 12) 0.140401760737
1073741857 17 (1, 16) 0.0456200440725
1073741857 19 (10, 9) 6.55463973681
1073741857 23 (2, 11) 0.290512402852
1073741857 25 (4, 4) 1.54806756973
1073741857 27 (1, 9) 2.10454368591
1073741857 29 (2, 28) 0.456981897354
1073741857 31 (2, 30) 0.530906597773
1073741857 37 (1, 9) 0.208394686381
1073741857 41 (2, 4) 0.942451715469
1073741857 43 (1, 6) 0.288619041443
1073741857 47 (3, 46) 3.10702006022
1073741857 49 (2, 14) 1.3880610466
1073741857 53 (2, 26) 1.61683837573
1073741857 59 (4, 58) 10.0184509754
1073741857 61 (6, 12) 25.6812408765
1073741857 67 (4, 22) 12.6429643631
1073741857 71 (1, 70) 0.48540465037
1073741857 73 (4, 18) 15.3754526774
1073741857 79 (4, 78) 18.7198776404
1073741857 81 (1, 27) 157.621878942
1073741857 83 (2, 82) 4.23817865054
1073741857 89 (2, 22) 4.90414873759
1073741857 97 (4, 48) 29.2900993824
1073741857 101 (3, 100) 17.0250999928
1073741857 103 (3, 17) 17.3299490611
1073741857 107 (1, 106) 1.20627037684
1073741857 109 (2, 108) 8.1593050162
1073741857 113 (1, 112) 1.5056022803
1073741857 121 (2, 11) 9.6828379631
1073741857 125 (3, 20) 26.4966852665
1073741857 127 (4, 9) 57.0213273366
1073741857 131 (1, 130) 2.12009636561
1073741857 137 (2, 136) 15.6449286938
1073741857 139 (4, 69) 87.8151322206
1073741857 149 (2, 37) 20.7405335903
1073741857 151 (1, 75) 3.04192558924
1073741857 157 (10, 39) 854.912343025
1073741857 163 (4, 3) 113.262231588
1073741857 167 (14, 166) 1582.72529602
1073741857 169 (1, 12) 3.30741937955
1073741857 173 (1, 43) 3.44265158971
1073741857 179 (1, 178) 3.75504899025
1073741857 181 (6, 15) 305.659646034
1073741857 191 (2, 190) 26.7758069038
1073741857 193 (4, 64) 140.196479003
1073741857 197 (9, 98) 863.483937979
