# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[3,2**10], nbound=[2**10,2**10+2**5], prime=2, loops=1, verbose=True, write=True, fname=os.getcwd()+'/09.dat')
47 1049 (1, 1048) 3.36800000002 0 102.14 1949.532 136.184 85.456 57.176 122.512
47 1051 (2, 1050) 27.144 16.188 72.092 3692.744 146.008 91.308 59.792 163.764
53 1031 (1, 515) 3.30000000002 0 109.88 882.1 83.792 50.66 33.684 94.352
53 1033 (1, 344) 3.372 0 81.448 1128.028 55.92 31.304 22.06 122.936
53 1039 (4, 1038) 133.488 0 78.392 3539.56 145.548 86.944 56.752 156.836
53 1049 (2, 131) 27.364 19.612 97.288 230.828 26.6 13.192 9.12400000004 69.36
53 1051 (1, 35) 3.56 0 104.868 120.9 11.324 4.08399999997 2.69200000001 110.512
59 1031 (2, 1030) 27.0 19.396 76.836 1825.364 141.42 83.804 57.6 113.456
59 1033 (2, 1032) 27.248 21.208 78.512 3462.804 132.816 80.064 55.976 152.464
59 1039 (1, 346) 3.49599999998 0 126.772 1156.24 64.424 34.612 24.02 127.296
59 1049 (1, 524) 3.50000000003 0 96.18 939.208 82.54 53.644 35.856 113.232
59 1051 (6, 1050) 351.544 0 65.656 3691.308 147.004 92.716 62.128 165.1
61 1031 (2, 1030) 27.096 17.768 87.932 1840.668 141.396 82.492 55.596 115.592
61 1033 (1, 172) 3.51999999999 0 106.968 561.628 33.384 18.244 12.848 113.744
61 1039 (2, 346) 27.664 20.184 86.804 1155.504 65.504 34.736 24.196 128.432
61 1049 (1, 131) 3.62400000001 0 72.592 243.456 26.78 13.184 9.21600000001 61.916
61 1051 (2, 525) 28.62 17.128 85.576 1817.692 88.244 55.34 36.788 144.516
67 1031 (1, 206) 3.92000000001 0 150.952 350.408 42.7 22.216 15.18 76.128
67 1033 (4, 1032) 139.24 0 193.02 3466.588 136.152 84.024 57.976 164.792
67 1039 (4, 519) 141.536 0 99.792 1748.108 92.016 56.288 37.868 150.436
67 1049 (2, 1048) 29.028 14.764 111.26 1948.9 140.14 91.124 61.268 146.388
67 1051 (6, 525) 363.328 0 158.524 1831.304 90.472 58.164 38.728 156.492
71 1031 (2, 1030) 28.312 14.296 117.592 1824.652 148.48 88.42 60.556 132.6
71 1033 (1, 1032) 3.94400000002 0 105.312 3460.888 138.632 86.196 60.252 166.928
71 1039 (4, 1038) 143.164 0 159.424 3540.248 156.484 95.02 64.572 174.06
71 1049 (2, 1048) 29.416 23.48 127.616 1952.86 142.14 90.928 61.476 138.56
71 1051 (12, 1050) 1659.32 0 124.22 3698.8 152.604 97.428 64.492 180.196
73 1031 (1, 515) 4.26000000001 0 109.5 906.784 89.024 53.836 36.06 97.8
73 1033 (4, 344) 142.408 0 100.536 1132.532 57.976 34.0 23.548 135.072
73 1039 (2, 1038) 29.076 16.664 91.836 3537.236 154.28 92.992 62.424 172.272
73 1049 (1, 262) 4.17999999999 0 91.204 467.312 48.444 28.908 19.792 111.688
73 1051 (3, 1050) 75.98 0 127.34 3700.648 150.096 94.94 61.912 177.048
79 1031 (2, 1030) 28.936 16.708 140.416 1826.236 146.928 88.74 62.576 118.8
79 1033 (2, 1032) 29.224 16.752 102.472 3457.336 136.56 83.808 58.376 164.42
79 1039 (2, 519) 29.48 16.88 105.812 1746.092 94.256 57.24 39.236 151.596
79 1049 (2, 524) 30.052 15.036 118.18 943.328 84.992 56.776 38.192 120.084
79 1051 (1, 75) 4.33600000001 0 149.968 258.572 19.772 8.65600000002 5.89199999999 126.224
83 1031 (1, 515) 4.08800000002 0 98.804 894.916 88.34 52.86 35.428 103.072
83 1033 (4, 516) 145.336 0 74.516 1713.124 80.584 51.464 35.032 144.488
83 1039 (1, 519) 4.10800000001 0 135.104 1747.32 92.004 56.452 38.448 151.048
83 1049 (1, 1048) 4.33200000002 0 116.316 1948.492 142.564 91.808 62.436 97.98
83 1051 (12, 525) 1707.572 0 126.316 1825.372 91.804 58.768 39.656 157.28
89 1031 (1, 1030) 4.152 0 134.472 1825.272 146.828 88.58 61.116 123.876
89 1033 (1, 344) 4.17199999996 0 100.448 1133.376 58.1040000001 33.628 24.124 135.5
89 1039 (4, 1038) 151.784 0 120.588 3539.312 154.788 93.952 63.556 172.84
89 1049 (2, 1048) 30.736 21.484 112.12 1950.004 140.872 91.516 62.348 138.88
89 1051 (3, 105) 78.812 0 90.084 359.944 25.128 11.676 7.81200000003 126.836
97 1031 (2, 515) 29.992 21.184 113.416 885.68 89.996 54.352 36.816 104.536
97 1033 (4, 1032) 149.304 0 150.78 3460.732 134.044 82.32 55.916 162.736
97 1039 (4, 346) 151.864 0 128.204 1159.348 67.148 36.624 25.584 138.752
97 1049 (1, 262) 4.46399999998 0 118.748 478.096 49.1199999999 29.1040000001 20.116 81.228
97 1051 (1, 75) 4.516 0 153.204 258.88 19.856 8.67999999999 5.83199999999 125.096
101 1031 (1, 515) 4.27600000001 0 127.356 881.012 89.824 54.324 36.7999999999 108.832
101 1033 (4, 172) 150.78 0 114.164 564.464 33.8199999999 18.8480000001 13.108 124.328
101 1039 (1, 1038) 4.32400000002 0 155.488 3578.856 157.32 95.088 64.528 173.732
101 1049 (1, 1048) 4.46799999999 0 152.952 1951.172 143.46 93.604 63.192 138.416
101 1051 (4, 1050) 156.692 0 111.86 3688.876 151.22 96.552 64.232 178.492
103 1031 (1, 206) 4.26400000002 0 157.016 347.672 43.596 23.132 15.612 86.664
103 1033 (1, 344) 4.33199999999 0 110.704 1133.304 58.216 33.332 24.056 133.984
