# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**40,2**40+2**10], nbound=[3,2**8], prime=2, loops=10, verbose=True, write=True, fname=os.getcwd()+'/06.dat')
1099511627791 3 (2, 1) 0.0364 0.014 0.0096 0.0004 0.0 0.0004 0 0
1099511627791 5 (1, 1) 0.0024 0 0.0236 0.0008 0.0 0.0004 0 0
1099511627791 7 (2, 6) 0.0592 0.0384 0.0284 0.0008 0.0032 0.0024 0.0032 0.0024
1099511627791 9 (1, 3) 0.0052 0 0.042 0.0012 0.0032 0.0028 0.0036 0.0028
1099511627791 11 (2, 5) 0.0716 0.0576 0.0584 0.002 0.0048 0.004 0.0056 0.0036
1099511627791 13 (4, 4) 0.2304 0 0.0952 0.0024 0.0044 0.004 0.0056 0.0048
1099511627791 17 (6, 2) 0.8696 0 0.1416 0.0036 0.0036 0.0036 0.0052 0.006
1099511627791 19 (5, 6) 0.7428 0 0.1836 0.0056 0.0096 0.0088 0.0104 0.0112
1099511627791 23 (1, 22) 0.0192 0 0.2192 0.02 0.0412 0.0348 0.0412 0.0416
1099511627791 25 (4, 5) 0.8328 0 0.276 0.0076 0.0108 0.0096 0.0132 0.0172
1099511627791 27 (1, 9) 0.0396 0 0.3368 0.0132 0.0188 0.0164 0.0212 0.0248
1099511627791 29 (2, 14) 0.2856 0.1764 0.3528 0.0196 0.0376 0.0332 0.0396 0.0352
1099511627791 31 (5, 5) 2.2724 0 0.4184 0.0136 0.0168 0.0156 0.0192 0.0312
1099511627791 37 (2, 4) 0.4436 0.2684 0.6476 0.0168 0.0164 0.0156 0.0196 0.0428
1099511627791 41 (2, 5) 0.546 0.3644 0.7668 0.0172 0.0236 0.022 0.0292 0.04
1099511627791 43 (2, 42) 0.6156 0.4464 0.8556 0.2088 0.2092 0.1732 0.1844 0.1868
1099511627791 47 (3, 23) 1.8696 0 1.0572 0.1384 0.1356 0.122 0.136 0.1844
1099511627791 49 (1, 42) 0.0956 0 1.1832 0.242 0.2216 0.1928 0.2196 0.2392
1099511627791 53 (1, 52) 0.1092 0 1.4552 0.2852 0.3244 0.2752 0.3148 0.282
1099511627791 59 (3, 58) 3.5112 0 2.9004 0.6344 0.6368 0.5812 0.6948 0.5784
1099511627791 61 (3, 20) 5.0856 0 2.4724 0.2616 0.2284 0.142 0.164 0.332
1099511627791 67 (2, 33) 2.6188 1.388 3.0832 0.458 0.494 0.4156 0.466 0.5636
1099511627791 71 (4, 70) 11.6944 0 4.1612 1.4344 1.0668 0.84 0.9956 1.2064
1099511627791 73 (4, 72) 14.8432 0 4.4328 1.3872 1.0616 0.9288 1.1196 1.2104
1099511627791 79 (4, 26) 15.7396 0 4.5996 0.6816 0.4156 0.4736 0.5292 0.9648
1099511627791 81 (1, 27) 0.4488 0 4.69 0.3872 0.53 0.3948 0.4864 0.7292
1099511627791 83 (1, 82) 0.4804 0 5.6896 1.5736 1.5056 1.358 1.1876 0.974
1099511627791 89 (1, 88) 0.4816 0 7.0936 1.874 1.7076 1.55 1.6112 1.6336
1099511627791 97 (4, 32) 20.2496 0 5.7044 1.0984 0.5024 0.4296 0.4896 0.984
1099511627791 101 (3, 100) 10.6188 0 7.2524 4.0744 1.6016 1.3468 1.5108 1.8212
1099511627791 103 (3, 102) 11.4956 0 6.9164 4.4884 1.7028 1.4592 1.5984 1.9372
1099511627791 107 (3, 53) 12.2096 0 16.5364 2.4772 1.0588 0.9468 1.0084 1.5792
1099511627791 109 (5, 54) 43.0584 0 16.3644 2.6704 1.1196 0.9952 1.062 1.6676
1099511627791 113 (2, 112) 5.4056 3.1616 8.6072 3.8176 2.1152 1.7256 1.9376 2.17
1099511627791 121 (3, 55) 16.2704 0 20.6428 3.5432 1.3176 1.1564 1.2428 2.1104
1099511627791 125 (1, 25) 0.966 0 11.3844 1.7068 0.4548 0.3984 0.4448 1.578
1099511627791 127 (1, 21) 0.8704 0 12.2504 1.5992 0.5408 0.4828 0.5188 1.7544
1099511627791 131 (2, 13) 7.636 4.8096 12.4144 0.6908 0.3112 0.2744 0.3184 0.9156
1099511627791 137 (6, 17) 126.18 0 23.4668 1.524 0.466 0.3944 0.4496 2.0868
1099511627791 139 (4, 69) 45.4064 0 19.1292 7.64 2.3348 2.388 2.6064 4.942
1099511627791 149 (2, 74) 13.6348 10.3292 24.2544 9.1244 2.43 2.1988 2.3724 4.0428
1099511627791 151 (6, 150) 145.7616 0 17.926 18.7928 4.5532 4.0292 4.188 5.6144
1099511627791 157 (10, 52) 573.9916 0 37.3916 6.8616 1.8516 1.692 1.7684 4.0176
