# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**10,2**11], nbound=[3,2**8], prime=2, loops=10, verbose=True, write=True, fname=os.getcwd()+'/03.dat')
1033 3 (1, 1) 0.00160000000014 0 0.00599999999995 0.0003999999999 0.0 0.0 0 0
1033 5 (4, 4) 0.0367999999999 0 0.00560000000005 0.000799999999981 0.000400000000081 0.0 0.000400000000081 0.0
1033 7 (4, 3) 0.0476000000001 0 0.0183999999999 0.000799999999981 0.000400000000081 0.000799999999981 0.0003999999999 0.000799999999981
1033 9 (1, 3) 0.00239999999994 0 0.01 0.000400000000081 0.000799999999981 0.000799999999981 0.000799999999981 0.000800000000163
1033 11 (2, 2) 0.0352000000001 0.0132 0.0116 0.00120000000006 0.000799999999981 0.000799999999981 0.000799999999981 0.000799999999981
1033 13 (4, 12) 0.0575999999999 0 0.0348 0.00159999999996 0.00320000000011 0.00360000000001 0.00280000000002 0.00360000000001
1033 17 (2, 4) 0.0540000000001 0.0179999999998 0.0204000000003 0.00199999999986 0.00120000000006 0.00199999999986 0.00200000000004 0.00320000000011
1033 19 (5, 3) 0.1024 0 0.0476000000001 0.00200000000004 0.00200000000004 0.00199999999986 0.00200000000004 0.00360000000001
1033 23 (2, 22) 0.0487999999999 0.0243999999999 0.0316000000001 0.00679999999993 0.0104000000001 0.0103999999998 0.00960000000014 0.0116
1033 25 (2, 20) 0.05 0.0263999999999 0.0564 0.00640000000003 0.00959999999995 0.0104000000001 0.00879999999997 0.0124
1033 27 (1, 9) 0.00599999999995 0 0.0632 0.00439999999999 0.00720000000001 0.00720000000001 0.00680000000011 0.0111999999999
1033 29 (2, 28) 0.0636 0.0304 0.0412 0.0103999999999 0.0152 0.0168 0.0144 0.0147999999999
1033 31 (5, 15) 0.206 0 0.0468000000001 0.00919999999987 0.0108 0.0116 0.01 0.0164000000001
1033 37 (4, 9) 0.1852 0 0.0944 0.00840000000007 0.00879999999997 0.00959999999995 0.00840000000007 0.0199999999999
1033 41 (1, 20) 0.00759999999991 0 0.142 0.0148000000001 0.0199999999999 0.0216 0.0179999999998 0.026
1033 43 (4, 1) 0.2392 0 0.082 0.00200000000004 0.00120000000006 0.00319999999992 0 0
1033 47 (6, 2) 0.6204 0 0.1044 0.00599999999995 0.00399999999991 0.00480000000007 0.00400000000009 0.0287999999999
1033 49 (4, 21) 0.294 0 0.138 0.026 0.0219999999999 0.0244000000001 0.0212 0.0452000000001
1033 53 (2, 52) 0.118 0.0700000000001 0.1156 0.0791999999999 0.0604000000001 0.0628000000001 0.0528 0.0683999999999
1033 59 (2, 58) 0.1452 0.0892 0.1552 0.144 0.0791999999999 0.082 0.0675999999999 0.1024
1033 61 (1, 15) 0.0135999999999 0 0.168 0.034 0.0256000000001 0.0263999999999 0.0224 0.0664000000001
1033 67 (1, 66) 0.0168 0 0.2476 0.198 0.112 0.112 0.0951999999999 0.1472
1033 71 (8, 14) 2.6528 0 0.2752 0.0436 0.0312 0.0332 0.0271999999999 0.0995999999999
