# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.4, Release Date: 2016-10-18
# 8afd80bc6921e4223fb761fec93f3f7e4d61f8a6
# import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**30,2**30+2**10], nbound=[3,2**8], prime=2, loops=10, verbose=True, write=True, fname=os.getcwd()+'/05.dat')
1073741827 241 (6, 120) 356.9824 0 39.1728 14.1436 5.364 4.8976 4.5836 10.418
1073741827 243 (2, 81) 23.2416 10.2108 89.9668 9.8064 4.5268 4.0524 3.8976 12.9564
1073741827 251 (2, 125) 27.106 11.7896 40.1356 10.46 6.3472 5.918 5.3876 9.002
1073741831 3 (4, 2) 0.0403999999995 0 0.0148000000001 0.000800000000163 0.0 0.000400000000081 0.000400000000081 0.0
1073741831 5 (2, 1) 0.0275999999998 0.0167999999998 0.00999999999985 0.000400000000081 0.000400000000081 0.0 0 0
1073741831 7 (4, 1) 0.0860000000001 0 0.0324000000001 0.000400000000081 0.000400000000081 0.000399999999354 0 0
1073741831 9 (4, 2) 0.118 0 0.0296000000002 0.00120000000024 0.00119999999952 0.00160000000033 0.0015999999996 0.00200000000041
1073741831 11 (2, 10) 0.0835999999996 0.0495999999999 0.0380000000005 0.00119999999952 0.00639999999985 0.00560000000041 0.00639999999985 0.00520000000033
1073741831 13 (1, 12) 0.00480000000025 0 0.0464 0.00239999999976 0.00800000000017 0.00679999999993 0.00720000000001 0.00679999999993
1073741831 17 (1, 16) 0.00800000000017 0 0.106 0.0051999999996 0.0148000000001 0.0120000000003 0.0144 0.0127999999997
1073741831 19 (10, 2) 2.688 0 0.108 0.00279999999912 0.00319999999992 0.00319999999992 0.00480000000025 0.00599999999977
1073741831 23 (2, 22) 0.1476 0.0955999999998 0.1488 0.0127999999997 0.0292000000001 0.0260000000002 0.0291999999994 0.0264000000003
1073741831 25 (1, 5) 0.0140000000007 0 0.225999999999 0.00480000000025 0.00840000000026 0.00759999999937 0.00920000000042 0.0144
1073741831 27 (4, 2) 0.7352 0 0.2432 0.00440000000017 0.00480000000025 0.00479999999952 0.00640000000058 0.0135999999999
1073741831 29 (1, 28) 0.0203999999998 0 0.263200000001 0.0243999999999 0.0527999999998 0.0419999999998 0.0456000000006 0.0419999999998
1073741831 31 (5, 5) 1.6712 0 0.2556 0.00879999999961 0.0124000000003 0.0123999999996 0.0140000000007 0.0252
1073741831 37 (4, 36) 1.512 0 0.378 0.0572 0.0864000000001 0.0748 0.0831999999995 0.0876000000004
1073741831 41 (2, 40) 0.418 0.2488 0.46 0.0619999999995 0.1048 0.0908000000003 0.100399999999 0.1036
1073741831 43 (2, 7) 0.4652 0.2592 0.4836 0.0191999999995 0.0228000000003 0.0224000000002 0.0251999999993 0.0552000000003
1073741831 47 (3, 46) 1.3444 0 0.6488 0.133600000001 0.1564 0.140399999999 0.149200000001 0.1696
1073741831 49 (1, 7) 0.0556000000004 0 0.68 0.0232000000004 0.0235999999997 0.0220000000001 0.0260000000002 0.0764000000003
