# ./benchmark.sh 28 2**20 2**20+2**8 2**10 2**10+2**5 2 3 3600
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.rc0, Release Date: 2016-12-18
# ffisom revision cbe82210cdc5a3a249fe7d33424f82af31f91883
# Magma V2.22-7
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark(pbound=[2**20, 2**20+2**8], nbound=[2**10, 2**10+2**5], prime=2, loops=3, tloop=3600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/28.dat', )"
1048583 1031 (2, 1030) 403.025573413 211.925460895 166.428804954 345.050580661 2059.11336573 0 275.080797434 190.67865332 190.291549762 149.35661761 148.132673979 287.778850953
1048583 1033 (4, 1032) 1966.3164854 1144.74711871 0 355.026664257 0 0 263.549583753 178.739164352 178.980144342 147.374712308 147.411928018 378.504972378
1048583 1039 (1, 519) 65.7831796805 31.177403609 0 361.880139907 1914.42384203 0 178.478998979 131.133342346 131.28382508 94.9307807287 106.556226969 349.403813362
1048583 1049 (1, 524) 66.0078966618 31.6351146698 0 404.798254728 1081.08795468 0 173.382660071 126.954798301 127.073244731 95.7767666976 105.208358606 211.030509949
1048583 1051 (2, 525) 421.747220755 224.433441957 144.708745321 405.654060364 2013.13182902 0 181.464229345 136.914304256 136.955989997 99.7095800241 111.739929279 362.974002361
1048589 1031 (2, 1030) 401.856437286 214.887124777 138.169555346 360.135412057 2087.30372532 0 279.945193529 193.401680628 193.297367016 151.319437424 151.265957991 246.726460616
