# ./benchmark.sh 30 2**40 2**40+2**8 2**10 2**10+2**5 2 3 3600
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.rc0, Release Date: 2016-12-18
# ffisom revision cbe82210cdc5a3a249fe7d33424f82af31f91883
# Magma V2.22-7
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark(pbound=[2**40, 2**40+2**8], nbound=[2**10, 2**10+2**5], prime=2, loops=3, tloop=3600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/30.dat', )"
1099511627791 1031 (2, 1030) 2430.34074608 1073.02092274 596.475804567 1696.50222206 0 0 577.447987239 397.788876613 398.148141146 369.749293645 368.637314638 683.32429107
1099511627791 1033 (2, 129) 2235.21770438 1092.5250694 564.672554096 1805.82149235 0 0 104.958086332 58.2488973141 58.3035020034 53.1788666248 133.630034288 575.376250903
1099511627791 1039 (2, 346) 2261.11608903 1103.50570933 630.161216259 1589.22007871 0 0 259.755844593 180.771102746 180.911768595 152.938975334 215.423856338 671.752136628
1099511627791 1049 (2, 524) 2440.75934569 1125.65968362 701.13328433 1654.32113663 0 0 367.332307021 276.49129804 277.106257359 241.859492302 284.688793898 582.192061345
1099511627791 1051 (12, 210) 0 0 0 1709.91232363 0 0 169.657869975 111.549462318 111.626331727 91.7688436508 169.554718018 649.132035971
1099511627803 1031 (2, 1030) 2439.59774399 1085.30771875 760.036986748 1631.1826396 0 0 588.77126503 403.070595662 404.196759383 376.993268331 375.765144189 724.173999071
1099511627803 1033 (4, 258) 0 0 0 1574.44105872 0 0 191.111430248 119.282563368 119.330336014 108.89692529 178.772140344 625.413712581
1099511627803 1039 (4, 1038) 0 0 0 1717.99731175 0 0 605.686527967 447.079746008 447.150703192 393.169047356 393.582531929 858.116784334
1099511627803 1049 (1, 262) 467.825684945 140.165162404 0 1639.80777899 0 0 203.677692413 135.066486677 135.285855373 120.357912938 187.30654033 496.316757043
1099511627803 1051 (1, 525) 474.620177666 141.386739016 0 1650.30028995 0 0 384.574066639 299.737975677 300.722951015 251.555001656 300.021764676 784.76162529
