# ./benchmark.sh 33 3 2**9 2**11 2**11+2**5 2 3 3600
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.rc0, Release Date: 2016-12-18
# ffisom revision cbe82210cdc5a3a249fe7d33424f82af31f91883
# Magma V2.22-7
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark(pbound=[3, 2**9], nbound=[2**11, 2**11+2**5], prime=2, loops=3, tloop=3600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/33.dat', )"
3 2053 (23, 1026) 0 0 0 0 3276.58116341 0 433.10851264 207.016981681 206.943964322 123.357325315 126.842051029 535.610567013
3 2063 (1, 1031) 7.26753290494 3.31119743983 0 0 0 0 529.229958057 240.913232644 241.115767399 140.956453959 142.701386929 505.099659125
3 2069 (1, 2068) 7.08775472641 3.49473436673 0 0 0 0 797.964179993 355.044096947 354.862755299 217.793834686 218.230280081 542.32450676
