# ./benchmark.sh 22 2**40 2**40+2**8 2**9 2**9+2**8 2 3 3600
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.rc0, Release Date: 2016-12-18
# ffisom revision cbe82210cdc5a3a249fe7d33424f82af31f91883
# Magma V2.22-7
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark(pbound=[2**40, 2**40+2**8], nbound=[2**9, 2**9+2**8], prime=2, loops=3, tloop=3600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/22.dat', )"
1099511627791 521 (32, 520) 0 0 0 302.71731472 2133.53883036 0 91.7060806751 68.8265549342 68.9288289547 71.0528330008 70.871862332 134.887045622
1099511627791 523 (10, 29) 0 0 0 333.387219429 118.105262041 207.897404989 8.79904468854 5.37319604556 5.3654812177 5.26156632106 21.8025876681 86.9919140339
1099511627791 529 (22, 506) 0 0 0 322.708275398 2158.2936937 0 89.3865272999 76.8638083935 76.8766269684 73.7349596818 74.2904682954 141.970654647
1099511627791 541 (9, 540) 0 0 0 336.923571269 2483.36977402 0 105.130414406 88.0841283003 88.1609509786 82.3992595673 82.6988560359 155.719261964
1099511627791 547 (10, 7) 0 0 0 383.102189382 49.0971996784 33.3237160047 3.80500864983 1.76557167371 1.76777156194 2.08475295703 56.1075680256 95.3956346512
1099511627791 557 (3, 556) 1326.23457034 608.056286971 0 350.02832826 2783.42783237 0 114.222662687 93.3346370061 93.3357943694 87.1129359404 86.9651136398 164.21671168
1099511627791 563 (7, 562) 0 0 0 352.219463666 2895.71460334 0 119.434257348 97.0703353882 97.2539087137 90.7963957787 90.8515390555 169.93252333
1099511627791 569 (6, 284) 0 3099.72862601 0 382.424376329 1492.74670688 0 74.3668999672 64.4502677123 64.4689000448 57.3193686008 67.945751667 149.709953308
1099511627791 571 (10, 190) 0 0 0 357.866469383 1004.27694464 0 51.933765014 42.7547684511 42.8248167038 37.6727364063 52.0295148691 135.827565352
1099511627791 577 (2, 192) 574.604952335 258.965589364 148.09437561 400.57522138 1045.51178257 0 49.8067053159 37.2011511326 37.2535007 35.997077624 50.6391456922 135.741176287
1099511627791 587 (14, 293) 0 0 0 402.921082973 1696.2596554 0 81.4857382774 69.2071902752 69.3179807663 61.5342453321 73.4474772612 161.843108018
1099511627791 593 (2, 148) 635.975185712 276.283856074 152.641687949 445.045120319 452.519340992 0 42.1937043667 30.9801542759 30.9983777205 29.6387317181 46.0177950064 109.042719682
1099511627791 599 (8, 299) 0 0 0 441.404716015 1839.72501763 0 87.3579643567 76.838896354 76.8002130191 65.770455122 78.1468360424 172.291801453
1099511627791 601 (3, 600) 1763.54177141 730.199350675 0 436.305514971 0 0 137.828502655 112.677390734 112.632521947 104.303075711 104.144666036 198.473800341
