# ./benchmark.sh 16 2**60 2**60+2**8 2**8 2**9 2 3 3600
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.rc0, Release Date: 2016-12-18
# ffisom revision cbe82210cdc5a3a249fe7d33424f82af31f91883
# Magma V2.22-7
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark(pbound=[2**60, 2**60+2**8], nbound=[2**8, 2**9], prime=2, loops=3, tloop=3600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/16.dat', )"
1152921504606847009 257 (6, 32) 2263.12638442 1363.82668972 0 131.779515346 17.8501167297 66.0234649976 4.00581558545 3.06551067034 3.06535363197 3.80148935318 9.98146533966 19.6626879374
1152921504606847009 263 (3, 262) 547.501238982 275.038440943 0 144.12529095 162.543100754 1243.59717298 29.232896328 23.4356249968 23.4199465911 26.9030396938 26.8944934209 37.8784742355
1152921504606847009 269 (8, 67) 0 2654.59460139 0 158.677643935 42.7980326811 230.555550814 9.03219262759 7.37114628156 7.37942465146 8.39122366905 14.3410153389 26.7211988767
1152921504606847009 271 (3, 90) 548.906302055 298.345753034 0 158.785252968 59.3462367058 367.773176432 12.7621320089 10.8834849993 10.8476332823 11.7784649531 17.1691006819 29.9433124065
1152921504606847009 277 (4, 92) 1054.04419692 603.71777908 0 162.321784337 64.0423155626 408.378615618 13.1396377087 10.9293753306 10.9254643122 12.1472329299 17.8181014061 31.1516006788
1152921504606847009 281 (2, 56) 232.928691387 120.894610087 72.4941966534 167.844008605 19.3759866556 154.029716412 7.86106443405 6.41451223691 6.41771793365 7.37265261014 14.2050829728 17.1475410461
1152921504606847009 283 (3, 282) 610.249882619 327.805772225 0 162.235004584 216.617699941 1741.32349467 35.5627002716 29.3119353453 29.3249793847 32.4388025602 32.5267323653 46.781039079
1152921504606847009 289 (3, 136) 628.044333378 346.823940357 0 175.155611356 105.142846028 810.973644733 20.0252103806 16.5693074067 16.5606246789 18.8642580509 23.8245389462 39.169249773
1152921504606847009 293 (1, 292) 36.0599822998 15.6355953217 0 207.583201329 131.162711938 1874.97100941 37.4671483835 29.0039963722 28.9834899108 33.8792211215 33.9149580797 36.9616053899
1152921504606847009 307 (4, 153) 1549.29612708 759.47821331 0 206.609699249 144.449590683 1150.47271228 26.0675019423 22.8423277537 22.8218117555 24.1461453438 29.5579866568 47.7632569472
1152921504606847009 311 (3, 62) 761.892909686 405.730724653 0 218.487727245 60.246623675 311.249563297 10.8130936623 9.17111635208 9.20855267843 9.81930295626 18.9849999746 37.7208646139
1152921504606847009 313 (6, 39) 3501.04027239 1935.34450428 0 220.025844336 38.5350003242 160.457548936 6.80148903529 5.46302135785 5.48552234968 6.24526802699 16.3863310814 35.5593849818
1152921504606847009 317 (13, 79) 0 0 0 227.492707968 81.1256146431 473.976540963 14.1064726512 12.0416456064 12.0097633203 12.7767703533 21.6156196594 41.7046936353
1152921504606847009 331 (2, 66) 347.098787069 181.818180641 82.1810133457 242.58080864 75.7467232545 409.849097967 12.2352703412 10.1147996585 10.1150496006 11.0370624065 21.4686553478 43.2241524061
1152921504606847009 337 (1, 84) 52.7030436993 21.4117379983 0 272.932077726 101.180361032 622.226726055 15.9180770715 12.7799296379 12.7841744423 14.2930653095 24.6779534022 48.1976559957
1152921504606847009 343 (4, 98) 1847.75236734 1084.37523794 0 275.83585763 123.750888666 655.098775069 16.0116523107 13.1934445699 13.1930136681 14.4574733575 24.8330206871 49.0459865729
1152921504606847009 347 (6, 173) 0 2498.78166278 0 274.256024996 232.253661076 1932.08378871 35.2614593506 31.2030053933 31.1973473231 32.0121553739 39.4732369582 65.1946969827
1152921504606847009 349 (10, 174) 0 0 0 309.582118988 237.295515617 1979.10159397 36.1788516839 32.0493139426 32.0884183248 32.8134730657 40.390585343 66.55859526
1152921504606847009 353 (14, 176) 0 0 0 287.526700338 244.532607953 2051.80499935 35.3771197001 29.8151190281 29.7974449793 32.0768716335 39.8711253802 67.4157916705
1152921504606847009 359 (2, 358) 421.359450658 219.807880004 118.485371669 311.415909608 293.231371721 0 63.3691650232 52.6906572978 52.8688013554 56.9376470248 56.9883520603 75.2320955594
1152921504606847009 361 (18, 342) 0 0 0 340.520824671 515.941288551 0 60.3996853034 52.3709716002 52.4726556937 55.7147899469 56.3430494467 84.695249637
1152921504606847009 367 (3, 61) 1084.99476075 598.473938624 0 344.684214989 95.0336903731 488.488920689 13.483090957 11.5225966771 11.5201727549 11.996632417 25.9646147887 56.5744636854
1152921504606847009 373 (4, 372) 2188.01373061 1283.34248932 0 353.832656701 622.569450299 0 72.1313973268 61.3775567214 61.0714960893 63.279990991 62.3488079707 93.9900640647
1152921504606847009 379 (4, 378) 2247.56945364 1327.42397626 0 372.80700628 668.819950342 0 72.7088343302 63.9433632692 63.8680977027 65.2961445649 65.3117806117 98.4630493323
1152921504606847009 383 (12, 191) 0 0 0 365.257966677 342.569876353 2967.70226526 46.3049222628 43.2237593333 43.2412796815 41.7344714006 51.2013676961 87.2429722945
1152921504606847009 389 (24, 194) 0 0 0 359.650864283 355.119456689 3192.36385107 46.9736520449 39.1927440166 39.2781530221 42.548271656 52.2446937561 89.6720890204
1152921504606847009 397 (2, 22) 514.154436986 282.139945348 141.805655003 387.841344039 43.6515226364 118.605396032 5.72796034813 4.2352449894 4.2618637085 5.10088133812 25.4987166723 63.9836680094
1152921504606847009 401 (8, 400) 0 0 0 417.099568049 811.510857741 0 81.1307686965 62.8566590945 63.0291409492 71.5233589013 71.5292487144 110.070635716
1152921504606847009 409 (4, 24) 2603.63148697 1532.99343475 0 431.573349396 51.3927536805 139.956832965 6.59615691503 4.84750358264 4.84840075175 5.63035066923 26.1571843624 66.4994970163
1152921504606847009 419 (1, 418) 89.7894366582 36.7545302709 0 449.101040681 520.772543271 0 93.3181636333 74.145157973 75.0179692904 82.4980273247 82.8122430642 105.790498734
1152921504606847009 421 (10, 420) 0 0 0 442.319827318 992.570230643 0 93.3058040142 76.1085966428 75.6266686122 82.8479503791 83.0802826881 128.125065724
1152921504606847009 431 (2, 43) 974.040096045 343.165208578 188.209858974 487.036995729 57.0525586605 467.625337283 12.4099510511 10.0519423485 10.046807607 10.5420893033 32.0746905804 65.5078353882
1152921504606847009 433 (2, 48) 664.345276992 346.077436686 168.145446301 464.447707097 119.486436288 567.641958396 13.4270612399 10.0855026245 10.0895256201 11.2467088699 33.2981693745 81.5440324148
1152921504606847009 439 (5, 219) 0 2777.35407495 0 493.10128959 579.794498682 0 65.2464456558 59.1962927183 59.2150510152 58.0989269416 71.2488103708 122.432030996
1152921504606847009 443 (1, 221) 104.544967651 42.1644629637 0 474.611579339 328.086093346 0 66.4603305658 59.8569433689 59.8630956014 59.3837785721 72.0098746618 88.9731109937
1152921504606847009 449 (8, 28) 0 0 0 499.600185633 78.5298803647 261.36723272 8.88507167498 6.28798000018 6.2544716994 7.58568835258 33.3277029991 89.1558361053
1152921504606847009 457 (5, 114) 0 3185.75673532 0 622.683844566 334.778465986 2430.39857046 35.0930783749 28.1721774737 28.0674449603 29.8908302784 51.1055444876 108.653907458
1152921504606847009 461 (2, 23) 736.706781705 400.118187904 199.497895718 623.010613044 70.2152446111 195.965896686 8.34294303258 6.0379670461 5.97976167997 6.91077701251 35.4022066593 94.4783333937
1152921504606847009 463 (12, 33) 0 0 0 594.728740454 101.288338661 313.774354378 11.3833445708 8.79495008787 8.84597436587 9.56593426069 37.7974866231 98.0984046459
1152921504606847009 467 (3, 233) 1970.66614779 1147.76495695 0 577.950639725 736.961117665 0 74.6779739062 66.0403293769 65.9404017131 65.7536500295 81.1563119888 144.292548736
1152921504606847009 479 (8, 478) 0 0 0 627.090088367 1673.73558537 0 132.170734962 119.744090954 119.301471392 115.928502639 115.981905301 182.101831992
1152921504606847009 487 (4, 243) 0 2096.91240541 0 688.730092684 865.585778554 0 82.1485027472 74.2088712851 74.3909846942 71.886345307 89.2205222448 160.879613241
1152921504606847009 491 (1, 49) 132.790853262 53.7135732969 0 649.990377108 85.6912589073 840.762996991 17.4288099607 13.5645039876 13.5571635564 14.1362145742 43.7470347087 94.1175307433
1152921504606847009 499 (1, 498) 139.979965369 55.4818619887 0 659.93429637 1952.8134443 0 146.604091009 127.835479577 127.980481784 128.106974602 128.254374663 205.14349548
1152921504606847009 503 (1, 502) 141.693451961 57.5026542346 0 666.833476067 2021.04482762 0 148.425786734 133.420229355 133.244769335 129.088673989 128.806019942 205.577493668
1152921504606847009 509 (1, 508) 144.951359749 59.3489155769 0 676.295740366 1144.89471277 0 151.966175954 133.184009075 133.336746375 131.958565235 131.022473653 183.358444055
1152921504606847067 257 (6, 256) 2323.25173171 1389.43786558 0 138.112192313 148.118262053 1148.41426865 27.3681837718 19.9645210107 19.9363253911 25.1717835267 25.1332050165 34.5420710246
1152921504606847067 263 (2, 262) 197.815897862 105.298102299 54.3804219564 155.594497283 165.913928986 1258.75099301 30.2692537308 23.9721592267 23.9757882754 27.8997095426 27.8653716246 38.4800486565
1152921504606847067 269 (4, 268) 1023.87604666 579.806417704 0 147.327010711 180.691030343 1411.67516963 32.0839377244 25.4562017123 25.4552243551 29.5712443193 29.5258023739 41.32370766
1152921504606847067 271 (3, 270) 561.288900932 303.44576629 0 154.272506396 186.923762083 1471.843937 33.6871326764 27.6674772898 27.5813340346 31.0685429573 31.1430840492 43.3764619827
1152921504606847067 277 (4, 276) 1080.11267598 620.938901265 0 175.293969949 201.140567382 1614.36700002 34.4728316466 27.4625894229 27.4668393135 31.713622729 32.2370896339 45.2773516178
1152921504606847067 281 (1, 280) 32.5752454599 14.2942990462 0 174.324125608 112.54770565 1603.24966804 35.2720353603 27.1937200228 27.1890273094 32.0760933558 31.99127237 35.921544075
1152921504606847067 283 (3, 47) 624.930823723 336.366598288 0 178.378762007 35.1548597018 164.547620614 7.2598019441 5.91861168543 5.93790570895 6.75249505043 14.7370510101 28.5930656592
1152921504606847067 289 (4, 272) 1361.65352337 672.154920737 0 195.909891923 218.755422592 1848.63679473 36.117331028 29.2826953729 29.2824102243 34.0149123669 34.5082813899 49.1369206905
1152921504606847067 293 (2, 73) 251.950546662 138.08503739 80.7634987036 185.922610283 30.9095333417 326.431545258 11.3139813741 9.12659692764 9.07934260368 10.5388616721 17.7866432667 20.2854603132
1152921504606847067 307 (4, 34) 1580.52952806 774.010034641 0 214.830922047 32.0367682775 133.993382295 6.042923371 4.83352335294 4.8771516482 5.58901468913 15.9473952452 33.5090092818
1152921504606847067 311 (6, 155) 3498.90266593 1948.01003408 0 240.095776955 156.060828288 1246.47946199 28.5978007317 25.4343583584 25.4305229982 26.466271321 32.4117723306 50.7670096556
1152921504606847067 313 (2, 78) 297.801963568 159.723556439 105.230362415 254.55171299 77.8375179768 454.238897244 13.9755529563 11.3927141031 11.3839546839 12.6612707774 21.8472189903 40.6126043797
1152921504606847067 317 (26, 316) 0 0 0 245.481565396 345.312945286 2987.31836367 50.2259465853 42.0612250964 42.0440746943 45.7172049681 46.4134913286 66.045809269
1152921504606847067 331 (3, 110) 903.303599358 477.817253987 0 288.866904736 129.207113345 938.009386381 22.2261106173 18.4452952544 18.4419390361 20.2598359585 29.650047938 51.3189770381
1152921504606847067 337 (10, 28) 0 0 0 269.661635637 34.8053759734 146.08108894 5.91576035817 4.53259237607 4.45089332263 5.41211167971 19.1296912829 42.302406311
1152921504606847067 343 (4, 49) 1876.83661866 1119.45421966 0 285.79303503 63.54703029 243.658819278 7.98664299647 6.16658067703 6.15993571281 7.20451871554 20.6113654772 44.6663839817
1152921504606847067 347 (2, 173) 382.802671353 210.362678289 125.243438085 297.214579662 238.913010995 2004.36656499 37.4470366637 32.9855766296 33.0075183709 34.411801974 41.9963669777 68.1172962983
1152921504606847067 349 (5, 29) 3168.84366274 1724.39313428 0 306.277141333 40.3417213758 171.897358656 6.56104373932 5.27331431707 5.24230058988 6.00840131442 21.2264103889 47.278895696
# ./benchmark.sh 16 1152921504606847068 2**60+2**8 2**8 2**9 2 3 3600
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.rc0, Release Date: 2016-12-18
# ffisom revision cbe82210cdc5a3a249fe7d33424f82af31f91883
# Magma V2.22-7
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark(pbound=[1152921504606847068, 2**60+2**8], nbound=[2**8, 2**9], prime=2, loops=3, tloop=3600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/16.dat', )"
1152921504606847081 257 (3, 128) 526.995622396 259.668780327 0 139.281536738 71.2220304012 531.137915293 16.2289523284 13.034356753 13.0213936965 15.1410297553 18.7734305859 28.2079649766
1152921504606847081 263 (2, 131) 200.400053342 104.161861976 49.7520616849 147.484966437 78.9624825319 583.835156043 18.0175513426 15.3156026999 15.3163964748 16.8514306545 20.7906163534 31.6316327254
