# ./benchmark.sh 37 2**30 2**30+2**8 2**11 2**11+2**5 2 3 3600
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.rc0, Release Date: 2016-12-18
# ffisom revision cbe82210cdc5a3a249fe7d33424f82af31f91883
# Magma V2.22-7
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark(pbound=[2**30, 2**30+2**8], nbound=[2**11, 2**11+2**5], prime=2, loops=3, tloop=3600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/37.dat', )"
1073741827 2053 (23, 4) 0 0 0 0 455.099451701 231.269914945 53.7260393302 9.81484659513 9.82207067808 11.5116915703 258.564974785 2438.91913072
1073741827 2063 (2, 1031) 0 3253.4507467 1935.24880163 0 0 0 1823.23097324 1150.62125293 1149.35179273 815.320910692 938.109465679 2040.26027075
1073741827 2069 (1, 2068) 1594.93398396 380.172284047 0 0 0 0 2791.50211652 1662.43620173 1676.9448363 1337.3804973 1330.30960035 2509.78856198
