# ./benchmark.sh 06 2**10 2**10+2**9 2**10 2**10+2**5 2 3 3600 1 skip_magma=True
# model		: IBM,8231-E2B
# SageMath version 7.5.rc0, Release Date: 2016-12-18
# ffisom revision a2fa7094fb6055df8f8f809ebb71e6d6c71bd859
# Magma 
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark(pbound=[2**10, 2**10+2**9], nbound=[2**10, 2**10+2**5], prime=2, loops=3, tloop=3600, verbose=1, write=True, overwrite=False, fname=os.getcwd()+'/06.dat', skip_magma=True)"
1031 1033 (2, 129) 0 66.2871397336 61.3216954072 158.573348045 486.001796325 3067.31115325 39.3515849908 22.2397432327 22.2642440001 15.8556323051 25.3563099702 230.63395532
1031 1039 (1, 346) 0 13.0650756359 0 156.679926634 1320.86244162 0 106.227458795 68.7846970558 69.0831056436 47.1256473859 54.3773699601 265.653340658
1031 1049 (1, 524) 0 13.1015176773 0 163.603666941 1133.18672061 0 140.983853022 102.224750757 103.545645316 75.6545646985 76.567154328 202.757709265
1031 1051 (1, 210) 0 13.608517011 0 176.378863732 846.84433802 0 80.6931559245 53.7475466728 47.4657870134 30.673393329 42.4620880286 269.305692752
1033 1031 (1, 515) 0 14.7174560229 0 151.273665905 1126.061402 0 142.225857973 96.0107580026 96.2640039126 66.7461012999 70.2375195821 171.310093005
