# ./benchmark.sh 02 2**9 2**10 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**9,2**10], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/02.dat', )"
521 149 (1, 148) 0.0789139270782 0 0.945262034734 2.70101133982 0.874037981033 0.898126999537 0.688482046127 0.688127040863 1.22213745117
521 151 (6, 25) 6.49659005801 0 1.04961164792 0.443509658178 0.177803119024 0.173054297765 0.133689641953 0.176592588425 0.745399951935
521 157 (5, 12) 4.73533233007 0 0.986135641734 0.243423938751 0.0997063318888 0.092312335968 0.0719862778982 0.123543659846 0.755906263987
521 163 (4, 162) 3.19725910823 0 1.05856688817 3.67151697477 1.07471100489 1.0914217631 0.828848997752 0.829822699229 1.50926136971
521 167 (7, 166) 11.5588356654 0 1.46431605021 4.09021226565 1.18363531431 1.25187897682 0.918868303299 0.915593703588 1.64387559891
521 169 (4, 13) 3.40649366379 0 1.16331847509 0.301461696625 0.0889366467794 0.0862029393514 0.0665570894877 0.126808007558 0.875846703847
521 173 (2, 172) 0.80862402916 0.497245709101 1.19724098841 3.08296537399 1.31139866511 1.35712003708 1.01306804021 1.01745955149 1.60646327337
521 179 (1, 178) 0.112868626912 0 1.42663296064 3.4353817304 1.40962338448 1.43812727928 1.07852466901 1.07800936699 1.7499756813
521 181 (1, 20) 0.115255991618 0 1.44466169675 0.563277641932 0.205278396606 0.185366630554 0.145282745361 0.21439242363 1.11924338341
521 191 (1, 38) 0.130284309387 0 1.62944197655 0.806330601374 0.407555023829 0.403956651688 0.301103432973 0.360602935155 1.08712768555
521 193 (4, 192) 4.58700489998 0 1.71985697746 6.52635534604 1.54373963674 1.46525033315 1.13158798218 1.1340423425 2.26161495845
521 197 (9, 98) 30.2526276112 0 1.87069733938 3.46413199107 0.954896291097 0.914718786875 0.70806368192 0.757704019547 1.92790762583
521 199 (1, 33) 0.142680644989 0 1.75303967794 1.16449832916 0.357076644897 0.327341715495 0.250392039617 0.333014726639 1.52914992968
521 211 (10, 105) 44.8930435975 0 2.16908057531 4.48155426979 1.16027839979 1.15180404981 0.851346969604 0.912873744965 2.33405399323
521 223 (6, 222) 15.857978344 0 2.38732552528 12.1328596274 2.86554559072 3.51891477903 1.92570638657 2.51910599073 3.57053200404
521 227 (8, 226) 35.7466640472 0 3.2240169843 11.8932653268 2.53238463402 2.58170302709 1.82071526845 1.82082970937 3.57790692647
521 229 (6, 228) 16.6475742658 0 2.54955363274 12.2509606679 2.70472002029 2.77043763796 1.99145364761 1.99401362737 3.78474768003
521 233 (2, 116) 1.53841225306 0.988730669022 2.85138662656 3.87668291728 1.47355564435 1.42245268822 1.06787864367 1.12563300133 1.91091704369
521 239 (1, 238) 0.21893843015 0 2.65493305524 9.47633695602 3.14196205139 3.40533590317 2.33231671651 2.33124597867 3.37569157283
521 241 (3, 240) 4.05745633443 0 2.80027039846 14.6862140497 2.98741698265 3.04296501478 2.14604997635 2.14734133085 4.229073445
521 243 (8, 54) 37.2676097552 0 2.9384525617 3.19669771194 1.04350701968 1.09016640981 0.903790314992 1.03469864527 3.17339793841
521 251 (1, 250) 0.240974664688 0 3.36528507868 11.1524612904 3.55647905668 3.79048840205 2.59473069509 2.59926271439 4.48938504855
523 5 (2, 4) 0.0298902988434 0.0108489990234 0.0131389300028 0.00129238764445 0.000403642654419 0.000389337539673 0.000345627466838 0.00031590461731 0.00033434232076
523 7 (6, 6) 0.0491126378377 0 0.0186826388041 0.00115863482157 0.000894864400228 0.000859657923381 0.000759760538737 0.000730037689209 0.000763734181722
523 9 (2, 1) 0.0366622606913 0.0122559865316 0.0165579319 0.000612338383993 0.000171422958374 0.000240564346313 0.000214338302612 0 0
523 11 (2, 10) 0.0330169995626 0.0149259567261 0.017484108607 0.00164262453715 0.00246874491374 0.00249028205872 0.00225337346395 0.00221172968547 0.00228365262349
523 13 (1, 3) 0.00273124376933 0 0.0239762465159 0.00178106625875 0.00111333529154 0.0010933081309 0.00102742513021 0.0012408097585 0.00155091285706
523 17 (1, 4) 0.00320029258728 0 0.0289092858632 0.00218605995178 0.00185402234395 0.00186761220296 0.00173791249593 0.0021444161733 0.00299493471781
523 19 (10, 18) 0.267543633779 0 0.0433585643768 0.00416954358419 0.00682314236959 0.00709096590678 0.00634328524272 0.00628630320231 0.0074303150177
523 23 (1, 22) 0.00376804669698 0 0.0355423291524 0.00612227121989 0.0100940068563 0.0110288461049 0.00937191645304 0.0092666943868 0.010592063268
523 25 (4, 20) 0.105165719986 0 0.0371809800466 0.00674343109131 0.00908660888672 0.00972708066305 0.00862240791321 0.00868391990662 0.0114847024282
523 27 (2, 3) 0.0619503657023 0.0284540653229 0.0516019662221 0.00312399864197 0.00243369738261 0.00260933240255 0.00240635871887 0.00352621078491 0.00693504015605
523 29 (1, 1) 0.00456770261129 0 0.0468423366547 0.00104999542236 0.000646591186523 0.00118740399679 0.00117699305216 0 0
523 31 (5, 10) 0.196170568466 0 0.0519416332245 0.00700537363688 0.00812236467997 0.00878326098124 0.00761103630066 0.008731285731 0.0142347017924
523 37 (2, 36) 0.0842943986257 0.0411799748739 0.0617646376292 0.0259312788645 0.0264135996501 0.0273856321971 0.0233313242594 0.0234285990397 0.0319496790568
523 41 (1, 10) 0.00778261820475 0 0.0832777023315 0.00921503702799 0.0110672314962 0.0112676620483 0.0101903279622 0.0123040676117 0.0165583292643
523 43 (2, 6) 0.0995420614878 0.0481617450714 0.0860597292582 0.00856677691142 0.00736435254415 0.007941087087 0.00690960884094 0.00981370608012 0.0237297217051
523 47 (1, 23) 0.00925739606222 0 0.115393877029 0.0297220547994 0.0279456774394 0.0308636029561 0.0249433517456 0.0268780390422 0.0460770924886
523 49 (6, 42) 0.738414287567 0 0.100322008133 0.0502459208171 0.0405779679616 0.0447196960449 0.038475116094 0.0386400222778 0.0597772598267
523 53 (2, 13) 0.114013353984 0.0855066776276 0.108065366745 0.0177453358968 0.0186629295349 0.018841902415 0.0167419910431 0.0202527046204 0.0350976785024
523 59 (2, 29) 0.139390230179 0.0834136009216 0.147419293722 0.0585209528605 0.0461446444194 0.0496853987376 0.0400377114614 0.0432414213816 0.0765983263652
