# ./benchmark.sh 19 2**20 2**20+2**8 2**10 2**10+2**5 2 1
# model name	: Intel(R) Xeon(R) CPU E5-4650 v2 @ 2.40GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**20,2**20+2**8], nbound=[2**10,2**10+2**5], prime=2, loops=1, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/19.dat', )"
1048583 1031 (2, 1030) 211.450560093 128.778947115 380.476694822 2077.86446095 275.123543024 190.05623889 148.927585125 148.487392187 287.606350899
1048583 1033 (4, 1032) 1119.33382392 0 372.297299862 3749.11525488 260.66485095 178.180635929 147.084688187 146.940870047 376.741266966
1048583 1039 (1, 519) 30.5856149197 0 346.562258005 1905.76825714 175.394488096 131.754949808 94.5916571617 106.043622971 346.062038898
1048583 1049 (1, 524) 31.6062319279 0 374.589479923 1071.08239985 169.381299973 126.730872869 96.2015480995 105.383450031 209.95113802
1048583 1051 (2, 525) 221.334064007 134.996742964 390.671822071 1991.57316518 176.609289885 136.518416166 99.5115768909 111.197762966 360.031898022
1048589 1031 (2, 1030) 211.682821989 144.29727006 363.480898857 2065.13095403 275.361494064 191.327491999 149.512099981 149.703469038 243.735149145
1048589 1033 (2, 1032) 212.983800888 174.124938965 367.352425814 3747.84145904 262.48512888 178.474842072 147.754595041 148.489302158 377.500565052
1048589 1039 (1, 519) 30.7419700623 0 351.255777121 1906.15595579 175.807651997 131.217169046 95.348072052 106.630798817 346.350640059
1048589 1049 (2, 524) 220.04005599 172.074352026 398.17516613 1110.71371484 170.787632942 126.784471989 96.6667399406 106.109698057 207.305276871
1048589 1051 (3, 525) 568.652769089 0 380.531745911 1995.32510114 179.278945923 137.239396095 100.439373016 112.60983181 363.571806908
1048601 1031 (1, 1030) 30.8583848476 0 351.525739908 2066.32297993 275.63568306 275.216342926 216.921685934 188.273459911 379.481154919
1048601 1033 (4, 1032) 1528.62162399 0 414.232497215 4593.93435192 259.530117989 177.62707901 146.612246037 146.881188154 377.04114604
1048601 1039 (2, 519) 217.171708822 116.61690712 450.189964056 1961.24773121 240.420341969 178.136932135 107.176131964 144.666800022 440.638202906
1048601 1049 (1, 262) 31.900277853 0 457.554109097 672.429139137 92.7620990276 59.5540509224 45.4259362221 63.0403749943 297.465517044
1048601 1051 (12, 75) 12394.27914 0 374.959949017 305.861676931 38.3611738682 19.291118145 13.7183401585 35.0114350319 286.658430099
1048609 1031 (2, 206) 212.702984095 130.150964975 341.63300705 423.2741189 79.2016580105 47.7164211273 35.0507190228 49.7692008018 220.739776134
1048609 1033 (4, 516) 1123.27573895 0 374.681139946 1864.6699369 154.544432878 110.548676968 85.51086092 95.7808289528 328.270884037
