# ./benchmark.sh 24 2**55 2**55+2**8 5 2**8 2 3
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**55,2**55+2**8], nbound=[5,2**8], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/24.dat')"
36028797018963971 5 (2, 1) 0.0922439098358 0.0372256437937 0.0379708607992 0.000815073649089 0.000288565953573 0.000279108683268 0.000276645024618 0 0
36028797018963971 7 (4, 6) 0.11908197403 0 0.0365203221639 0.0015660127004 0.00414005915324 0.00330336888631 0.00422867139181 0.00420188903809 0.00323502222697
36028797018963971 9 (1, 6) 0.00664631525675 0 0.0649534066518 0.00179306666056 0.00540741284688 0.00419537226359 0.00615970293681 0.00615731875102 0.00399414698283
36028797018963971 11 (1, 10) 0.00806299845378 0 0.133295615514 0.00284655888875 0.0116879940033 0.00909233093262 0.0119029680888 0.0119094053904 0.00871666272481
36028797018963971 13 (2, 1) 0.111597935359 0.0899333159129 0.142715056737 0.00119471549988 0.0010286172231 0.00116769472758 0.00116936365763 0 0
36028797018963971 17 (3, 16) 0.297344366709 0 0.252849022547 0.00866365432739 0.0318119525909 0.024120648702 0.0318599541982 0.0317126909892 0.0256069501241
36028797018963971 19 (5, 9) 1.17939170202 0 0.326152404149 0.00754157702128 0.0230189959208 0.0191359519958 0.0247619946798 0.0296216011047 0.0219267209371
36028797018963971 23 (2, 11) 0.247001886368 0.189050356547 0.449174960454 0.0109649499257 0.0336899757385 0.0278536478678 0.0358712673187 0.0431954065959 0.0307506720225
36028797018963971 25 (4, 5) 1.1870499452 0 0.457260370255 0.0082201162974 0.0154752731323 0.0129569371541 0.01957543691 0.0331803162893 0.0225160121918
36028797018963971 27 (2, 18) 0.391846736272 0.466409047445 0.744250377019 0.0263853867849 0.0610969861348 0.0493886470795 0.0633137226105 0.069753964742 0.0568786462148
36028797018963971 29 (2, 28) 0.370121399562 0.307433366776 0.663862387339 0.0417466163635 0.113295316696 0.0892059803009 0.112931887309 0.113417625427 0.0933122634888
36028797018963971 31 (6, 5) 5.02368394534 0 0.861108064651 0.0150052706401 0.0237959225972 0.0210943222046 0.0291987260183 0.0558979511261 0.0418659845988
36028797018963971 37 (4, 1) 2.94895839691 0 1.14531207085 0.00450611114502 0.00477774937948 0.00713896751404 0.00714445114136 0 0
36028797018963971 41 (2, 40) 0.771978298823 0.524150371552 1.43431997299 0.118011951447 0.275673389435 0.21697362264 0.270998001099 0.269337336222 0.206635077794
36028797018963971 43 (2, 21) 0.856447060903 0.679295301437 1.69616603851 0.097101688385 0.169488271077 0.14310892423 0.174825429916 0.207576910655 0.192711909612
36028797018963971 47 (2, 46) 1.03797769547 0.823872725169 1.90842207273 0.293205658595 0.399719635646 0.332027276357 0.391899665197 0.391524950663 0.380523999532
36028797018963971 49 (2, 42) 1.14978432655 0.786763032277 2.1163324515 0.242768685023 0.372841914495 0.304560979207 0.373694340388 0.382196982702 0.37461566925
36028797018963971 53 (7, 26) 25.4889105956 0 3.05476530393 0.196843385696 0.269953568776 0.225697040558 0.274404287338 0.331346352895 0.320818106333
36028797018963971 59 (1, 58) 0.280186335246 0 3.38118902842 0.605147997538 0.664164304733 0.544227282206 0.647856314977 0.646523634593 0.648899555206
36028797018963971 61 (6, 20) 24.760210673 0 3.42723401388 0.221016248067 0.254276672999 0.21609767278 0.265530029933 0.373828967412 0.386104663213
36028797018963971 67 (4, 33) 11.608417352 0 4.49700220426 0.441131353378 0.512414375941 0.431600014369 0.512839237849 0.617854992549 0.653677622477
