# ./benchmark.sh 19 2**40 2**40+2**8 2**9 2**9+2**5 2 3
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**40,2**40+2**8], nbound=[2**9,2**9+2**5], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/19.dat')"
1099511627791 521 (32, 520) 83004.8835659 0 310.437649012 2139.81856918 91.6191223462 69.2247680823 71.1364379724 70.9993330638 134.057051023
1099511627791 523 (10, 29) 7820.25918508 0 315.49320364 118.365543048 8.22847072283 4.89869602521 4.80472405752 20.8924297492 84.6937116782
1099511627791 529 (22, 506) 41228.866709 0 326.065937519 2159.46193409 87.9889029662 75.6544412772 72.6043963432 73.0957630475 139.269717375
1099511627791 541 (9, 540) 7581.09977412 0 356.973468542 2485.89358711 103.726776997 86.3119970163 80.8992273013 80.749165376 152.113988479
1099511627803 521 (32, 520) 82485.508404 0 293.692689657 2071.97929287 87.7208724022 66.6583967209 68.9268026352 68.3746333122 129.922863086
1099511627803 523 (5, 261) 1663.21993709 0 301.357465029 1053.36276197 57.976730744 48.5653603077 44.2301641305 51.9227627118 113.977348407
1099511627803 529 (22, 506) 37474.147814 0 281.935455004 2018.51892495 83.3691156705 71.6616526445 68.7487049898 69.4264407158 131.167173306
1099511627803 541 (9, 30) 6529.50109887 0 307.962801456 130.296669324 8.70169870059 5.51158603032 5.16982738177 22.1172604561 90.6569336255
1099511627831 521 (16, 260) 19518.34461 0 287.157402595 1007.73149991 55.6983606815 45.4082597097 43.427848657 52.0326652527 112.728461345
1099511627831 523 (5, 261) 1612.12377405 0 319.045181632 1021.84528112 56.9762830734 47.1916247209 43.9692083995 52.1572728952 110.463732481
1099511627831 529 (2, 46) 199.85932978 152.649295648 310.862568378 183.791270653 9.90497636795 6.3101802667 6.34468992551 21.8951303959 84.6933492819
1099511627831 541 (9, 540) 6449.45487499 0 305.977434993 2389.81500602 101.215945005 84.4032413165 79.5231323242 79.2309707006 146.957452695
1099511627873 521 (16, 65) 19249.6693051 0 302.211622318 249.31002299 14.5520216624 9.65831836065 9.49990105629 23.5207329591 83.8693513076
1099511627873 523 (2, 261) 197.202394962 106.883248647 301.197824478 1017.66118407 55.1314266523 46.4432229201 42.747527043 50.7399117152 111.90615495
1099511627873 529 (11, 253) 9213.77923012 0 289.687968334 979.26214385 48.4241682688 40.5690630277 39.3081213633 48.0705793699 110.094124953
1099511627873 541 (18, 270) 26009.9656479 0 304.367956519 1169.88223791 61.2478122711 53.774886926 47.5918475787 56.4440777302 125.634658893
1099511627891 521 (32, 260) 76514.479841 0 274.967014631 964.179622173 52.3550430139 42.43040061 40.6928680738 48.769367377 106.431279262
1099511627891 523 (5, 522) 1535.77020812 0 310.524011493 1990.24648809 87.8105026086 68.8419296741 68.2580506007 68.3154772917 126.32266132
1099511627891 529 (11, 253) 8874.22701621 0 292.508999348 972.40417695 48.531816721 40.2920300166 39.2560049693 48.0411719481 108.520015001
1099511627891 541 (18, 90) 25837.740741 0 312.711404085 369.213204861 21.3426973025 15.9609977404 14.665722688 29.4468273322 94.9283589522
1099511627917 521 (16, 5) 18575.7685709 0 285.315317392 20.5670069059 2.37744204203 1.1497443517 1.5161866347 17.0722493331 74.6249206066
1099511627917 523 (10, 522) 7176.08927202 0 296.52419138 1989.65388107 86.8933666547 68.2298182646 67.3864234289 67.2621047497 125.716632366
1099511627917 529 (11, 253) 8882.192945 0 284.458664974 972.624238014 48.2537150383 40.1777873039 38.9666127364 47.5503346125 108.510637999
