# ./benchmark.sh 16 2**60 2**60+2**8 2**8 2**8+2**5 2 3
# model name	: Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz
# SageMath version 7.5.beta5, Release Date: 2016-12-01
# ffisom revision 02167f074dc8f8f84f0bf71565f7be5363db18cc
# command="import os; sys.path.append(os.getcwd()); from benchmark import *; benchmark_all(pbound=[2**60,2**60+2**8], nbound=[2**8,2**8+2**5], prime=2, loops=3, tmax=600, verbose=True, write=True, overwrite=False, fname=os.getcwd()+'/16.dat')"
1152921504606847009 257 (6, 32) 1369.31833506 0 134.216317733 17.9184814294 3.87199409803 2.93487040202 3.67582408587 9.85843706131 19.5683342616
1152921504606847009 263 (3, 262) 276.119702975 0 140.396800995 163.275735299 28.962163051 23.1152339776 26.621458292 26.6221393744 37.6075583299
1152921504606847009 269 (8, 67) 2654.86614394 0 149.278436343 42.842701753 8.82406592369 7.18434492747 8.17722098033 14.0609820684 26.2024393082
1152921504606847009 271 (3, 90) 295.902508577 0 149.455581347 59.4140909513 12.4379586379 10.5937097867 11.5146372318 16.8581002553 29.4235022863
1152921504606847009 277 (4, 92) 605.07733798 0 199.385074615 64.2674906254 12.9665939013 10.7579613527 11.9227345785 17.4965363344 30.5807762941
1152921504606847009 281 (2, 56) 121.148121993 76.1098664602 171.715578953 19.3996457259 7.6165450414 6.18430423737 7.14482998848 13.8720720609 16.7716539701
1152921504606847009 283 (3, 282) 329.054972053 0 170.499041796 225.065799395 35.082820336 28.9452827772 32.0135932763 31.9566889604 46.120167017
1152921504606847067 257 (6, 256) 1368.67197514 0 149.65755264 150.125659307 27.037153403 19.6775717735 24.9017196496 24.8569029172 34.052142938
1152921504606847067 263 (2, 262) 104.584636291 55.5764769713 146.482144038 163.417373339 29.9750696818 24.0194312731 27.746118625 27.6204723517 38.0303877195
1152921504606847067 269 (4, 268) 566.600904465 0 158.284411033 181.473367135 41.2611722946 69.6130501429 29.3521219889 29.2863513629 40.6538549264
1152921504606847067 271 (3, 270) 297.54577295 0 162.234879335 184.366145929 32.529850324 26.7828969955 30.0577536424 30.0464309851 41.9532249769
1152921504606847067 277 (4, 276) 605.892631054 0 159.398212035 198.240415096 33.8424344063 26.8556387424 31.0957203706 31.1075563431 43.5989933809
1152921504606847067 281 (1, 280) 16.2146246433 0 161.176537991 111.314588388 34.5523702304 26.6671837171 31.352698644 31.4401459694 35.2679760456
1152921504606847067 283 (3, 47) 328.975010991 0 165.658980926 34.9249722958 6.9330013593 5.62136395772 6.40859731038 14.2522076766 27.8156452974
1152921504606847081 257 (3, 128) 260.918272098 0 139.779613336 71.5095640818 16.2157619794 13.04063495 15.1419596672 18.7626947562 28.1553329627
1152921504606847081 263 (2, 131) 104.382395029 63.3796653748 147.930872281 79.3308896224 17.806472381 15.0981407166 16.6121752262 20.4505636692 31.2514066696
1152921504606847081 269 (8, 268) 2657.813416 0 149.662273963 177.252141317 31.4272987048 25.0277751287 28.9457310041 28.9823549589 40.6442317168
1152921504606847081 271 (3, 30) 295.626134316 0 151.280917962 19.8034070333 3.91432960828 3.09931492805 3.67806871732 11.0622390111 23.2368724346
1152921504606847081 277 (4, 46) 604.568751097 0 161.276144028 32.031435887 6.38298734029 5.11455440521 5.95713702838 13.1920932929 25.9303413232
1152921504606847081 281 (1, 280) 13.9100263119 0 168.067059278 111.278981527 34.4623577595 26.7531770865 31.3171366851 31.2614600658 37.5245940685
1152921504606847081 283 (2, 94) 122.50327309 58.6522903442 181.798943679 70.0185943445 14.1812442938 12.0008889834 13.1263372898 19.2774817149 33.0340196292
1152921504606847123 257 (1, 256) 11.3218930562 0 145.341559331 145.902016401 26.7265059153 19.460886399 24.5081577301 24.4926830133 33.8190326691
1152921504606847123 263 (3, 131) 276.098662059 0 144.059031645 79.5164140066 17.7452509403 15.0166176955 16.5326779683 20.389030695 31.0896152655
1152921504606847123 269 (1, 268) 12.6201496919 0 158.502984921 177.110718648 31.3110630512 24.8662586212 28.7651746273 28.71920832 40.3771043619
1152921504606847123 271 (3, 135) 296.026217063 0 151.555894295 89.554775238 19.4836060206 16.9488538901 18.2233103116 22.3237080574 34.5582516193
1152921504606847123 277 (4, 138) 603.979290962 0 165.861308972 96.6016616027 19.9350687663 16.8966730436 18.5355693499 22.8399720192 35.6395653089
1152921504606847123 281 (2, 280) 120.948943615 61.9670193195 175.86547033 111.213181257 34.2489439646 26.6021545728 31.1475203832 31.0733946164 35.3095192115
1152921504606847123 283 (2, 282) 122.541570107 72.7717090448 172.480359952 216.923455954 35.605477651 29.245544672 32.6414649487 32.660040617 46.2639642557
1152921504606847127 257 (2, 128) 99.5438657602 52.2093859514 143.226926168 71.528797706 16.2951989174 13.0591927369 15.252828598 18.9752336343 28.2338470618
1152921504606847127 263 (3, 131) 275.574241718 0 142.403905392 79.4761469364 17.9477917353 15.162725687 16.743215243 20.662555933 31.2071433067
1152921504606847127 269 (8, 67) 2653.79947305 0 151.629684051 42.7259329955 9.02345299721 7.2794833978 8.42625832558 14.5832045873 26.242326498
1152921504606847127 271 (6, 135) 1509.43314505 0 149.613948027 89.4913726648 19.7390643756 17.1051226457 18.4104050795 22.598361969 34.6352342765
1152921504606847127 277 (2, 276) 117.456906637 86.3368460337 162.5297393 197.68822662 33.7101527055 26.7271716595 31.0797056357 31.0832769076 43.6372797489
1152921504606847127 281 (1, 280) 13.8905626933 0 170.461319764 111.508707921 34.6969129244 27.0095383326 31.556365331 31.4877483845 33.2355987231
1152921504606847127 283 (2, 282) 122.454156955 58.6540633837 181.919800997 216.805698713 36.0260722637 29.5603047212 33.0731562773 33.0412896474 46.5732126236
1152921504606847189 257 (6, 32) 1369.58423996 0 134.641235034 17.9274175962 4.0365819931 2.98218297958 3.79022510846 10.31036973 19.5969386101
1152921504606847189 263 (3, 131) 276.311859687 0 152.252770742 79.5205049515 17.8216795921 15.0755463441 16.6502653758 20.6132762432 31.2166956266
1152921504606847189 269 (8, 268) 2658.12177706 0 157.773663998 177.092319647 31.6510000229 25.1077659925 29.2031377157 29.1795926889 40.7238457203
1152921504606847189 271 (3, 54) 295.623642842 0 151.001100063 35.5098163287 7.49314641953 6.2184445858 7.02707306544 13.7498912811 25.822314024
1152921504606847189 277 (4, 276) 604.553189039 0 165.885979255 197.929059426 33.4535547892 26.4665660063 30.7299067179 30.7009699345 43.169484059
1152921504606847189 281 (1, 140) 13.9339093367 0 177.591722965 55.1532009443 20.6153763135 17.272206068 19.2071213722 23.3287982941 28.4735140006
1152921504606847189 283 (6, 141) 1583.50221801 0 164.038292964 105.617926359 21.5841777325 18.6740906239 20.0708290736 24.7457040151 38.4623698394
1152921504606847201 257 (3, 256) 261.241384347 0 136.149365981 146.22184968 26.8894577026 19.5668167273 24.6509760221 24.6058810552 33.9495239258
1152921504606847201 263 (6, 131) 1426.55506396 0 138.560368935 80.2920043468 17.9717436632 15.2300269604 16.7730917136 20.6259746552 31.4589529832
1152921504606847201 269 (8, 268) 2669.25905895 0 149.763400316 177.516822338 31.33639733 24.8859512806 28.8717652957 28.9116039276 40.6970082124
